GRB,z,class,log10Faopt,log10FaErr_opt,log10Taopt,logTaErr_opt,Alpha_opt,AlphaErr_opt,Beta_opt,betaErr_opt,PhotonIndex,PhotonIndexErr,Gamma,log10Fluence,log10FluenceErr,log10NH,log10PeakFlux,log10PeakFluxErr,log10T90
071031A,2.69,XRF,-12.3316,0.006784,3.545649,0.012037,0.783822,0.007754,0.34,0.3,2.42,0.29,1.78089,-6.045757491,0.062731425,16.95097546,-0.301029996,0.086858896,2.257414559
071112C,0.82,SN-C,-11.73,0.01,2.56,0.02,0.92,0.0,0.44,0.11,1.09,0.07,1.67267,-5.522878745,0.057905931,20.5643192,0.903089987,0.05428681,1.176091259
080310A,2.43,XRR,-11.7773,0.03995,3.53482,0.03563,1.13752,0.008815,0.42,0.12,2.32,0.16,2.09352,-5.638272164,0.037764738,10.56142698,0.113943352,0.066814536,2.560456622
080319C,1.95,L,-12.32,0.25,3.23,0.13,2.0,0.56,0.98,0.42,1.37,0.07,1.61029,-5.443697499,0.012063736,21.75037415,0.716003344,0.025055451,1.531478917
080330A,1.51,XRF,-11.98,0.01,3.52,0.01,1.13,0.0,0.42,0.15,2.53,0.45,2.25433,-6.468521083,0.102186937,21.69090721,-0.045757491,0.096509885,1.783188691
080413A,2.43,XRR,-10.34,0.04,1.89,0.06,0.95,0.04,0.52,0.37,1.57,0.06,2.14652,-5.455931956,0.012408414,21.7642008,0.748188027,0.015510517,1.662757832
080413B,1.1,L,-13.54,0.05,5.62,0.02,2.29,0.1,0.74,0.04,1.26,0.27,1.93206,-5.494850022,0.013571703,21.31329763,1.271841607,0.018579443,0.903089987
080603A,1.69,L,-12.4,0.03,3.8,0.03,0.98,0.02,0.85,0.31,1.814482087566405,0.18198944166592634,2.0146549872068964,-5.705581944980923,0.04199824547969691,20.918167520087223,0.36501610395977124,0.06458228597280949,1.77815125
080603B,2.6893,L,-12.2511,0.01515,4.19971,0.014815,1.26607,0.02688,0.62115,0.06837,1.21,0.3,1.83449,-5.619788758,0.018095603,21.31611509,0.544068044,0.024816828,1.77815125
080605A,1.6403,L,-12.5404,0.0122,3.52993,0.02324,0.680096,0.010692,0.57477,0.35333,1.11,0.14,1.7467,-4.876148359,0.006530744,21.73808418,1.298853076,0.013094306,1.301029996
080607A,3.04,L,-11.2452,0.028099,2.024669,0.025586,1.543158,0.031343,0.98,0.0606,1.31,0.04,2.03418,-4.619788758,0.0,22.38386741,1.36361198,0.02068069,1.899984563
080710A,0.85,L,-11.7,0.01,4.01,0.01,1.52,0.01,0.8,0.09,1.47,0.23,2.00149,-5.853871964,0.062042069,20.89722339,0.0,0.086858896,2.077948999
080810A,3.35,L,-10.4242,0.019425,2.750635,0.025429,1.160407,0.008112,0.51,0.13,1.34,0.06,2.11482,-5.337242168,0.018882369,21.45079548,0.301029996,0.043429448,2.03666881
080928A,1.69,XRR,-12.67,0.1,4.45,0.07,2.25,0.21,1.08,0.14,1.77,0.12,2.13864,-5.602059991,0.034743559,21.51035195,0.322219295,0.02068069,2.368584372
081007A,0.53,XRF-SN-B,-12.93,0.09,4.83,0.07,1.26,0.09,0.27,0.11,2.51,0.2,2.102,-6.148741651,0.04893459,21.69605744,0.414973348,0.066814536,0.958563883
081008A,1.97,XRR,-11.22,0.01,3.51,0.01,1.29,0.01,0.38,0.23,1.69,0.07,1.98207,-5.366531544,0.020199743,21.1376737,0.113943352,0.033407268,2.268297087
081029A,3.85,L,-12.6223,0.095308,4.599535,0.071694,2.252306,0.171741,1.08,0.02,1.43,0.18,1.95818,-5.677780705,0.041361379,21.49704581,-0.301029996,0.173717793,2.431283332
081203A,2.1,L,-11.7554,0.126215,4.027516,0.081744,1.826152,0.19167,0.95,0.06,1.54,0.06,2.03508,-5.113509275,0.016920564,21.66176916,0.462397998,0.029951344,2.46834733
081228A,3.44,IS,-12.9876,0.0492,2.80122,0.047595,1.18347,0.036055,1.24,0.285,2.1,0.31,2.1182405294859867,-7.050609993,0.06746794148745548,21.16936021,-0.22184875,0.10331958608290903,0.477121255
090102A,1.55,L,-12.8492,0.071878,3.8,0.063638,1.153525,0.018438,0.74,0.22,1.36,0.08,1.76997,-7.167491087,0.019160051,21.72376179,0.740362689,0.063170106,1.432006687
090313A,3.38,XRR,-11.4731,0.110788,3.487381,0.148455,0.938086,0.040385,1.0,0.103,1.91,0.29,2.07619,-5.853871964,0.062042069,22.44115763,-0.096910013,0.162860431,1.893872679
090423A,8.23,XRR-IS,-13.39,0.08,4.7,0.09,1.12,0.1,0.45,0.13,0.8,0.5,1.8158,-6.229147988,0.029443694,22.7516324,0.230448921,0.051093468,0.989894564
090529A,2.63,XRR,-13.09,0.03,3.97,0.07,0.52,0.02,0.12,0.0848,2.0,0.3,2.22623,-6.167491087,0.10857362,13.51385525,-0.397940009,0.108573621,1.837651558
090530A,1.266,L,-11.6906,0.175329,5.143885,0.05081,3.280375,0.093676,0.9,0.08,1.61,0.17,2.03975,-5.958607315,0.039481317,20.90942658,0.397940009,0.052115338,1.681241237
090618A,0.54,XRR-SN-C,-11.84,0.01,4.07,0.01,1.04,0.0,0.71,0.02,1.42,0.08,1.82831,-3.978810701,0.004136138,21.39200012,1.589949601,0.008931506,2.05388479
090726A,2.71,XRF,-12.2265,0.098827,3.354189,0.0975,1.086752,0.195492,1.3,0.11,2.25,0.19,2.4288,-6.065501549,0.050499358,22.02689264,-0.15490196,0.124084138,1.773054693
091018A,0.971,L,-12.6087,0.009407,4.381196,0.009379,1.272917,0.012642,0.60705,0.01791,1.77,0.24,1.98015,-5.853871964,0.031021034,21.19187281,1.012837225,0.016865805,0.639486489
091020A,1.71,L,-10.8705,0.04935,2.58947,0.04193,1.08875,0.00706,1.06,0.09,1.53,0.07,2.08587,-5.431798276,0.011737689,21.70587483,0.62324929,0.031021034,1.590061231
091024A,1.09,UL,-11.21,0.04,3.97,0.03,1.63,0.04,0.64,0.29,1.2,0.08,1.49013,-5.214670165,0.021358745,22.23512426,0.301029996,0.065144172,1.995196292
091029A,2.75,XRR,-12.77,0.01,4.45,0.02,1.1,0.01,0.43,0.03,1.46,0.27,2.11535,-5.619788758,0.018095603,21.45058625,0.255272505,0.024127471,1.593286067
091127A,0.49,XRR-SN-B,-12.02,0.01,4.42,0.01,1.19,0.01,0.43,0.1,2.05,0.07,1.80187,-5.045757491,0.014476483,20.87872913,1.667452953,0.025217099,0.84260924
000926A,2.04,L,-12.89,0.03,5.12,0.02,2.14,0.04,1.01,0.16,1.6852847432236138,0.17966008885778562,1.9921534289152854,-5.735553462133477,0.03157283751713817,21.154585675003315,0.4978731730930601,0.05846436545424674,1.397940009
970508A,0.83,XRF,-13.8798,0.072147,6.247263,0.067354,1.487567,0.155485,0.32,0.15,1.891259356416352,0.2917474395113794,1.9590528867888668,-6.01308853019273,0.051392678179597265,20.9147184367958,0.3291251840242593,0.0729767332031779,1.120573931
990510A,1.62,L,-12.3,0.02,4.83,0.01,1.58,0.01,0.17,0.15,1.613799247813114,0.16888725726658826,1.905947464825676,-5.439257894361808,0.031683001337264455,21.098363886800136,0.4845315516117408,0.05652593028866776,1.829818187
