GRB,z,class,log10Faopt,log10FaErr_opt,log10Taopt,logTaErr_opt,Alpha_opt,AlphaErr_opt,Beta_opt,betaErr_opt,PhotonIndex,PhotonIndexErr,Gamma,log10Fluence,log10FluenceErr,log10NH,log10PeakFlux,log10PeakFluxErr,log10T90
121217A,3.1,L-VL,-12.2295,0.1152,3.47558,0.0991,0.775179,0.028589,0.87,0.04,1.53,0.08,1.968478049601427,-5.207608311,0.030214471347908875,21.6003032,0.255272505,0.0649371985063369,2.890979597
130215A,0.6,SN-B-XRR,-13.66,0.24,5.96,0.13,2.09,0.54,0.94,0.05,1.59,0.14,1.9504566342509058,-5.26760624,0.040212452,21.157573025851473,0.397940009,0.121602455,1.81756537
130420A,1.297,L,-12.8688,0.066378,4.259019,0.095952,1.028031,0.061396,1.1,0.06,1.52,0.25,2.29559,-5.148741651,0.018350471,20.79265849,0.531478917,0.025546734,2.091666958
130427A,0.34,SN-B,-11.2664,0.006123,4.420737,0.006768,1.271343,0.007333,0.72,0.01,1.21,0.02,1.78644,-3.508638306,0.00420285,20.99021494,2.519827994,0.006035512,2.211734423
130606A,5.91,XRR,-12.04,0.09,4.25,0.05,1.71,0.03,0.83,0.12,1.52,0.12,1.86465,-5.537602002,0.029951344,20.24962877,0.414973348,0.033407268,2.441820772
130702A,0.15,SN-A-XRF,-12.13,0.02,5.07,0.01,1.33,0.02,0.44,0.09,1.7069931932884017,0.17178651572863068,1.9592250782646798,-5.286212757568236,0.03280325550718141,21.100248932026105,0.6973139856033859,0.043879736569635085,1.770852012
130831A,0.48,SN-B-XRR,-11.42,0.03,3.87,0.01,1.62,0.01,1.0,0.05,1.93,0.05,1.79449,-5.187086643,0.001336291,19.84752454,1.133538908,0.019160051,1.511883361
140206A,2.73,L,-10.879,0.019998,2.792837,0.061447,0.782606,0.017861,0.8,0.03,1.04,0.15,1.88134,-4.795880017,0.008143022,22.00531353,1.28780173,0.011193157,1.971275849
140423A,3.26,L,-12.7746,0.051905,4.184892,0.057199,1.024631,0.027846,0.54,0.08,1.33,0.06,2.06486,-5.026872146,0.013860462,21.81946365,0.322219295,0.041361379,2.127104798
140430A,1.6,XRR,-12.35,0.02,3.84,0.04,0.78,0.03,1.05,0.08,2.0,0.22,2.15785,-5.958607315,0.078962633,21.67796993,0.397940009,0.034743559,2.239549721
140801A,1.32,L,-12.7942,0.036239,4.204885,0.047598,0.861959,0.016398,0.67,0.16,1.8337050230980616,0.24957116960998627,2.0112844096726232,-6.059058555641941,0.04661312951278912,20.8744034307407,0.5741538726947564,0.054801400995213884,0.84509804
140907A,1.21,L,-12.4311,0.052537,4.201713,0.073581,0.985034,0.036083,1.0,0.07,1.72,0.07,2.00735,-5.366531544,0.020199743,21.4811071,0.397940009,0.034743559,1.898725182
141121A,1.47,UL,-13.6665,0.125949,5.982598,0.078746,1.859053,0.276557,0.9,0.07,1.73,0.13,1.93447,-5.27572413,0.032776942,21.59590717,-0.045757491,0.144764827,2.74028372
141221A,1.45,XRR,-11.3914,0.019721,2.813159,0.020312,1.248584,0.033612,0.26,0.09,1.74,0.08,2.22288,-5.677780705,0.02068069,21.46788768,0.491361694,0.028018999,1.567026366
150323A,0.593,L,-13.0735,0.057188,3.67566,0.12415,0.561833,0.05679,1.1,0.21,1.85,0.07,2.0639,-5.214670165,0.014239163,21.69269626,0.73239376,0.024127471,2.174931594
