"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"120119A",2.404491618,1.61077,-4.769551079,1.38,22.02202812,1.012837225,1.794079127,0,0.04,0.012649354,0.00306997109740333,3.1,0.612783856719735
"120327A",1.798650645,1.75797,-5.443697499,1.52,22.16619025,0.591064607,7.52171255,0.012063736,0.06,0.022271512,0.051933835584684,2.813,0.581266805273671
"120404A",1.587710965,1.89579,-5.795880017,1.85,21.70983536,0.079181246,16,0.027143405,0.13,0.072382414,0.179553274179706,2.876,0.588383768378728
"120422A",0.728353782,2.32199,-6.638272164,1.19,21.89306622,-0.22184875,2.236067977,0.075529475,0.24,0.144764827,0.181516258620399,0.283,0.108226656374928
"120711A",2.06069784,1.96823823014476,-5.59956740196432,1.73945067928945,20.8890204759374,0.15298088503652,31.02460027,0.0445850499081247,0.1906576904457,0.0796645497755468,0.117163588795529,1.405,0.381115080709851
"120729A",1.854306042,1.8831,-5.619788758,1.62,21.34792103,0.462397998,36.74353317,0.018095603,0.08,0.029951344,0.223182009707008,0.8,0.255272505103306
"120802A",1.698970004,2.03526,-5.721246399,1.21,22.12127744,0.477121255,31.02460027,0.068572813,0.47,0.028952965,0.2694762542188,3.796,0.680879174426811
"120811C",1.428134794,1.92121,-5.522878745,1.4,21.91722026,0.612783857,3.693579286,0.043429448,0.3,0.021185097,0.0598545187495629,2.671,0.564784384503987
"120815A",0.986771734,1.84293,-6.30980392,2.29,21.77242733,0.342422681,40.34414957,0.062042069,0.23,0.059221975,1.80631356145071,2.36,0.526339277389844
"120907A",1.227886705,1.82021,-6.173925197,1.73,21.0438101,0.462397998,1.370430613,0.071302079,0.25,0.059902687,0.035217186540104,0.97,0.294466226161593
"120922A",2.238046103,2.06954,-5.207608311,1.58,21.0163605,0.301029996,30.24009631,0.049033248,0.36,0.043429448,0.075913913084108,3.1,0.612783856719735
"121024A",1.838849091,2.00683,-5.958607315,1.41,21.94617755,0.113943352,32.06243908,0.039481317,0.22,0.066814536,0.201804932759115,2.298,0.5182506513085
"121027A",1.796574333,2.37144,-5.698970004,1.82,22.07736427,0.113943352,4.820058467,0.021714724,0.09,0.066814536,0.03343969322178,1.773,0.442949869577862
"121128A",1.367355921,1.98504,-5.161150909,1.32,22.04029767,1.11058971,1.63061216,0.025176492,0.18,0.013466496,0.0303933846890459,2.2,0.505149978319906
"121211A",2.260071388,2.0682,-5.886056648,2.36,21.66138196,0,39.28730733,0.089197405,0.26,0.130288345,0.0937486856135703,1.023,0.305995882770805
"121217A",2.890979597,1.96847804960143,-5.207608311,1.53,21.6003032,0.255272505,1.63061216,0.0302144713479088,0.08,0.0649371985063369,0.000910238898708907,3.1,0.612783856719735
"130215A",1.81756537,1.95045663425091,-5.26760624,1.59,21.1575730258515,0.397940009,4.559271868,0.040212452,0.14,0.121602455,0.0301380001790267,0.6,0.204119982655925
"130408A",1.447158031,2.03183,-5.638272164,1.28,20.06405721,0.69019608,13.06603535,0.075529475,0.26,0.088631527,0.202660966333188,3.757,0.677333151419902
"130418A",2.07200023240372,1.68684,-5.744727495,2.07,21.12149747,-0.22184875,46.08809848,0.048254942,0.17,0.144764827,0.169579312058566,1.218,0.345961541813141
"130420A",2.091666958,2.29559,-5.148741651,1.52,20.79265849,0.531478917,11.73673073,0.018350471,0.25,0.025546734,0.0412728533350444,1.297,0.361160995195026
"130427A",2.211734423,1.78644,-3.508638306,1.21,20.99021494,2.519827994,0.179108908,0.00420285,0.02,0.006035512,0.000477713015917906,0.34,0.127104798364808
"130511A",0.73479983,2.06879,-6.657577319,1.35,21.01365445,0.113943352,2.212184473,0.078962633,0.31,0.066814536,0.176931769551824,1.3033,0.362350507594848
"130514A",2.309630167,2.0604,-5.040958608,1.8,21.19799139,0.447158031,12.81269759,0.009544934,0.05,0.046531552,0.0272768817014167,3.6,0.662757831681574
"130604A",1.57634135,2.08823,-5.853871964,1.51,21.35024026,-0.096910013,4.559271868,0.031021034,0.12,0.10857362,0.0525216608675702,1.06,0.313867220369153
"130606A",2.441820772,1.86465,-5.537602002,1.52,20.24962877,0.414973348,19.31096766,0.029951344,0.12,0.033407268,0.0303226795160044,5.913,0.839666556882433
"130702A",1.770852012,1.95922507826468,-5.28621275756824,1.7069931932884,21.1002489320261,0.697313985603386,4,0.0328032555071814,0.171786515728631,0.043879736569635,0.0294436936640946,0.15,0.0606978403536116
"130831A",1.511883361,1.79449,-5.187086643,1.93,21.49704581,1.133538908,1.864331486,0.001336291,0.05,0.019160051,0.0249128885159663,0.4791,0.16999753706657
"131030A",1.613841822,2.09466,-4.537602002,1.3,20.84178667,1.44870632,4.042662472,0,0.03,0.010818724,0.0427179076225292,1.295,0.36078268987328
"131105A",2.050379756,2.24976,-5.148741651,1.45,21.32749584,0.544068044,4.086802216,0.030584118,0.11,0.074450483,0.0158047698317659,1.686,0.429106008332697
"140206A",1.971275849,1.88134,-4.795880017,1.04,22.00531353,1.28780173,13.75282388,0.008143022,0.15,0.011193157,0.063811704252879,2.73,0.571708831808688
"140213A",1.77815125,1.96657,-4.920818754,1.8,20.99187128,1.371067862,2.62312486,0,0.04,0.014784493,0.0189868108841264,1.2076,0.343920385393226
"140419A",1.976349979,1.87322,-4.795880017,1.21,22.04094236,0.69019608,3.817215769,0,0.04,0.017726305,0.0175057628798656,3.956,0.695131297704026
"140423A",2.127104798,2.06486,-5.026872146,1.33,21.81946365,0.322219295,23.01198296,0.013860462,0.06,0.041361379,0.0745819195938403,3.26,0.629409599102719
"140430A",2.239549721,2.15785,-5.958607315,2,21.67796993,0.397940009,3.69174647,0.078962633,0.22,0.034743559,0.00923562857095551,1.6,0.414973347970818
"140506A",2.045714059,1.74751,-5.552841969,1.68,21.81764402,1.037426498,9.556709938,0.046531552,0.16,0.035859177,0.0373575732732516,0.889,0.276231957921834
"140509A",1.17092730333444,1.93407,-5.920818754,1.59,20.90144742,0.204119983,5.171156949,0.04379136,0.121212121,0.117055576617339,0.151511196244019,2.4,0.531478917042255
"140512A",2.189770956,1.84304,-4.853871964,1.45,21.32824297,0.832508913,4.787065924,0.00930631,0.04,0.019160051,0.0134302087658966,0.725,0.236789099409293
"140518A",1.781755375,1.93772,-6,0.92,22.46148952,0,2.429189161,0.043429448,0.61,0.043429448,0.0174377429302028,4.707,0.756407872548958
"140614A",2.857332496,1.77015,-5.886056648,1.5,21.99532933,-1.4317581319867,160.0586725,0.133629071,0.46,0.163321606984505,0.0965452754396361,4.233,0.718750734739665
"140629A",1.62324929,1.95996,-5.619788758,1.86,21.74269921,0.62324929,11.54148842,0.036191207,0.11,0.041361379,0.119342969960682,2.275,0.515211304327802
"140801A",0.84509804,2.01128440967262,-6.05905855564194,1.83370502309806,20.8744034307407,0.574153872694756,4.086802216,0.0466131295127891,0.249571169609986,0.0548014009952138,0.253553664442435,1.32,0.3654879848909
"140907A",1.898725182,2.00735,-5.366531544,1.72,21.4811071,0.397940009,5.415902489,0.020199743,0.07,0.034743559,0.0296981889302465,1.21,0.344392273685111
"141004A",0.593286067,1.79496,-6.173925197,1.86,21.49730845,0.785329835,1.073372291,0.019446022,0.08,0.021358745,0.118918281385487,0.573,0.196728722623287
"141121A",2.74028372,1.93447,-5.27572413,1.73,21.59590717,-0.045757491,37.82221354,0.032776942,0.13,0.144764827,0.0298708467389642,1.47,0.392696953259666
"141220A",0.857935265,1.80565,-5.585026652,0.62,21.48574413,0.949390007,0.473776348,0.016703634,0.38,0.034157993,0.0285379269708387,1.3195,0.365394376854778
"141221A",1.567026366,2.22288,-5.677780705,1.74,21.46788768,0.491361694,0.58,0.02068069,0.08,0.028018999,0.00682630893214475,1.45,0.389166084364532
"150120B",2.01762288488796,2.01678,-6.26760624,2.2,21.52664292,0.079181246,3.388285726,0.039006078,0.151515152,0.0542106768002651,0.0141299769251024,3.5,0.653212513775344
"150314A",1.169968174,1.84772,-4.657577319,1.08,22.01715025,1.58546073,2.631341157,0.005922197,0.03,0.010152339,0.07726686575266,1.758,0.440594261839831
"150323A",2.174931594,2.0639,-5.214670165,1.85,21.69269626,0.73239376,0.150359555,0.014239163,0.07,0.024127471,0.000436499498442683,0.593,0.202215775801131
"150403A",1.611723308,1.70996,-4.769551079,1.23,21.79039707,1.245512668,12.01358912,0.00766402,0.04,0.014805494,0.127565659236116,2.06,0.48572142648158
"150821A",2.23578087,2.21622,-6.102372909,2.1,22.340573,-1.49776679460977,99.0437544,0.104450572,0.37,0.188398851647283,0.249936990327389,0.755,0.244277120801843
"150910A",2.049992857,1.78547,-5.318758763,1.42,20.842422,0.041392685,75.36821526,0.036191207,0.12,0.157925266,0.291729055189802,1.3585,0.372635880581721
"151021A",2.042181595,1.96079,-4.552841969,1.57,22.33647975,0.986771734,3.648780623,0.015510517,0.04,0.035818102,0.0143797213110485,2.33,0.52244423350632
"151027A",2.11290649,2.00612,-5.107905397,1.72,21.65076489,0.832508913,5.47526252,0.011135756,0.05,0.038320101,0.0183350782696789,0.81,0.257678574869184
"151215A",1.250420002,2.20942,-6.508638306,1.99,21.1002489320261,0.204119983,1.003450114,0.098066496,0.33,0.05428681,0.0244827442519859,2.59,0.555094448578319
"160117B",0.697062187810827,1.83834,-6.4710833,1.73,20.95374423,-0.705929807788426,2.461495511,0.005627928835757,0.0041822719666068,0.122191721784807,0.214744065864423,0.87,0.271841606536499
"160121A",1.079181246,2.2054,-6.214670165,1.77,21.1002489320261,0.079181246,2.383886728,0.035597908,0.13,0.072382414,0.0862757376305275,1.96,0.471291711058939
"160131A",2.511883361,2.02332,-4.690369833,1.24,21.680967,0.806179974,40.34414957,0.010644473,0.05,0.020357554,0.0539115124137789,0.972,0.294906910605192
"160203A",1.305351369,1.75592,-5.920818754,1.93,22.0158332,0.113943352,3.236126049,0.036191207,0.2,0.133629071,0.0695758261024457,3.52,0.655138434811382
"160227A",2.500373714,1.72551,-5.508638306,0.75,21.4198963,-0.22184875,75.36821526,0.028018999,0.51,0.072382414,0.103418641469029,2.38,0.528916700277655
"160314A",0.941014244,1.95129,-6.552841969,1.53,22.13954852,-0.045757491,3.693579286,0.062042069,0.22,0.096509885,0.183745830617921,0.726,0.237040791379191
"160327A",1.447158031,1.93554,-5.853871964,1.84,20.72655851,0.255272505,9.225420765,0.031021034,0.11,0.048254942,0.143091047665439,4.99,0.777426822389311
"160425A",2.483701382,2.51113,-5.677780705,2.2,22.05510681,0.447158031,23.25931459,0.041361379,0.18,0.031021034,0.0331649878100479,0.555,0.191730393362856
"160804A",2.15896526,1.87827,-4.943095149,1.4,21.30214687,0.462397998,19.22975247,0.011428802,0.23,0.044927015,0.057915224642575,0.736,0.239549720840473
"161014A",1.26245109,1.83236,-5.721246399,1.47,22.18657496,0.462397998,0.963279858,0.045715209,0.15,0.089854031,0.0228604987212173,2.823,0.582404298019028
"161023A",1.643452676,1.95429741445854,-5.42056598348586,1.48429488273099,21.1872488303853,0.588209791507229,6.838970679,0.0255406174190192,0.159030747217934,0.0451456901736497,0.0675028916162013,2.71,0.569373909615046
"161108A",2.021602716,2.00325,-5.958607315,1.85,21.16074757,-0.22184875,11.8942948,0.039481317,0.17,0.072382414,0.0491496346156657,1.159,0.334252642334231
"161117A",2.099335278,1.92624,-4.698970004,1.19,21.87736847,0.832508913,1.095627703,0,0.12,0.019160051,0.00378540226960351,1.549,0.406369835469268
"161129A",1.550595207,1.74506,-5.443697499,1.57,21.51361441,0.531478917,2.093571159,0.012063736,0.06,0.025546734,0.0255903856698547,0.645,0.216165902285993
"161219B",0.84135947,1.86204,-5.823908741,1.29,21.16590877,0.72427587,0.791979781,0.028952965,0.35,0.032776942,0.0495608716177928,0.1475,0.0597526942092988
"170113A",1.315130317,1.81917,-6.173925197,0.75,21.4429483,0.041392685,32.58849643,0.04537405,0.59,0.039481317,0.685043764717141,1.968,0.472463896606989
"170202A",1.664641976,1.99768,-5.48148606,1.68,21.7153121,0.672097858,11.44830537,0.013160439,0.07,0.027720924,0.10761765896651,3.645,0.666985718329661
"170405A",2.216693599,1.8473,-5.431798276,1.59,21.59122827,-0.0335186812736592,35.39093667,0.035213066,0.12,0.153952769308304,0.0933217274509788,3.51,0.65417654187796
"170519A",2.335257256,1.97351,-5.958607315,1.94,21.33992622,-0.15490196,49.40433008,0.078962633,0.26,0.062042069,0.0991498519285518,0.818,0.259593878885949
"170531B",2.215187969,2.06685,-5.698970004,1.95,21.89473409,-0.096910013,8.820503864,0.043429448,0.14,0.10857362,0.0233394026693868,2.366,0.527114111639805
"170607A",1.361727836,1.94001,-5.124938737,1.61,20.90203663,1.08334542328181,23.25931459,0.017371779,0.07,0.0231184496675564,0.439190955639043,0.557,0.19228861256812
"170705A",2.337059726,1.89159,-5.022276395,1.65,21.08891889,1.1430148,18.07805176,0.013714563,0.05,0.012497683,0.0361306862803674,2.01,0.478566495593843
"170714A",3,1.84715,-5.552841969,1.76,21.06857952,-0.397940009,32.58849643,0.046531552,0.17,0.217147241,0.0141530041730728,0.793,0.253580289562183
"170903A",1.465382851,2.20256,-5.619788758,1.94,21.73970839,0.591064607,3.59505881,0.036191207,0.12,0.05567878,0.0534696645518069,0.886,0.27554168840131
"171205A",2.277379975,1.66173,-5.443697499,1.41,20.9181675200872,0,35.1681973,0.036191207,0.14,0.130288345,0.0806407286915141,0.0368,0.0156949885265181
"171222A",2.242541428,1.99001,-5.721246399,2.07,20.02880298,-0.15490196,22.66456934,0.045715209,0.17,0.124084138,0.0563106258915239,2.409,0.532627001228891
"180115A",1.611723308,1.9512,-6.119186408,1.66,20.61397389,-0.22184875,4.829610314,0.062858412,0.22,0.144764827,0.0512829611038799,2.487,0.542451947375977
"180205A",1.190331698,1.88733,-6,2.04,21.4933967,0.531478917,3.123262328,0.043429448,0.13,0.038320101,0.0875106835560367,1.409,0.381836799998343
"180325A",1.973589623,1.85846,-5.187086643,1.18,22.14319598,0.973127854,1.370430613,0.013362907,0.05,0.013860462,0.00632487198345076,2.248,0.511616020569138
"180329B",2.322219295,1.86768,-5.48148606,0.97,21.41988474,0.146128036,44.04594331,0.039481317,0.56,0.124084138,0.091090048181127,1.998,0.476831628512261
"180620B",2.29841638,1.99236,-5,1.3,21.21643247,0.556302501,27.4443118,0.013028834,0.2,0.024127471,0.0599542916300528,1.1175,0.325823419002744
"180624A",2.686993566,2.06008,-5.236572006,1.91,21.1034582,0.146128036,38.50431688,0.022463508,0.1,0.062042069,0.0343795484387942,2.855,0.586024382386976
"180720B",3.06444019010425,1.8461,-4.065501549,1.36,21.24271531,1.831869774,3.688453378,0.005049936,0.03,0.016629833,0.00138098327707093,0.654,0.218535505216528
"180728A",0.938519725,1.70111,-4.528708289,1.97,21.58733599,2.120573931,0.297321378,0.008803267,0.03,0.009541318,0.0148761559757772,0.117,0.0480531731156091
"181010A",1.214843848,1.76613,-6.161150909,1.52,22.27837171,0.146128036,2.192792779,0.04405886,0.15,0.062042069,0.0580681587793652,1.39,0.378397900948138
"181020A",2.376576957,1.93674,-5.091514981,1.25,20.65703194,0.886490725,11.5888181,0.016084981,0.06,0.016920564,0.0211468897196027,2.938,0.595275711802099
"181201A",1.283301229,1.97913612783146,-5.37153011911936,1.62357778401957,21.1468434832998,0.899550776141651,3.817215769,0.0288230416508681,0.178235765696061,0.0293124960699646,0.0863435283114147,0.45,0.161368002234975
"190114A",1.823474229,1.83214,-6.096910013,2.06,21.6447605,-0.301029996,10.18381229,0.065144172,0.22,0.173717793,0.0664080102705681,3.3765,0.641126932803509
"190719C",2.268811904,1.5415,-5.292429824,1.64,20.95382587,0.740362689,9.689285646,0.025546734,0.09,0.02368879,0.0226602223323686,2.469,0.54020429984206
"190829A",1.764922985,2.0913,-5.193820026,2.56,22.04910001,1.255272505,8.854522046,0.047500959,0.21,0.065144172,0.0660733687520347,0.0785,0.0328201494385639
"191011A",0.867467488,1.81479,-6.48148606,1.94,21.65033473,0.255272505,0.950286355,0.052641755,0.17,0.048254942,0.0559978453284278,1.722,0.434888120867316
"191221B",1.681241237,1.843,-4.721246399,1.24,22.02365981,0.681241237,16,0.022857604,0.05,0.063334612,0.14476482742628,1.148,0.332034277027518
"200205B",2.660865478,1.90881,-5.26760624,1.36,21.19187281,0.301029996,5.385164807,0.016084981,0.22,0.043429448,0.0051064352834946,1.465,0.391816923613249
"200613A",2.580924976,2.00996423348564,-5.23247535249562,1.74656725545063,20.9938049880807,0.228369899911643,3.693579286,0.041388018888279,0.176273323751351,0.0694499683839808,0.00421023911071871,1.2255,0.347427598618541
"200829A",1.115277591,1.88219,-4.292429824,0.83,21.08966848,1.994317153,2.91,0.008515578,0.03,0.007040235,0.0969169435192129,1.25,0.352182518111362
"201014A",1.558708571,1.97336,-6.508638306,2.55,22.1524657,-0.522878745,0.58931824,0.098066496,0.37,0.289529655,0.0070701010895531,4.56,0.745074791582057
"201015A",0.990338855,2.1574,-6.698970004,3.03,21.35536147,0.255272505,19.9827799,0.130288345,0.68,0.096509885,0.887363091964509,0.426,0.154119525515847
"201020A",1.15136985,2.0761,-6.036212173,2.25,20.93258486,0.322219295,2.192792779,0.033044145,0.14,0.041361379,0.0672066199308134,2.903,0.591398551281249
"201021C",1.387033701,1.6168,-6,1.63,20.75199541,0,4.086802216,0.043429448,0.15,0.086858896,0.0728004779406376,1.07,0.315970345456918
"201104B",0.937517892,1.55046,-5.744727495,1.47,21.73058526,0.612783857,0.161839373,0.024127471,0.07,0.031777645,0.00811616012140756,1.954,0.470410490975931
"210204A",2.301029996,1.98957333119557,-5.18451228666849,1.71047871175346,21.0584880674433,0.493025576197725,3.817215769,0.0338538542545085,0.143781575971085,0.0534933364415772,0.00828897871714061,0.876,0.273232834043046
"210210A",0.819543936,1.85188,-6.008773924,1.53,21.12319546,0.84509804,0.58931824,0.035452611,0.58,0.031021034,0.038778433249538,0.715,0.234264124378789
"210411C",1.10720997,1.88408,-5.920818754,1.6,21.05996459,0.681241237,0.597059548,0.036191207,0.4,0.027143405,0.0202577864729536,2.826,0.582744965691277
"210517A",0.485721426,1.71079,-6.823908741,1.85,21.15768338,0.176091259,1.409113169,0.086858896,0.25,0.057905931,0.199990220376636,2.486,0.542327382773974
"210610B",1.841234296,1.91684,-4.443697499,0.98,21.03780485,1.130333768,2.53,0.012063736,0.11,0.022518973,0.015836913202155,1.13,0.328379603438738
"210619B",1.784617293,1.92306,-4.022276395,1.41,21.83430305,2.06069784,0.277416677,0.004571521,0.02,0.008308242,0.00197833385726092,1.937,0.4679039465228
"210722A",1.700703717,1.83712,-5.602059991,1.62,20.54058972,0.342422681,10.53830531,0.034743559,0.14,0.098703291,0.0911698774157967,1.145,0.331427296520743
"210822A",2.257198426,1.70788,-4.698970004,1.3,21.53322281,1.442479769,42.72,0.00868589,0.4,0.010974951,0.102616483810065,1.736,0.437116093048079
"211024B",2.780677274,2.08,-5.167491087,1.63,20.98677173,-0.045757491,20.65497765,0.019160051,0.09,0.096509885,0.014863865494915,1.1137,0.325043347403704
"220101A",2.238948898,1.62241,-4.602059991,1.13,21.90370028,0.86332286,12.50116167,0,0.13,0.017847718,0.0313174061753508,4.618,0.749581734865559
"220117A",1.697316542,1.78537,-5.795880017,1.84,21.99532933,0.278753601,3.431095393,0.05428681,0.18,0.091430417,0.0299157959274313,4.961,0.775319121829478
"220521A",1.131939295,2.02179,-6.091514981,1.97,21.85427081,0.672097858,2.691501432,0.042893282,0.18,0.036961232,0.0862659941342183,5.57,0.817565369559781
"230116D",1.612783857,1.76412,-6.090443971,1.38,21.64321572,-0.22184875,11.18033989,0.064181451,0.22,0.144764827,0.118428290656009,3.81,0.682145076373832
"230325A",1.580354661,2.0855,-5.886056648,1.82,22.22918251,0.51851394,11.56039866,0.066814536,0.18,0.052641755,0.131947893505177,1.664,0.425534220498263
"230506C",1.491361694,2.08995,-5.769551079,1.89,20.96124782,0.380211242,6.32455532,0.051093469,0.17,0.090478017,0.0886038540296678,3.7,0.672097857935718
"230818A",0.992111488,2.00403,-5.721246399,1.36,21.31377445,0.826074803,1.249953617,0.022857604,0.1,0.032410036,0.0552798328138297,2.42,0.534026106056135
"231210B",0.873320602,1.66432281,-5.853871964,1.08,21.82763844,0.591064607,0.647,0.062042069,0.19,0.077950292,0.037615599688349,3.13,0.615950051656401
"970508A",1.120573931,1.95905288678887,-6.01308853019273,1.89125935641635,20.9147184367958,0.329125184024259,18.0548006,0.0513926781795972,0.291747439511379,0.0729767332031779,0.594022748193947,0.83,0.262451089730429
