"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"060223A",1.053078443,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.030974941,0.12,0.057905931,0.042104904450281,4.41,0.73319726510657
"060306A",2.13255996245349,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.518840719,0.01457843,0.060606061,0.0488439909307915,0.0112622187283241,1.559,0.408070285887185
"060418A",2.158362492,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254834,0.013190457,0.06,0.023313354,0.136485588124709,1.489,0.396024896608593
"060502A",1.45331834,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.019176639,0.08,0.053965586,0.150287880735964,1.5026,0.398391440229475
"060510B",2.43964843,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.018780302,0.08,0.083811216,0.0335971369822932,4.9,0.770852011642144
"060512A",0.92890769,2.70163,-6.634512015,2.48,21.79039707,-0.055517328,1.306782322,0.074878359,0.3,0.098703291,0.0668466845479519,0.44,0.15836249209525
"060526A",2.47444938,1.90677,-5.899629455,2.01,21.85427081,0.222716471,23.04821868,0.056871896,0.24,0.046810184,0.0335716198838349,3.221,0.625415352154408
"060604A",1.977723605,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17,0.11451546,0.42,0.166053773,0.0777158547080599,2.1357,0.496334505996816
"060605A",2.059904056,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.01416491,0.056078197,0.2,0.113294213,0.132471980179598,3.78,0.679427896612119
"060607A",2.009450896,1.61002,-5.59345982,1.47,21.79614607,0.146128036,1.63061216,0.019074895,0.08,0.040327345,0.00692921587949207,3.07,0.60959440922522
"060614A",2.036229544,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292,0.007727887,0.04,0.027945906,0.0132262962944593,0.125,0.0511525224473813
