"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
44,6251,0.3238,6251,1.3116,2079,-0.1766,17,9,2.7,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+Gamma+log10Ta+PhotonIndexSqr+log10TaSqr"
45,887,0.6254,887,1.0758,433,-0.0584,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
46,4424,0.4119,1906,1.2757,4732,-0.142,17,9,2.7,"Response ~  (log10TaSqr+Beta_optSqr+log10PeakFluxSqr+Gamma+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr"
47,210,0.6424,210,1.2253,9187,-0.3552,17,9,2.7,"Response ~  (Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
48,5331,0.5463,5331,1.1468,2356,-0.031,16,8,2.7,"Response ~  (GammaSqr+Beta_optSqr+log10NHSqr+Gamma+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
49,1651,0.2743,3116,1.3541,5855,-0.1929,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Beta+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
50,210,0.4765,210,1.1614,210,0.0036,17,9,2.7,"Response ~  (Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
51,6260,0.4442,6260,1.0801,3673,-0.2872,17,9,2.7,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+PhotonIndexSqr+log10PeakFluxSqr+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+Gamma+log10Ta+log10NHSqr+log10TaSqr"
52,867,0.4964,867,1.1605,972,-0.0091,17,9,2.8,"Response ~  (Beta_optSqr+log10Ta+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
53,9708,0.3122,9708,1.5149,3358,-0.0909,17,9,2.7,"Response ~  (BetaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+log10Ta+Gamma+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+PhotonIndexSqr+GammaSqr+log10TaSqr"
