"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
52,2044,0.5661,899,0.1558,899,0.0879,17,86.2,"Response ~ (log10FaSqr + log10TaSqr + log10PeakFluxSqr + log10Fa +      log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta + Beta +      log10T90 + log10NHSqr + PhotonIndexSqr + BetaSqr + log10T90Sqr"
53,1761,0.4664,890,0.1723,890,0.1139,17,85.7,"Response ~ (log10T90Sqr + log10PeakFluxSqr + log10Fa + PhotonIndex +      log10NH)^2 + log10PeakFlux + log10Ta + Beta + log10T90 +      log10NHSqr + PhotonIndexSqr + log10TaSqr + log10FaSqr + BetaSqr"
54,2533,0.4499,2533,0.1626,3665,0.0933,16,90.6,"Response ~ (log10T90Sqr + log10FaSqr + log10NHSqr + log10Fa +      log10PeakFlux)^2 + log10NH + PhotonIndex + log10Ta + Beta +      log10T90 + log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr +      BetaSqr"
55,391,0.3601,391,0.1614,12849,0.1139,15,88.4,"Response ~ (BetaSqr + log10T90 + Beta)^2 + log10NH + log10PeakFlux +      PhotonIndex + log10Ta + log10Fa + log10NHSqr + log10PeakFluxSqr +      PhotonIndexSqr + log10TaSqr + log10FaSqr + log10T90Sqr"
56,2894,0.559,2696,0.1587,6350,0.0891,12,84,"Response ~ (BetaSqr + log10PeakFluxSqr + log10T90 + Beta + PhotonIndex)^2 +      log10NH + log10PeakFlux + log10Ta + log10Fa + log10NHSqr +      PhotonIndexSqr + log10TaSqr + log10FaSqr + log10T90Sqr"
57,4169,0.4566,597,0.1806,1601,0.1091,16,84.6,"Response ~ (log10T90Sqr + log10FaSqr + log10TaSqr + log10Fa +      PhotonIndex + log10NH)^2 + log10PeakFlux + log10Ta + Beta +      log10T90 + log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr +      BetaSqr"
58,8709,0.1874,2600,0.214,4973,0.1262,17,93.2,"Response ~ (log10T90Sqr + BetaSqr + log10FaSqr + Beta + log10Fa +      log10Ta + log10PeakFlux)^2 + log10NH + PhotonIndex + log10T90 +      log10NHSqr + log10PeakFluxSqr + PhotonIndexSqr + log10TaSqr"
59,3062,0.4779,3060,0.1602,3062,0.0635,17,82.1,"Response ~ (log10FaSqr + log10PeakFluxSqr + log10NHSqr + log10Fa +      log10Ta)^2 + log10NH + log10PeakFlux + PhotonIndex + Beta +      log10T90 + PhotonIndexSqr + log10TaSqr + BetaSqr + log10T90Sqr"
60,2696,0.3716,2696,0.1737,1325,0.135,17,81.7,"Response ~ (log10PeakFluxSqr + log10NHSqr + log10Fa + log10Ta +      PhotonIndex)^2 + log10NH + log10PeakFlux + Beta + log10T90 +      PhotonIndexSqr + log10TaSqr + log10FaSqr + BetaSqr + log10T90Sqr"
61,2050,0.5505,2050,0.1675,2696,0.1091,17,81.3,"Response ~ (log10FaSqr + log10TaSqr + PhotonIndexSqr + log10Fa +      log10NH)^2 + log10PeakFlux + PhotonIndex + log10Ta + Beta +      log10T90 + log10NHSqr + log10PeakFluxSqr + BetaSqr + log10T90Sqr"
