"","log10NH","PhotonIndex","log10PeakFlux","Beta","Beta_opt","log10Fluence","Alpha_opt","log10Ta_opt","Gamma","log10Ta","log10Fa","log10T90","Alpha","log10Fa_opt","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","BetaSqr","Beta_optSqr","log10FluenceSqr","Alpha_optSqr","log10Ta_optSqr","GammaSqr","log10TaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","log10Fa_optSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","Beta_opt","Beta_opt_opt","log10Fluence_opt","Alpha_opt_opt","log10Ta_opt_opt","Gamma_opt","log10Ta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","log10Fa_opt_opt","Redshift_crosscheck","log10z"
"050824A",20.9708274,2.76,-0.301029996,0.86,0,-6.575118363,0,0,1.94709,5.08558,-12.23882419,1.353723938,0.954481,0,439.775601840591,7.6176,0.09061905849176,0.7396,0,43.2321814874598,0,0,3.7911594681,25.8631239364,149.788817553729,1.83256850031423,0.911033979361,0,0.0782985476819812,0.06855,0.12722,0.0899785,0.01,0,0,0,0,0.084899673,0.38,0.130288345,"050824A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8278,0.261928672990642
"050904A",22.39388568,1.25,-0.207608311,0,1,-5.316052869,2.332396,5.539472,1.90813,0,0,2.259044094,0,-14.18,501.486115848909,1.5625,0.0431012107962727,0,1,28.2604181060031,5.440071100816,30.685750038784,3.6409600969,0,0,5.10328021863628,0,201.0724,0.0249377639674928,0,0,0,0,0.12808,0.069062,0.187665,0.09,0.016184888,0.07,0.119080745,"050904A",1,5.59847142,0.3125,-0.05190207775,0,0.25,-1.32901321725,0.583099,1.384868,0.4770325,0,0,0.5647610235,0,-3.545,6.295,0.86302529622947
"050908A",21.35024026,1.88,-0.15490196,0,1.8,-6.316052869,0.82,3.26,2.74883,0,0,1.239799818,0,-12.61,455.832759159725,3.5344,0.0239946172118416,0,3.24,39.8925238440031,0.6724,10.6276,7.5560663689,0,0,1.53710358871283,0,159.0121,0.0148761559757772,0,0,0,0,0.08,0.13,0.08,0.09,0.045857181,0.17,0.086858896,"050908A",1,5.337560065,0.47,-0.03872549,0,0.45,-1.57901321725,0.205,0.815,0.6872075,0,0,0.3099499545,0,-3.1525,3.34,0.637489729512511
"050922C",21.44930866,1.37,0.860936621,1.064,0,-5.790484985,0,0,2.2119,2.52429,-9.477555766,0.653212514,1.22035,0,460.072841991951,1.8769,0.741211865378898,1.132096,0,33.5297163615105,0,0,4.89250161,6.3720400041,89.8240632976399,0.4266865884462,1.4892541225,0,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0,0,0,0,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",21.71466751,2.4,0.113943352,0.73,0,-6.769551079,0,0,1.89482,4.25742,-11.59006688,0.602059991,1.14771,0,471.52678506985,5.76,0.0129830874649959,0.5329,0,45.8268218111901,0,0,3.5903428324,18.1256250564,134.329650282873,0.36247623276292,1.3172382441,0,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0,0,0,0,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",20.9024195385481,1.6783282458665,0.179466033655192,0,1.1,-6.17568341398607,1.02823,4.04085,2.02921982175251,0,0,1.204119983,0,-13.0714,436.911142565477,2.81678570087332,0.0322080572359265,0,1.21,38.1390656297826,1.0572569329,16.3284687225,4.11773308499329,0,0,1.44990493345992,0,170.86149796,0.063811704252879,0,0,0,0,0.2287,0.246865,0.1334,0.18,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,5.22560488463702,0.419582061466625,0.044866508413798,0,0.275,-1.54392085349652,0.2570575,1.0102125,0.507304955438127,0,0,0.30102999575,0,-3.26785,3.6,0.662757831681574
"051109A",21.97057233,1.51,0.595496222,1.06,0,-5.657577319,0,0,2.06584,3.91123,-10.51999306,1.57054294,1.22299,0,482.706048507762,2.2801,0.354615750416273,1.1236,0,32.0081811204632,0,0,4.2676949056,15.2977201129,110.670253982448,2.46660512638384,1.4957045401,0,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.006123,0,0,0,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",21.79196559,1.32,0.424881637,0,0.76,-5.389339837,1,2.77,2.23019,0,0,1.776555911,0,-10.91,474.889764275744,1.7424,0.1805244054598,0,0.5776,29.0449838786752,1,7.6729,4.9737474361,0,0,3.15615090490904,0,119.0281,0.153333382237578,0,0,0,0,0.03,0.04,0.04,0.07,0.014263593,0.06,0.034286406,"051111A",1,5.4479913975,0.33,0.10622040925,0,0.19,-1.34733495925,0.25,0.6925,0.5575475,0,0,0.44413897775,0,-2.7275,1.55,0.406540180433955
"060115A",21.43355223,1,-0.060480747,1,0,-5.76700389,0,0,2.10553,3.69688,-11.29499204,2.144885418,0.889919,0,459.397161196138,1,0.00365792075767801,1,0,33.2583338672751,0,0,4.4332565809,13.6669217344,127.576845183663,4.60053345634903,0.791955826561,0,0.0469357822743554,0.0812,0.123015,0.053884,0.085,0,0,0,0,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",21.9172644,1.84,-0.050609993,0.99,0,-6.336299075,0,0,2.00895,4.47599,-10.6893,1.134495856,1.3641,0,480.366478779507,3.3856,0.00256137139146005,0.9801,0,40.1486859678459,0,0,4.0358801025,20.0344864801,114.26113449,1.28708084728117,1.86076881,0,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0,0,0,0.07,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
