"","log10NH","PhotonIndex","log10PeakFlux","Beta","Beta_opt","log10Fluence","Alpha_opt","log10Ta_opt","Gamma","log10Ta","log10Fa","log10T90","Alpha","log10Fa_opt","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","BetaSqr","Beta_optSqr","log10FluenceSqr","Alpha_optSqr","log10Ta_optSqr","GammaSqr","log10TaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","log10Fa_optSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","Beta_opt","Beta_opt_opt","log10Fluence_opt","Alpha_opt_opt","log10Ta_opt_opt","Gamma_opt","log10Ta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","log10Fa_opt_opt","Redshift_crosscheck","log10z"
"060605A",21.77333803,1.55,-0.337242168,0.835,0,-6.156767222,0,0,2.02128,4.04162,-11.26121944,2.059904056,1.9179,0,474.078248968644,2.4025,0.11373227987734,0.697225,0,37.9057826258936,0,0,4.0855728384,16.3346922244,126.815063275834,4.24320471992525,3.67834041,0,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0,0,0,0,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060607A",21.79614607,1.47,0.146128036,0,0.72,-5.59345982,1.25,3.53,1.61002,0,0,2.009450896,0,-11.78,475.071983504776,2.1609,0.0213534029052173,0,0.5184,31.2867927579544,1.5625,12.4609,2.5921644004,0,0,4.0378929034352,0,138.7684,0.0134302087658966,0,0,0,0,0.03,0.04,0.05,0.27,0.019074895,0.08,0.040327345,"060607A",1,5.4490365175,0.3675,0.036532009,0,0.18,-1.398364955,0.3125,0.8825,0.402505,0,0,0.502362724,0,-2.945,3.07,0.60959440922522
"060614A",20.51216256,2.02,1.06069784,0.783,0,-4.690369833,0,0,1.89544,5.03344,-11.78251606,2.036229544,1.9453,0,420.748812887866,4.0804,1.12507990778067,0.613089,0,21.9995691703164,0,0,3.5926927936,25.3355182336,138.827684704158,4.14623075585845,3.78419209,0,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0,0,0,0,0.007727887,0.04,0.027945906,"060614A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0511525224473813
"060707A",21.20847898,0.6,0.004321374,1.12,0,-5.795880017,0,0,2.09345,3.5545,-10.9132,1.820857989,0.861995,0,449.799580645102,0.36,1.8674273247876e-05,1.2544,0,33.5922251714599,0,0,4.3825329025,12.63447025,119.09793424,3.31552381610512,0.743035380025,0,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0,0,0,0,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",20.79066861,1.68,0.28780173,1.485,0,-6.306273051,0,0,2.20484,3.50569,-10.86966623,1.008600172,1.12969,0,432.251901250839,2.8224,0.0828298357909929,2.205225,0,39.7690797937688,0,0,4.8613194256,12.2898623761,118.149643951602,1.01727430695843,1.2761994961,0,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0,0,0,0,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",22.0125926,1.93,0.10720997,0.87,0,-5.548213564,0,0,2.04425,3.73449,-10.86012091,2.060660074,1.20488,0,484.554232973575,3.7249,0.0114939776674009,0.7569,0,30.7826737517536,0,0,4.1789580625,13.9464155601,117.942226179819,4.24631994057768,1.4517358144,0,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0,0,0,0,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",20.86562801,1.75,0.068185862,1.317,0,-5.583359493,0,0,1.92492,5.1057,-11.15058059,2.062017599,1.35481,0,435.374432251696,3.0625,0.00464931177668304,1.734489,0,31.1739032280732,0,0,3.7053170064,26.06817249,124.335447494085,4.25191657858572,1.8355101361,0,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0,0,0,0,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",22.00679538,1.53,0.861534411,0.97,0,-4.835647144,0,0,2.11591,4.22387,-10.91009489,2.162265614,1.29504,0,484.299042897189,2.3409,0.742241541337117,0.9409,0,23.3834833012754,0,0,4.4770751281,17.8410777769,119.030170508804,4.6753925854868,1.6771286016,0,0.0146412491965932,0.0353,0.034855,0.024565,0,0,0,0,0,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",21.59122827,1.64,0.387389826,0,1.11,-5.790484985,1.19811,3.923904,2.18877,0,0,2.234264124,0,-12.1854,466.181138207247,2.6896,0.15007087728831,0,1.2321,33.5297163615105,1.4354675721,15.397022601216,4.7907141129,0,0,4.99193617579349,0,148.48397316,0.0761271870594219,0,0,0,0,0.018294,0.024033,0.027284,0.1,0.038335871,0.14,0.037377804,"060904B",1,5.3978070675,0.41,0.0968474565,0,0.2775,-1.44762124625,0.2995275,0.980976,0.5471925,0,0,0.558566031,0,-3.04635,0.7,0.230448921378274
"060906A",22.41960057,2.03,0.294466226,1.06,0,-5.655607726,0,0,2.07859,4.33479,-11.8827287,1.638489257,1.71887,0,502.638489718344,4.1209,0.0867103582546831,1.1236,0,31.9858987503909,0,0,4.3205363881,18.7904043441,141.199241357804,2.68464704530441,2.9545140769,0,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0,0,0,0,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",21.80952201,1,0.481442629,1.185,0,-5.552841969,0,0,2.13395,2.81918,-9.627087997,1.285557309,1.38309,0,475.655250304674,1,0.231787005018432,1.404225,0,30.8340539326878,0,0,4.5537426025,7.9477758724,92.6808233019815,1.65265759472332,1.9129379481,0,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0,0,0,0,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",21.36738202,1.74,0.933487288,0.63,0,-5.869666232,0,0,1.8948,2.455171016,-10.1079054,0.698970004,1.045731532,0,456.565014388619,3.0276,0.871398516857595,0.3969,0,34.4529816750811,0,0,3.59026704,6.02786471780647,102.169751575349,0.48855906649176,1.09355443701907,0,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0,0,0,0,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"060926A",22.50004427,2.54,0.037426498,1.357,0,-6.659555885,0,0,2.00443,3.351,-10.84771166,0.903089987,1.45111,0,506.25199215196,6.4516,0.001400742752544,1.841449,0,44.3496845854381,0,0,4.0177396249,11.229201,117.6728482585,0.81557152461966,2.1057202321,0,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0,0,0,0,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",22.10710478,0.9,0.431363764,0.83,0,-5.946921557,0,0,1.94856,3.15198,-10.77728353,1.352953912,1.39098,0,488.724081753899,0.81,0.186074696892248,0.6889,0,35.3658760051113,0,0,3.7968860736,9.9349779204,116.149840286009,1.8304842879961,1.9348253604,0,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0,0,0.028803,0,0.026134535,0.242424242,0.027344467,"060927A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
"061007A",21.74186197,1.03,1.164352856,0,1.07,-4.35261703,1.75,2.17,1.99824,0,0,1.876852648,0,-8.76,472.708561922532,1.0609,1.35571757327536,0,1.1449,18.945275009846,3.0625,4.7089,3.9929630976,0,0,3.52257586230461,0,76.7376,0.0359770577590371,0,0,0,0,0.07,0.03,0.01,0.19,0.005497151,0.03,0.011006093,"061007A",1,5.4354654925,0.2575,0.291088214,0,0.2675,-1.0881542575,0.4375,0.5425,0.49956,0,0,0.469213162,0,-2.19,1.26,0.354108439147401
"061121A",21.75351565,1.41,1.324282455,0.9485,0,-4.863279433,0,0,1.90181,3.78753,-10.03011836,1.90982337,1.35185,0,473.215443134795,1.9881,1.75372402062083,0.89965225,0,23.6514868434408,0,0,3.6168812761,14.3453835009,100.603274315609,3.64742530459816,1.8274984225,0,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0,0,0,0,0.006308365,0.03,0.009468031,"061121A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.314,0.364363354615731
"061126A",21.38058204,1.32,0.989449818,0,0.82,-5.169411331,0.922285,3.5801,1.9269241917552,0,0,2.281033367,0,-12.3053,457.129288369171,1.7424,0.979010942340233,0,0.6724,26.7228135090712,0.850609621225,12.81711601,3.71303684077143,0,0,5.20311322136736,0,151.42040809,0.0272330828957319,0,0,0,0,0.08165,0.101225,0.025959,0.09,0.0190994093843814,0.06,0.0246693811930976,"061126A",1,5.34514551,0.33,0.2473624545,0,0.205,-1.29235283275,0.23057125,0.895025,0.4817310479388,0,0,0.57025834175,0,-3.076325,1.1588,0.334212409393176
"061222A",22.56660835,1.35,0.930949031,0.86,0,-5.097453221,0,0,1.92748,3.92091,-9.954677021,1.853698212,1.35061,0,509.25181242229,1.8225,0.866666098319839,0.7396,0,25.9840293402833,0,0,3.7151791504,15.3735352281,99.0955945924254,3.436197061172,1.8241473721,0,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0,0,0,0,0.008588051,0.04,0.013237581,"061222A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.088,0.489677291663699
"070110A",21.3989672,1.58,-0.22184875,1.186,0,-5.790484985,0,0,2.08596,4.26825,-11.04866248,1.946550511,1.42725,0,457.915797226676,2.4964,0.0492168678765625,1.406596,0,33.5297163615105,0,0,4.3512291216,18.2179580625,122.07294259696,3.78905889187436,2.0370425625,0,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0,0,0,0,0.028952965,0.12,0.086858896,"070110A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352,0.525304009958239
"070125A",21.1168251059769,1.66719216524827,0.461366700396796,0,0.59,-5.49527903539734,1.779596,5.250332,1.95142632719767,0,0,1.77815125,0,-12.7448,445.920302556416,2.77952971586521,0.212859232235027,0,0.3481,30.1980916768775,3.166961923216,27.565986110224,3.80806471048019,0,0,3.16182186787656,0,162.42992704,0.0973208922530927,0,0,0,0,0.027168,0.017308,0.052941,0.1,0.0330719907495403,0.177142407809118,0.0593602352348791,"070125A",1,5.27920627649423,0.416798041312067,0.115341675099199,0,0.1475,-1.37381975884934,0.444899,1.312583,0.487856581799417,0,0,0.4445378125,0,-3.1862,1.55,0.406540180433955
"070208A",21.8647258,1.94,-0.045757491,1.14,0,-6.351639989,0,0,2.20341,3.44468,-10.86327943,1.806179974,1.2125,0,478.066234309186,3.7636,0.00209374798261508,1.2996,0,40.3433305498639,0,0,4.8550156281,11.8658203024,118.010839974261,3.26228609847864,1.47015625,0,0.153546286600926,0.1619,0.14114,0.06357,0.015,0,0.01,0,0,0.098570208,0.36,0.106160873,"070208A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.165,0.335457900689384
"070223A",21.70173804,1.85,-0.161150909,1.03,0,-5.769551079,0,0,2.25837,4.22335,-11.86327943,1.9408513687054,0.991734,0,470.965433956783,3.4225,0.0259696154715263,1.0609,0,33.2877196531901,0,0,5.1002350569,17.8366852225,140.737398834261,3.76690403540562,0.983536326756,0,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0,0,0,0,0.018572476,0.072727273,0.130844061722848,"070223A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6295,0.419873175149476
"070306A",22.44245468,1.66,0.609594409,0.831,0,-5.269217724,0,0,1.94468,4.86926,-11.2737,2.321184027,1.89982,0,503.663772063854,2.7556,0.371605343484059,0.690561,0,27.7646554229157,0,0,3.7817803024,23.7096929476,127.09631169,5.38789528719994,3.6093160324,0,0.134263479640872,0.0335,0.02824,0.06188,0.001,0,0,0,0,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4959,0.397227181043161
"070411A",22.32139542,1.72,-0.040958608,0,1.09,-5.568636236,1.33119,3.319089,2.2428,0,0,2.089021501,0,-12.4597,498.244693495997,2.9584,0.00167760756929766,0,1.1881,31.0097095288922,1.7720668161,11.016351789921,5.03015184,0,0,4.36401083164029,0,155.24412409,0.246558916936231,0,0,0,0,0.115184,0.105245,0.219221,0.11,0.02493172,0.1,0.062042069,"070411A",1,5.580348855,0.43,-0.010239652,0,0.2725,-1.392159059,0.3327975,0.82977225,0.5607,0,0,0.52225537525,0,-3.114925,2.95,0.59659709562646
"070508A",21.89306622,1.1,1.382017043,0.764,0,-4.707743929,0,0,1.82568,3.02525,-9.161150909,1.320146286,1.37377,0,479.306348513305,1.21,1.90997110714246,0.583696,0,22.1628529010364,0,0,3.3331074624,9.1521375625,83.9266859774715,1.74278621643959,1.8872440129,0,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0,0,0,0,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",22.27524914,1.1,0.814913181,0.98,0,-5.096367484,0,0,2.00022,3.55243,-10.01233374,1.57863921,1.44502,0,496.186724249071,1.21,0.664083492567539,0.9604,0,25.9729615319725,0,0,4.0008800484,12.6197589049,100.246826921142,2.49210175534942,2.0880828004,0,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0,0,0,0,0.009596769,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",22.56252244,1.34,0.155336037,0.76,0,-5.590066877,0,0,1.97999,3.09323,-10.24641694,2.038222638,1.21432,0,509.067418855503,1.7956,0.0241292843908654,0.5776,0,31.2488476893325,0,0,3.9203604001,9.5680718329,104.989060108319,4.15435152205568,1.4745730624,0,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0,0,0,0,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4996,0.544018407858776
"070714B",21.64321572,1.36,0.431363764,0.93,0,-6.142667504,0,0,2.07429,3.22974,-10.74232143,1.806179974,1.64623,0,468.428786702455,1.8496,0.186074696892248,0.8649,0,37.7323640646976,0,0,4.3026790041,10.4312204676,115.397469705437,3.26228609847864,2.7100732129,0,0.0570608478017886,0.09935,0.0946,0.108425,0.005,0,0,0,0,0.05428681,0.19,0.032169962,"070714B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923,0.28397928423848
"070721B",21.89473409,1.34,0.176091259,0.52,0,-5.443697499,0,0,1.52512,3.94739,-10.50863831,2.531478917,2.5054,0,479.379380871808,1.7956,0.0310081314962051,0.2704,0,29.6338424606189,0,0,2.3259910144,15.5818878121,110.4314791304,6.40838550721549,6.27702916,0,0.0272330828957319,0.3648,0.10084,0.09144,0,0,0,0,0,0.024127471,0.11,0.086858896,"070721B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.626,0.6652056284346
"070802A",21.91375294,1.79,-0.397940009,0.78,0,-6.552841969,0,0,1.99014,3.92184,-11.6716204,1.214843848,1.16348,0,480.212567915359,3.2041,0.15835625076292,0.6084,0,42.9397378706878,0,0,3.9606572196,15.3808289856,136.226722761696,1.47584557502345,1.3536857104,0,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0,0,0,0,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0.537819095073274
"070809A",20.80619355,1.69,0.079181246,0.396,0,-7,0,0,1.37246,4.18985,-11.9625735,1.16168428403346,1.17521,0,432.897690040062,2.8561,0.00626966971811252,0.156816,0,49,0,0,1.8836464516,17.5548430225,143.103164742902,1.34951037577033,1.3811185441,0,0.00812673734142053,0.1917,0.206985,0.395643,0.0595,0,0,0,0,0.026318246,0.133333333,0.016256930519715,"070809A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2187,0.0858968111315881
"070810A",21.93100401,2.04,0.278753601,1.02,0,-6.161150909,0,0,2.17076,3.36583,-10.77728353,1.041392685,1.36994,0,480.968936886636,4.1616,0.0777035700704672,1.0404,0,37.9597805234715,0,0,4.7121989776,11.3288115889,116.149840286009,1.08449872437151,1.8767356036,0,0.197037086589132,0.06175,0.07187,0.077915,0.01,0,0,0,0,0.037764738,0.14,0.045715209,"070810A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0.501059262217751
"071003A",20.86974084,1.36,0.799340549,0.837,0,-5.080921908,0,0,1.91015,4.78411,-11.67760082,2.170643023,1.97901,0,435.546082728764,1.8496,0.638945313275621,0.700569,0,25.8157674351944,0,0,3.6486730225,22.8877084921,136.366360911265,4.71169113329858,3.9164805801,0,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0,0,0,0,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60435,0.415699348887829
"071010A",22.13954852,2.33,-0.096910013,0,0.61,-6.698970004,2.253787,5.172418,2.33496,0,0,0.77815125,0,-13.1705,490.159608669434,5.4289,0.00939155061966017,0,0.3721,44.8761991144918,5.079555841369,26.753907966724,5.4520382016,0,0,0.605519367876562,0,173.46207025,0.00846336277739286,0,0,0,0,0.060832,0.033281,0.122333,0.12,0.086858896,0.37,0.162860431,"071010A",1,5.53488713,0.5825,-0.02422750325,0,0.1525,-1.674742501,0.56344675,1.2931045,0.58374,0,0,0.1945378125,0,-3.292625,0.99,0.298853076409707
"071010B",21.30047157,1.53,0.886490725,0,0.68,-5.356547324,0.633623,3.16101,2.04061,0,0,1.552668216,0,-11.8207,453.710089104378,2.3409,0.785865805511026,0,0.4624,28.6925992342516,0.401478106129,9.9919842201,4.1640891721,0,0,2.41077858897662,0,139.72894849,0.0359770577590371,0,0,0,0,0.0527,0.19345,0.053512,0.14,0.009870329,0.22,0.016920564,"071010B",1,5.3251178925,0.3825,0.22162268125,0,0.17,-1.339136831,0.15840575,0.7902525,0.5101525,0,0,0.388167054,0,-2.955175,0.947,0.289365951520032
"071020A",20.99642367,1.11,0.924279286,0.844,0,-5.638272164,0,0,1.59788,2.311950854,-9.169411331,0.62324929,1.119196934,0,440.849806930136,1.2321,0.85429219852867,0.712336,0,31.7901129953372,0,0,2.5532204944,5.34511675131133,84.0781041570712,0.388439677485504,1.252601777075,0,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0,0,0,0,0.018882369,0.05,0.015510517,"071020A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.145,0.497620649781288
"071112C",20.5643192,1.09,0.903089987,0,0.44,-5.522878745,0.92,2.56,1.67267,0,0,1.176091259,0,-11.73,422.891224159489,1.1881,0.81557152461966,0,0.1936,30.5021896319728,0.8464,6.5536,2.7978249289,0,0,1.38319064949621,0,137.5929,0.0143797213110485,0,0,0,0,0.01,0.02,0,0.11,0.057905931,0.07,0.05428681,"071112C",1,5.1410798,0.2725,0.22577249675,0,0.11,-1.38071968625,0.23,0.64,0.4181675,0,0,0.29402281475,0,-2.9325,0.82,0.260071387985075
"071117A",22.04291793,1.57,1.053078443,0.94,0,-5.619788758,0,0,2.0457,3.901990464,-11.23542972,0.819543936,1.104952391,0,485.890230868716,2.4649,1.1089742071113,0.8836,0,31.5820256845432,0,0,4.18488849,15.2255295811469,126.234880993059,0.671652263034372,1.22091978637662,0,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0,0,0,0,0.018095603,0.06,0.015373256,"071117A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,0.367542273520577
"080310A",21.91375294,2.32,0.113943352,0.878,0,-5.638272164,0,0,2.09352,4.32608056,-11.3990271,2.560456622,1.59590648,0,480.212567915359,5.3824,0.0129830874649959,0.770884,0,31.7901129953372,0,0,4.3828259904,18.7149730116099,129.937818826534,6.55593811314365,2.54691749290599,0,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0,0,0,0,0.037764738,0.16,0.066814536,"080310A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.534026106056135
"080319B",20.8771334,1.04,1.394451681,0.73,0,-4.091514981,0,0,1.81426,5.36799912,-12.15181088,1.68090255756894,1.42250979,0,435.854699001396,1.0816,1.94449549064373,0.5329,0,16.7404948397474,0,0,3.2915393476,28.8154145523208,147.666507663286,2.8254334080418,2.02353410264584,0,0.00162180613819455,0.097779455,0.087626454,0.075139905,0,0,0,0,0,0.00536166,0.02,0.008755937,"080319B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"080319C",21.75037415,1.37,0.716003344,0,0.98,-5.443697499,2,3.23,1.61029,0,0,1.531478917,0,-12.32,473.078775664988,1.8769,0.512660788619182,0,0.9604,29.6338424606189,4,10.4329,2.5930338841,0,0,2.34542767321549,0,151.7824,0.059763875267383,0,0,0,0,0.25,0.13,0.56,0.42,0.012063736,0.07,0.025055451,"080319C",1,5.4375935375,0.3425,0.179000836,0,0.245,-1.36092437475,0.5,0.8075,0.4025725,0,0,0.38286972925,0,-3.08,1.95,0.469822015978163
"080330A",21.69090721,2.53,-0.045757491,0,0.42,-6.468521083,1.13,3.52,2.25433,0,0,1.783188691,0,-11.98,470.49545559283,6.4009,0.00209374798261508,0,0.1764,41.8417650012155,1.2769,12.3904,5.0820037489,0,0,3.17976190771029,0,143.5204,0.0359770577590371,0,0,0,0,0.01,0.01,0,0.15,0.102186937,0.45,0.096509885,"080330A",1,5.4227268025,0.6325,-0.01143937275,0,0.105,-1.61713027075,0.2825,0.88,0.5635825,0,0,0.44579717275,0,-2.995,1.51,0.399673721481038
"080411A",21.57289018,1.75,1.635483747,0.91,0,-4.578396073,0,0,1.97674,4.20932562,-10.11350927,1.748188027,1.28909841,0,465.38959071834,3.0625,2.67480708670116,0.8281,0,20.9617106012618,0,0,3.9075010276,17.7184221751884,102.283069754376,3.05616137774615,1.66177471066453,0,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0,0,0,0,0.001645055,0.03,0.009047802,"080411A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.307496037913213
"080413B",21.31329763,1.26,1.271841607,0,0.74,-5.494850022,2.29,5.62,1.93206,0,0,0.903089987,0,-13.54,454.256655864964,1.5876,1.61758107329634,0,0.5476,30.1933767642734,5.2441,31.5844,3.7328558436,0,0,0.81557152461966,0,183.3316,0.0692396240032236,0,0,0,0,0.05,0.02,0.1,0.04,0.013571703,0.27,0.018579443,"080413B",1,5.3283244075,0.315,0.31796040175,0,0.185,-1.3737125055,0.5725,1.405,0.483015,0,0,0.22577249675,0,-3.385,1.1,0.322219294733919
"080516A",22.03528962,1.82,0.255272505,1.48,0,-6.585026652,0,0,2.3315,3.77452827,-11.12090412,0.763427994,0.94016916,0,485.55398863728,3.3124,0.065164051808975,2.1904,0,43.3625760075503,0,0,5.43589225,14.2470636610292,123.674508446233,0.582822302022864,0.883918049415106,0,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0,0,0,0,0.066814536,0.27,0.072382414,"080516A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"080603A",20.9181675200872,1.8144820875664,0.365016103959771,0,0.85,-5.70558194498092,0.98,3.8,2.0146549872069,0,0,1.77815125,0,-12.4,437.569732398431,3.29234524609932,0.13323675614997,0,0.7225,32.5536653308923,0.9604,14.44,4.05883471747763,0,0,3.16182186787656,0,153.76,0.014863865494915,0,0,0,0,0.03,0.03,0.02,0.31,0.0419982454796969,0.181989441665926,0.0645822859728094,"080603A",1,5.2295418800218,0.4536205218916,0.0912540259899428,0,0.2125,-1.42639548624523,0.245,0.95,0.503663746801725,0,0,0.4445378125,0,-3.1,1.69,0.429752280002408
"080603B",21.31611509,1.21,0.544068044,0,0.62115,-5.619788758,1.26607,4.19971,1.83449,0,0,1.77815125,0,-12.2511,454.376762530126,1.4641,0.296010036501986,0,0.3858273225,31.5820256845432,1.6029332449,17.6375640841,3.3653535601,0,0,3.16182186787656,0,150.08945121,0.0093822306004846,0,0,0,0,0.01515,0.014815,0.02688,0.06837,0.018095603,0.3,0.024816828,"080603B",1,5.3290287725,0.3025,0.136017011,0,0.1552875,-1.4049471895,0.3165175,1.0499275,0.4586225,0,0,0.4445378125,0,-3.062775,2.6893,0.566943971856554
"080607A",22.38386741,1.31,1.36361198,1.06,0,-4.619788758,0,0,2.03418,3.46298403,-10.0540393,1.899984563,1.7256074,0,501.03752022846,1.7161,1.85943763199952,1.1236,0,21.3424481685432,0,0,4.1378882724,11.992258392035,101.083706245944,3.6099413396383,2.97772089893476,0,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0,0.028803,0,0,0.04,0.02068069,"080607A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.036,0.605951157564873
"080710A",20.89722339,1.47,0,1.3,0,-5.853871964,0,0,2.00149,4.09266933,-11.23284413,2.077948999,1.52133785,0,436.693945411563,2.1609,0,1.69,0,34.2678169709052,0,0,4.0059622201,16.7499422447226,126.176787248875,4.3178720424451,2.31446885384262,0,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0,0,0,0,0.062042069,0.23,0.086858896,"080710A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0.265996370495079
"080810A",21.45079548,1.34,0.301029996,1.079,0,-5.337242168,0,0,2.11482,3.2687548,-9.931814138,2.03666881,1.44529526,0,460.136626724788,1.7956,0.09061905849176,1.164241,0,28.4861539598773,0,0,4.4724636324,10.684757942523,98.6409320717767,4.14801984162682,2.08887838857847,0,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0,0,0,0,0.018882369,0.06,0.043429448,"080810A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0.638489256954637
"080905B",22.33533151,1.78,-0.301029996,0.375,0,-5.744727495,0,0,1.86248,3.67820615,-10.11125904,2.10720997,1.36946226,0,498.867033661599,3.1684,0.09061905849176,0.140625,0,33.001893991809,0,0,3.4688317504,13.5292004818978,102.237559373982,4.4403338576674,1.87542688156431,0,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,0,0,0,0,0.048254942,0.15,0.086858896,"080905B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.374,0.528145078253106
"080928A",21.51035195,1.77,0.322219295,0.99,0,-5.602059991,0,0,2.13864,4.08450503,-11.1260984,2.368584372,1.76031774,0,462.695241012869,3.1329,0.103825274070297,0.9801,0,31.3830761427629,0,0,4.5737810496,16.6831813400953,123.790065606483,5.61019192728263,3.09871854575871,0,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0,0,0,0.01,0.034743559,0.12,0.02068069,"080928A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.692,0.430075055551939
