"","log10NH","PhotonIndex","log10PeakFlux","log10Fa","log10Ta","Beta","log10T90","Alpha","Gamma","log10Fluence","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","log10FaSqr","log10TaSqr","BetaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Fa_opt","log10Ta_opt","Beta_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"060124A",21.9172644,1.84,-0.050609993,-10.6893,4.47599,0.99,1.134495856,1.3641,2.00895,-6.336299075,480.366478779507,3.3856,0.00256137139146005,114.26113449,20.0344864801,0.9801,1.28708084728117,1.86076881,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.0878348390000001,"060124A",0,0,0,0,0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",22.33966406,1.2,0.445604203,-10.63078414,3.93814,1.265,0.880241776,1.17565,2.20424,-6.080398976,499.060590313656,1.44,0.198563105731265,113.013571431276,15.5089466596,1.600225,0.774825584215634,1.3821529225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.0264623879999999,"060206A",0,0,0,0,0,0,0,0,0,0,0,4.048,0.703119346236078
"060210A",22.3877421,1.53,0.434568904,-10.66756154,4.15028,0.979,2.40654018,1.20511,2.08163,-5.11577123,501.210996336112,2.3409,0.188850132323761,113.796869209687,17.2248240784,0.958441,5.79143563795443,1.4522901121,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.0447067849999999,"060210A",0,0,0,0,0,0,0,0,0,0,0,3.91,0.691081492122968
"060306A",21.61973178,1.8,0.775974331,-10.70553377,3.61496,0.76,2.13255996245349,1.03794,2.28823,-5.671620397,467.412802239142,3.24,0.602136162370898,114.60845330061,13.0679358016,0.5776,4.54781199345963,1.0773194436,5.2359965329,32.1672779276664,0.0112622187283241,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",0,0,0,0,0,0,0,0,0,0,0,1.559,0.408070285887185
"060418A",21.65363309,1.7,0.814247596,-9.792961075,3.11887,0.98,2.158362492,1.47655,1.94118,-5.079354999,468.879825996343,2.89,0.662999147591779,95.9020866164651,9.7273500769,0.9604,4.65852864687245,2.1801999025,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",0,0,0,0,0,0,0,0,0,0,0,1.489,0.396024896608593
"060604A",21.99003057,2.01,-0.468521083,-11.76955108,4.45991,1.02,1.977723605,1.21596,2.1711,-6.395773947,483.561444469534,4.0401,0.219512005215493,138.522332624729,19.8907972081,1.0404,3.9113906577742,1.4785587216,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",0,0,0,0,0,0,0,0,0,0,0,2.1357,0.496334505996816
"060605A",21.77333803,1.55,-0.337242168,-11.26121944,4.04162,0.835,2.059904056,1.9179,2.02128,-6.156767222,474.078248968644,2.4025,0.11373227987734,126.815063275834,16.3346922244,0.697225,4.24320471992525,3.67834041,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",0,0,0,0,0,0,0,0,0,0,0,3.78,0.679427896612119
"060614A",20.51216256,2.02,1.06069784,-11.78251606,5.03344,0.783,2.036229544,1.9453,1.89544,-4.690369833,420.748812887866,4.0804,1.12507990778067,138.827684704158,25.3355182336,0.613089,4.14623075585845,3.78419209,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0.007727887,0.04,0.027945906,"060614A",0,0,0,0,0,0,0,0,0,0,0,0.125,0.0511525224473813
"060707A",21.20847898,0.6,0.004321374,-10.9132,3.5545,1.12,1.820857989,0.861995,2.09345,-5.795880017,449.799580645102,0.36,1.8674273247876e-05,119.09793424,12.63447025,1.2544,3.31552381610512,0.743035380025,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.0409865420000001,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",20.79066861,1.68,0.28780173,-10.86966623,3.50569,1.485,1.008600172,1.12969,2.20484,-6.306273051,432.251901250839,2.8224,0.0828298357909929,118.149643951602,12.2898623761,2.205225,1.01727430695843,1.2761994961,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.0313408390000001,"060708A",0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",22.0125926,1.93,0.10720997,-10.86012091,3.73449,0.87,2.060660074,1.20488,2.04425,-5.548213564,484.554232973575,3.7249,0.0114939776674009,117.942226179819,13.9464155601,0.7569,4.24631994057768,1.4517358144,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.0441080329999999,"060714A",0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",20.86562801,1.75,0.068185862,-11.15058059,5.1057,1.317,2.062017599,1.35481,1.92492,-5.583359493,435.374432251696,3.0625,0.00464931177668304,124.335447494085,26.06817249,1.734489,4.25191657858572,1.8355101361,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.0351096309999999,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",22.00679538,1.53,0.861534411,-10.91009489,4.22387,0.97,2.162265614,1.29504,2.11591,-4.835647144,484.299042897189,2.3409,0.742241541337117,119.030170508804,17.8410777769,0.9409,4.6753925854868,1.6771286016,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.00710934099999999,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060906A",22.41960057,2.03,0.294466226,-11.8827287,4.33479,1.06,1.638489257,1.71887,2.07859,-5.655607726,502.638489718344,4.1209,0.0867103582546831,141.199241357804,18.7904043441,1.1236,2.68464704530441,2.9545140769,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.0267258140000001,0.11,0.0617271349999999,"060906A",0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",21.80952201,1,0.481442629,-9.627087997,2.81918,1.185,1.285557309,1.38309,2.13395,-5.552841969,475.655250304674,1,0.231787005018432,92.6808233019815,7.9477758724,1.404225,1.65265759472332,1.9129379481,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.0358328779999999,"060908A",0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060926A",22.50004427,2.54,0.037426498,-10.84771166,3.351,1.357,0.903089987,1.45111,2.00443,-6.659555885,506.25199215196,6.4516,0.001400742752544,117.6728482585,11.229201,1.841449,0.81557152461966,2.1057202321,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.0557809430000001,"060926A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",22.10710478,0.9,0.431363764,-10.77728353,3.15198,0.83,1.352953912,1.39098,1.94856,-5.946921557,488.724081753899,0.81,0.186074696892248,116.149840286009,9.9349779204,0.6889,1.8304842879961,1.9348253604,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.0273444670000001,"060927A",0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
"061121A",21.75351565,1.41,1.324282455,-10.03011836,3.78753,0.9485,1.90982337,1.35185,1.90181,-4.863279433,473.215443134795,1.9881,1.75372402062083,100.603274315609,14.3453835009,0.89965225,3.64742530459816,1.8274984225,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.00946803099999999,"061121A",0,0,0,0,0,0,0,0,0,0,0,1.314,0.364363354615731
"070110A",21.3989672,1.58,-0.22184875,-11.04866248,4.26825,1.186,1.946550511,1.42725,2.08596,-5.790484985,457.915797226676,2.4964,0.0492168678765625,122.07294259696,18.2179580625,1.406596,3.78905889187436,2.0370425625,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.0868588959999997,"070110A",0,0,0,0,0,0,0,0,0,0,0,2.352,0.525304009958239
"070208A",21.8647258,1.94,-0.045757491,-10.86327943,3.44468,1.14,1.806179974,1.2125,2.20341,-6.351639989,478.066234309186,3.7636,0.00209374798261508,118.010839974261,11.8658203024,1.2996,3.26228609847864,1.47015625,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.0985702079999999,0.36,0.106160873,"070208A",0,0,0,0,0,0,0,0,0,0,0,1.165,0.335457900689384
