"","x"
"log10NH",80.7538568096449
"log10Ta",4.95083650797793
"log10NHSqr",3.52411299477992
"log10T90",2.89444040842599
"log10T90Sqr",1.1068746687271
"log10Fa",1.02892200731
"log10TaSqr",1.01044119470206
"PhotonIndex",0.998773870923762
"log10FaSqr",0.947147402424006
"log10PeakFlux",0.94186651326511
"log10PeakFluxSqr",0.927851641554164
"PhotonIndexSqr",0.914875980265092
