"row","GRB","y","z","pred","z_pred"
1,"000926A",0.482873583608754,2.04,0.334008788617187,1.15778807487321
2,"011211A",0.496929648073215,2.14,0.423906114566536,1.65403175349501
7,"050315A",0.469674772551798,1.949,0.397666821215023,1.49842790109103
8,"050318A",0.387389826338729,1.44,0.386230617481486,1.43349589220529
9,"050319A",0.627365856592733,3.24,0.400852167854243,1.5168200662084
10,"050401A",0.591064607026499,2.9,0.442314405589621,1.76894548595534
11,"050416A",0.218220304175545,0.6528,0.296799498285974,0.980612420889234
12,"050502A",0.680335513414563,3.79,0.430565776283724,1.69504348057348
13,"050502B",0.680607428991788,3.793,0.441718622516757,1.76514953671073
14,"050505A",0.721810615212547,4.27,0.593273300498203,2.91988476935865
15,"050525A",0.20682587603185,0.61,0.330955161421879,1.14266937056865
16,"050603A",0.582063362911709,2.82,0.325605550230653,1.11643799841822
17,"050730A",0.696094159995223,3.967,0.525204842671224,2.35123468795594
18,"050801A",0.40823996531185,1.56,0.356280491139248,1.27133132831736
19,"050802A",0.433001340945038,1.7102,0.423089343947798,1.64904504951255
21,"050820A",0.558072259099146,2.6147,0.442634148687528,1.77098483307601
22,"050824A",0.261928672990642,0.8278,0.250119761341401,0.778769857197159
23,"050904A",0.86302529622947,6.295,0.675029622801612,3.73183533246516
25,"050922C",0.504878459410216,2.198,0.40766324581231,1.55660271515464
26,"051016B",0.286995073968852,0.9364,0.388425941692278,1.44582816428212
28,"051109A",0.524525936626376,2.346,0.50314389118245,2.18525269022626
29,"051111A",0.406540180433955,1.55,0.461992169714622,1.89729134936178
30,"060115A",0.656098202012832,3.53,0.578490923456915,2.78870615454415
31,"060124A",0.517987203025078,2.296,0.457597151805049,1.86811890287717
32,"060206A",0.703119346236078,4.048,0.570290334568377,2.71783690888372
33,"060210A",0.691081492122968,3.91,0.55192012742233,2.56385583311937
34,"060223A",0.733197265106569,4.41,0.667284386459268,3.64819550595979
35,"060306A",0.408070285887186,1.559,0.41540296331038,1.60257325983692
37,"060502A",0.398391440229475,1.5026,0.48676937271229,2.06739265082158
38,"060510B",0.770852011642144,4.9,0.633050882344255,3.2958675459916
39,"060512A",0.15836249209525,0.44,0.416546329322724,1.60943407530823
40,"060526A",0.625415352154408,3.221,0.495474612874989,2.1294975282603
41,"060604A",0.496334505996816,2.1357,0.593698351989153,2.92372310612632
44,"060614A",0.0511525224473813,0.125,0.234434501160072,0.715672938558702
45,"060707A",0.645913275033844,3.425,0.522951676192318,2.33389314577238
