"row","GRB","y","z","pred","z_pred"
1,"000926A",0.482873583608754,2.04,0.347601967119056,1.22639371388915
2,"011211A",0.496929648073215,2.14,0.422976251530275,1.64835531497137
7,"050315A",0.469674772551798,1.949,0.379726186130401,1.39732098015135
8,"050318A",0.387389826338729,1.44,0.379935246211554,1.39847527703645
9,"050319A",0.627365856592733,3.24,0.405712305263579,1.54514368493649
10,"050401A",0.591064607026499,2.9,0.433700986064894,1.71456963044153
11,"050416A",0.218220304175545,0.6528,0.297429239800048,0.98348645831862
12,"050502A",0.680335513414563,3.79,0.432155239934434,1.70492507533423
13,"050502B",0.680607428991788,3.793,0.435190874128584,1.72389820898634
14,"050505A",0.721810615212547,4.27,0.591274718959864,2.90188727885846
15,"050525A",0.20682587603185,0.61,0.327017280475244,1.12332894707857
16,"050603A",0.582063362911709,2.82,0.351183877013593,1.24483216764271
17,"050730A",0.696094159995223,3.967,0.526365709856468,2.36020450591552
18,"050801A",0.40823996531185,1.56,0.374573777225791,1.36904754746779
19,"050802A",0.433001340945038,1.7102,0.424460611668363,1.65742252372793
21,"050820A",0.558072259099146,2.6147,0.441219619378589,1.76197421223935
22,"050824A",0.261928672990642,0.8278,0.212299729589049,0.630420884110102
23,"050904A",0.86302529622947,6.295,0.657620381143916,3.54590526707806
25,"050922C",0.504878459410216,2.198,0.419371822603185,1.62646623849248
26,"051016B",0.286995073968852,0.9364,0.391723764481208,1.46447129737441
28,"051109A",0.524525936626376,2.346,0.506403001735719,2.20924594948363
29,"051111A",0.406540180433955,1.55,0.476374830988604,1.99484831591
30,"060115A",0.656098202012832,3.53,0.584358778417026,2.8402436386163
31,"060124A",0.517987203025078,2.296,0.438388210848677,1.74402592922357
32,"060206A",0.703119346236078,4.048,0.579028242576434,2.79339652984082
33,"060210A",0.691081492122968,3.91,0.558717528396836,2.62007466777099
34,"060223A",0.733197265106569,4.41,0.667099656673884,3.64621878831368
35,"060306A",0.408070285887186,1.559,0.424331405269583,1.65663203492829
37,"060502A",0.398391440229475,1.5026,0.48396469006735,2.04764719326769
38,"060510B",0.770852011642144,4.9,0.608185252262081,3.05681545700061
39,"060512A",0.15836249209525,0.44,0.395686175526665,1.48705950081955
40,"060526A",0.625415352154408,3.221,0.488929332055132,2.08268629793896
41,"060604A",0.496334505996816,2.1357,0.58915927649272,2.88292745343066
44,"060614A",0.0511525224473813,0.125,0.247451759310261,0.767875834197529
45,"060707A",0.645913275033844,3.425,0.527141021071042,2.3662085680466
46,"060708A",0.465382851448418,1.92,0.424762964320626,1.6592732460711
47,"060714A",0.569490954348783,2.711,0.552949903708427,2.57231628758814
48,"060729A",0.187520720836463,0.54,0.331189999836398,1.14382830112669
50,"060904B",0.230448921378274,0.7,0.466437574322151,1.92710009848699
