"","log10NH","log10PeakFlux","PhotonIndex","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"050904A",22.39388568,-0.207608311,1.25,2.259044094,1.90813,-5.316052869,501.486115848909,0.0431012107962727,1.5625,5.10328021863628,3.6409600969,28.2604181060031,0.0223211438768381,0.016184888,0.07,0.119080745,"050904A",1,5.59847142,-0.05190207775,0.3125,0.5647610235,0.4770325,-1.32901321725,6.295,0.86302529622947
"050908A",22.00679538,-0.15490196,1.88,1.239799818,2.74883,-6.316052869,484.299042897189,0.0239946172118416,3.5344,1.53710358871283,7.5560663689,39.8925238440031,0.063286086716648,0.045857181,0.17,0.086858896,"050908A",1,5.501698845,-0.03872549,0.47,0.3099499545,0.6872075,-1.57901321725,3.34,0.637489729512511
"050922C",21.44930866,0.860936621,1.37,0.653212514,2.2119,-5.790484985,460.072841991951,0.741211865378898,1.8769,0.4266865884462,4.89250161,33.5297163615105,0.0434736058796182,0.014476483,0.06,0.019142456,"050922C",0,0,0,0,0,0,0,2.198,0.504878459410216
"051016B",21.71466751,0.113943352,2.4,0.602059991,1.89482,-6.769551079,471.52678506985,0.0129830874649959,5.76,0.36247623276292,3.5903428324,45.8268218111901,0.0509829166339321,0.056202815,0.23,0.053451629,"051016B",0,0,0,0,0,0,0,0.9364,0.286995073968852
"051028A",20.9024195385481,0.179466033655192,1.6783282458665,1.204119983,2.02921982175251,-6.17568341398607,436.911142565477,0.0322080572359265,2.81678570087332,1.44990493345992,4.11773308499329,38.1390656297826,0.179553274179706,0.0451414448022833,0.236991174642203,0.0749534429882672,"051028A",1,5.22560488463702,0.044866508413798,0.419582061466625,0.30102999575,0.507304955438127,-1.54392085349652,3.6,0.662757831681574
"051109A",21.97057233,0.595496222,1.51,1.57054294,2.06584,-5.657577319,482.706048507762,0.354615750416273,2.2801,2.46660512638384,4.2676949056,32.0081811204632,0.0827679937346041,0.05369459,0.2,0.076056648,"051109A",0,0,0,0,0,0,0,2.346,0.524525936626376
"051111A",21.79196559,0.424881637,1.32,1.776555911,2.23019,-5.389339837,474.889764275744,0.1805244054598,1.7424,3.15615090490904,4.9737474361,29.0449838786752,0.00811616012140756,0.014263593,0.06,0.034286406,"051111A",1,5.4479913975,0.10622040925,0.33,0.44413897775,0.5575475,-1.34733495925,1.55,0.406540180433955
"060115A",21.43355223,-0.060480747,1,2.144885418,2.10553,-5.76700389,459.397161196138,0.00365792075767801,1,4.60053345634903,4.4332565809,33.2583338672751,0.0469357822743554,0.038096007,0.303030303,0.059902687,"060115A",0,0,0,0,0,0,0,3.53,0.656098202012832
"060124A",21.9172644,-0.050609993,1.84,1.134495856,2.00895,-6.336299075,480.366478779507,0.00256137139146005,3.3856,1.28708084728117,4.0358801025,40.1486859678459,0.0416381769095578,0.049929734,0.19,0.087834839,"060124A",0,0,0,0,0,0,0,2.296,0.517987203025078
"060206A",22.33966406,0.445604203,1.2,0.880241776,2.20424,-6.080398976,499.060590313656,0.198563105731265,1.44,0.774825584215634,4.8586739776,36.9712517073418,0.110636974360534,0.021949902,0.181818182,0.026462388,"060206A",0,0,0,0,0,0,0,4.048,0.703119346236078
