"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060926A",0.037426498,22.50004427,3.351,2.54,-10.84771166,1.45111,0.903089986991944,1.357,2.00443,-6.659555885,0.001400742752544,506.25199215196,11.229201,6.4516,117.6728482585,2.1057202321,0.815571524605109,1.841449,4.0177396249,44.3496845854381,0.0658325115046647,0.08245,0.09927,0.11561,0.009157091,0.0300466640198818,0.139393939,0.0338066319525806,"060926A",3.2,0.6232492903979
"060927A",0.431363764,22.10710478,3.15198,0.9,-10.77728353,1.39098,1.35218251811136,0.83,1.94856,-5.946921557,0.186074696892248,488.724081753899,9.9349779204,0.81,116.149840286009,1.9348253604,1.82839756228599,0.6889,3.7968860736,35.3658760051113,0.0249820977867784,0.08115,0.108435,0.118785,0.178498106,0.0158391122565265,0.242424242,0.0165724044733706,"060927A",5.47,0.8109042806687
"061007A",0.62324929,21.91722026,3.17241640516737,1.4,-9.18075073436846,1.57372310221302,1.59328606702046,0.893977653245318,1.82568,-5.638272164,0.388439677485504,480.364543925354,10.0642258477751,1.96,84.286184046607,2.47660440243898,2.53856049136152,0.799196044502006,3.3331074624,31.7901129953372,0.100484314152503,0.896081788820906,0.599260338994357,0.279853082530128,0.204344951021608,0.0842660934455674,0.18,0.144764827428965,"061007A",1.26,0.354108439147401
"061021A",0.78604121,20.87141063,3.23849,1.3,-10.04095861,1.01707,1.66464197555613,0.785,1.99282,-5.528708289,0.617860783818264,435.615781686077,10.4878174801,1.69,100.820849807733,1.0344313849,2.7710329067834,0.616225,3.9713315524,30.5666153448573,0.0507507175232146,0.0264,0.03399,0.010415,0.016800037,0.0089811102944679,0.036363636,0.0116311571135192,"061021A",0.3463,0.129141845792285
"061110A",-0.27572413,21.71466751,2.24983,1.67,-8.33235,1.40649,1.60959440922522,1.98,1.82722,-5.974694135,0.0760237958642569,471.52678506985,5.0617350289,2.7889,69.4280565225,1.9782141201,2.59079416220908,3.9204,3.3387329284,35.6969700068034,0.0429439501542518,0.2103,0.03335,0.11946,0.0015,0.0188715726956945,0.072727273,0.0595944402240336,"061110A",0.7578,0.244969460136198
"061121A",1.324282455,21.75351565,3.78753,1.41,-10.03011836,1.35185,1.91009054559407,0.9485,1.90181,-4.863279433,1.75372402062083,473.215443134795,14.3453835009,1.9881,100.603274315609,1.8274984225,3.64844589236784,0.89965225,3.6168812761,23.6514868434408,0.246407281884026,0.01265,0.01703,0.01585,0.002358211,0.00382325157840621,0.018181818,0.00573820083195282,"061121A",1.314,0.364363354615731
"061126A",0.595496222,21.96198081,3.69650017597763,1.4,-10.627196083335,1.20019003952305,2.47450763911698,0.883630210508616,1.5415,-5.070581074,0.354615750416273,482.328601098808,13.6641135510027,1.96,112.93729659365,1.44045613097034,6.12318805604827,0.780802348923501,2.37622225,25.710792428007,0.0207018675137275,0.803512113338549,0.599669312252584,0.286354979923443,0.20830136157016,0.0510934685037089,0.151515152,0.065802194705171,"061126A",1.1588,0.334212409393176
"061222A",0.930949031,22.56660835,3.92091,1.35,-9.954677021,1.35061,1.85369821177617,0.86,1.92748,-5.097453221,0.866666098319839,509.25181242229,15.3735352281,1.8225,99.0955945924254,1.8241473721,3.43619706034219,0.7396,3.7151791504,25.9840293402833,0.0973208923032497,0.02311,0.024435,0.018075,0.005,0.00520487944706068,0.024242424,0.00802277634320278,"061222A",2.088,0.489677291663699
"070110A",-0.22184875,21.3989672,4.26825,1.58,-11.04866248,1.42725,1.94645226501307,1.186,2.08596,-5.790484985,0.0492168678765625,457.915797226676,18.2179580625,2.4964,122.07294259696,2.0370425625,3.78867641997452,1.406596,4.3512291216,33.5297163615105,0.0711281657171841,0.05475,0.053995,0.046555,0.12166788,0.0175472517755912,0.072727273,0.0526417556261212,"070110A",2.352,0.525304009958239
"070125A",0.62324929,20.98677173,4.30629065074305,2.23,-10.813322366919,1.58665980310591,1.9804578922761,0.876626287989198,2.45742,-5.080921908,0.388439677485504,440.444587647127,18.544139168677,4.9729,116.927940610911,2.51748933079207,3.92221346307869,0.768473648793721,6.0389130564,25.8157674351944,0.0759139130615947,0.792082430196926,0.603986468225475,0.293210377887751,0.209926990447291,0.0219340647449938,0.024242424,0.0877362588943192,"070125A",1.55,0.406540180433955
"070208A",-0.045757491,21.8647258,3.44468,1.94,-10.86327943,1.2125,1.67851837904011,1.14,2.20341,-6.351639989,0.00209374798261508,478.066234309186,11.8658203024,3.7636,118.010839974261,1.47015625,2.81742394877545,1.2996,4.8550156281,40.3433305498639,0.20601598202985,0.1619,0.14114,0.06357,0.015,0.0597395201502247,0.218181818,0.0643399231491616,"070208A",1.165,0.335457900689384
"070223A",-0.161150909,21.70173804,4.22335,1.85,-11.86327943,0.991734,1.94694327069783,1.03,2.25837,-5.769551079,0.0259696154715263,470.965433956783,17.8366852225,3.4225,140.737398834261,0.983536326756,3.79058809931555,1.0609,5.1002350569,33.2877196531901,0.039676879658603,0.16615,0.203105,0.079308,0.06,0.0185794430922578,0.072727273,0.0572192993510938,"070223A",1.6295,0.419873175149476
"070306A",0.609594409,22.44245468,4.86926,1.66,-11.2737,1.89982,2.32118402730231,0.831,1.94468,-5.269217724,0.371605343484059,503.663772063854,23.7096929476,2.7556,127.09631169,3.6093160324,5.38789528860339,0.690561,3.7817803024,27.7646554229157,0.134263479547411,0.0335,0.02824,0.06188,0.001,0.0139921394309921,0.060606061,0.013580796821018,"070306A",1.4959,0.397227181043161
"070411A",0.591064607,22.340573,3.60458529627371,1.3,-10.6819298776948,1.38420838190395,1.61384182187607,0.900150175192394,1.92748,-5.443697499,0.349357369648064,499.101201968329,12.9930351581127,1.69,114.103625911988,1.91603284453315,2.60448542603627,0.810270337898898,3.7151791504,29.6338424606189,0.00923562857434798,0.786377514992206,0.596755647699331,0.297816372688092,0.212802289965528,0.0457754394646476,0.066666667,0.065802194705171,"070411A",2.95,0.59659709562646
"070508A",1.382017043,21.89306622,3.02525,1.1,-9.161150909,1.37377,1.32014628611105,0.764,1.82568,-4.707743929,1.90997110714246,479.306348513305,9.1521375625,1.21,83.9266859774715,1.8872440129,1.74278621673281,0.583696,3.3331074624,22.1628529010364,0.0152922340419372,0.010795,0.01189,0.013355,5e-04,0.00366612225284185,0.060606061,0.00666213086681254,"070508A",0.82,0.260071387985075
"070521A",0.814913181,22.27524914,3.55243,1.1,-10.01233374,1.44502,1.57863920996807,0.98,2.00022,-5.096367484,0.664083492567539,496.186724249071,12.6197589049,1.21,100.246826921142,2.0880828004,2.49210175524862,0.9604,4.0008800484,25.9729615319725,0.032307204598357,0.04901,0.04844,0.0562,0.147518075,0.00581622391039878,0.121212121,0.0108830581881966,"070521A",2.0865,0.489466281303128
"070529A",0.155336037,22.56252244,3.09323,1.34,-10.24641694,1.21432,2.03822263836872,0.76,1.97999,-5.590066877,0.0241292843908654,509.067418855503,9.5680718329,1.7956,104.989060108319,1.4745730624,4.15435152355874,0.5776,3.9203604001,31.2488476893325,0.0794726286049195,0.0552,0.068045,0.03501,0.015,0.0250918873122187,0.096969697,0.0662623494478934,"070529A",2.4996,0.544018407858776
"070612A",1.037426498,21.75162856,4.27312134517268,1.54,-10.6663754958367,1.99851301652256,2.26881190373978,0.892623434318423,1.66432281,-5.236572006,1.07625373875254,473.133345012208,18.2595660305704,2.3716,113.771566218186,3.99405427721011,5.14750745455133,0.796776595494417,2.7699704158863,27.4216863740229,0.0334396932055774,0.803214113356137,0.617499792550398,0.392925159057942,0.207522072241368,0.0842660934455674,0.18,0.144764827428965,"070612A",0.671,0.222976449893391
"070714B",0.431363764,21.64321572,3.22974,1.36,-10.74232143,1.64623,1.80617997398389,0.93,2.07429,-6.142667504,0.186074696892248,468.428786702455,10.4312204676,1.8496,115.397469705437,2.7100732129,3.26228609842043,0.8649,4.3026790041,37.7323640646976,0.0570608478039056,0.09935,0.0946,0.108425,0.005,0.0329010971465546,0.115151515,0.0194969464108742,"070714B",0.923,0.28397928423848
"070721B",0.176091259,21.89473409,3.94739,1.34,-10.50863831,2.5054,2.53147891704225,0.52,1.52512,-5.443697499,0.0310081314962051,479.379380871808,15.5818878121,1.7956,110.4314791304,6.27702916,6.40838550742943,0.2704,2.3259910144,29.6338424606189,0.0272330828930823,0.3648,0.10084,0.09144,0,0.0146227098205568,0.066666667,0.0526417554416033,"070721B",3.626,0.6652056284346
"070802A",-0.397940009,21.91375294,3.92184,1.79,-11.6716204,1.16348,1.2148438480477,0.78,1.99014,-6.552841969,0.15835625076292,480.212567915359,15.3808289856,3.2041,136.226722761696,1.3536857104,1.47584557513934,0.6084,3.9606572196,42.9397378706878,0.0799687771394852,0.17395,0.236245,0.2088785,0.045,0.0470015673425834,0.163636364,0.065802194705171,"070802A",2.45,0.537819095073274
"070810A",0.278753601,21.93100401,3.36583,2.04,-10.77728353,1.36994,1.04139268515823,1.02,2.17076,-6.161150909,0.0777035700704672,480.968936886636,11.3288115889,4.1616,116.149840286009,1.8767356036,1.08449872470106,1.0404,4.7121989776,37.9597805234715,0.197037086517346,0.06175,0.07187,0.077915,0.01,0.0228877197175498,0.084848485,0.0277061869917745,"070810A",2.17,0.501059262217751
"071003A",0.799340549,20.86974084,4.78411,1.36,-11.67760082,1.97901,2.17609125905568,0.837,1.91015,-5.080921908,0.638945313275621,435.546082728764,22.8877084921,1.8496,136.366360911265,3.9164805801,4.73537316773854,0.700569,3.6486730225,25.8157674351944,0.0130126209875294,0.1359,0.098505,0.183105,0.032,0.00951357025803561,0.042424242,0.0167116683635139,"071003A",1.60435,0.415699348887829
"071010A",-0.397940009,21.65033473,4.25996927068967,0.49,-10.9931900899895,1.80923177587464,1.68124123737559,0.869835996035804,2.09,-6.173925197,0.15835625076292,468.736993921044,18.1473381872203,0.2401,120.850228354644,3.27331961883451,2.8265720982522,0.7566146599996,4.3681,38.1173523381515,0.0376155997043379,0.801835317093345,0.599937176195094,0.297966019861641,0.206467933905284,0.0354526107425099,0.103030303,0.131604388324606,"071010A",0.99,0.298853076409707
"071010B",0.342422681,20.99187128,3.54198241891661,1.62,-10.4572689592166,1.06734833283326,1.3654879848909,0.874797505908661,2.01678,-5.698970004,0.117253292463228,440.658659836089,12.5456394559144,2.6244,109.354474085395,1.13923246360195,1.86455743688141,0.765270676344013,4.0674015684,32.4782591064918,0.131947893472792,0.798505544861433,0.605619641818525,0.283488621998123,0.208162010024345,0.0219340647449938,0.042424242,0.131604388703391,"071010B",0.947,0.289365951520032
"071020A",0.924279286,20.99642367,2.311950854,1.11,-9.169411331,1.119196934,0.6232492903979,0.844,1.59788,-5.638272164,0.85429219852867,440.849806930136,5.34511675131133,1.2321,84.0781041570712,1.252601777075,0.388439677981486,0.712336,2.5532204944,31.7901129953372,0.0601790284455221,0.035099822,0.039262062,0.011153209,0.001,0.0114438598661619,0.03030303,0.00940031347184909,"071020A",2.145,0.497620649781288
"071025A",-0.301029996,21.16590877,3.5978096999246,0.9,-10.7440475254543,1.42012816130268,2.23894889831176,0.889696845511107,2.13864,-5.744727495,0.09061905849176,447.995694059963,12.9442346368715,0.81,115.434557229222,2.01676399452493,5.01289216925145,0.791560476912414,4.5737810496,33.001893991809,0.0421049044034134,0.790725680008093,0.59553305768929,0.284083741680848,0.204806724571744,0.0219340647615575,0.121212121,0.05371607691878,"071025A",5,0.778151250383644
"071112C",0.591064607,21.33992622,3.32786428205471,2.1,-10.424330391275,1.19867080911865,0.732393759822969,0.868898698222478,1.84304,-6.156767222,0.349357369648064,455.392451075043,11.0746806797755,4.41,108.66666410646,1.43681170863317,0.536400619427624,0.754984947772717,3.3967964416,37.9057826258936,0.0563106258528354,0.785358026050633,0.611230045656311,0.279991549478659,0.20803174403624,0.0394813165204961,0.066666667,0.0900451080536063,"071112C",0.82,0.260071387985075
"071117A",1.053078443,22.04291793,3.901990464,1.57,-11.23542972,1.104952391,0.819543935541869,0.94,2.0457,-5.619788758,1.1089742071113,485.890230868716,15.2255295811469,2.4649,126.234880993059,1.22091978637662,0.671652262283455,0.8836,4.18488849,31.5820256845432,0.120079755769867,0.101024385,0.117162967,0.089387802,0.01,0.0109670323640116,0.036363636,0.00931712484047533,"071117A",1.331,0.367542273520577
"080310A",0.113943352,21.82763844,4.32608056,2.32,-11.3990271,1.59590648,2.56229286445647,0.878,2.09352,-5.638272164,0.0129830874649959,476.445799867366,18.7149730116099,5.3824,129.937818826534,2.54691749290599,6.56534472324456,0.770884,4.3828259904,31.7901129953372,0.0207018675137275,0.04247343,0.03798676,0.065276352,0.0375,0.0228877197323238,0.096969697,0.0404936579440628,"080310A",2.42,0.534026106056135
"080319B",1.394451681,20.8771334,5.36799912,1.04,-12.15181088,1.42250979,1.69897000433602,0.73,1.81426,-4.091514981,1.94449549064373,435.854699001396,28.8154145523208,1.0816,147.666507663286,2.02353410264584,2.88649907563353,0.5329,3.2915393476,16.7404948397474,0.00155572020808234,0.097779455,0.087626454,0.075139905,0,0.0032494910720681,0.012121212,0.00530662856410116,"080319B",0.937,0.287129620719111
"080319C",0.716003344,21.75037415,3.19029,1.37,-8.91721463,1.45203,1.53147891704226,1.94,1.61029,-5.443697499,0.512660788619182,473.078775664988,10.1779502841,1.8769,79.516716757486,2.1083911209,2.34542767334492,3.7636,2.5930338841,29.6338424606189,0.11349174293958,0.05004,0.04713,0.02854,0.199995173,0.00731135491027843,0.042424242,0.0151851217472848,"080319C",1.95,0.469822015978163
"080330A",0.462397998,21.0438101,3.64807653033903,1.31,-10.5137745513658,1.30349947153241,1.97772360528885,0.860317187599192,1.88453,-5.463441557,0.213811908554408,442.841943524862,13.3084623712104,1.7161,110.539455316946,1.69911087228528,3.91139065891672,0.740145663278584,3.5514533209,29.8491936467546,0.0969169434308637,0.782727038563034,0.582376646909955,0.286786761649282,0.206583440939298,0.0347435585260231,0.36969697,0.0914304172328591,"080330A",1.51,0.399673721481038
"080411A",1.635483747,21.57289018,4.20932562,1.75,-10.11350927,1.28909841,1.7481880270062,0.91,1.97674,-4.578396073,2.67480708670116,465.38959071834,17.7184221751884,3.0625,102.283069754376,1.66177471066453,3.05616137776783,0.8281,3.9075010276,20.9617106012618,0.00776276208179474,0.06043543,0.049275581,0.010296793,0,0.000997002942546105,0.018181818,0.00548351617874055,"080411A",1.03,0.307496037913213
"080430A",0.414973348,21.51787914,4.21762911,1.73,-11.17198494,0.99269763,1.20951501454263,0.693,2.03541,-5.920818754,0.172202879550329,463.019122683647,17.7883953095194,2.9929,124.813247499587,0.985448584607617,1.46292657040406,0.480249,4.1428938681,35.0560947177181,0.0585255609478052,0.028180965,0.038388523,0.020935069,0.0755,0.0219340647449938,0.054545455,0.0202468289563662,"080430A",0.767,0.247236549506764
"080516A",0.255272505,22.03528962,3.77452827,1.82,-11.12090412,0.94016916,0.763427993562937,1.48,2.3315,-6.585026652,0.065164051808975,485.55398863728,14.2470636610292,3.3124,123.674508446233,0.883918049415106,0.582822301355532,2.1904,5.43589225,43.3625760075503,0.0159503209321748,0.077803665,0.111057696,0.084888358,0.03,0.0404936579835962,0.163636364,0.04386812953948,"080516A",3.2,0.6232492903979
"080603A",0.814247596,21.83430305,3.76269553440138,1.37,-10.682962915563,1.22942723996379,0.851258348719075,0.887527941188281,2.02179,-5.63638802,0.662999147591779,476.736789679239,14.1578776846041,1.8769,114.125696655295,1.51149133836498,0.724640776263927,0.787705846389908,4.0876348041,31.7688699119995,0.0299157959458657,0.78567880054828,0.609744769045769,0.280150257797715,0.210741128505839,0.0354526107425099,0.060606061,0.131604388324606,"080603A",1.69,0.429752280002408
"080603B",0.267171728,21.59122827,3.90729685888208,1.94,-10.6336600160576,1.36269358995131,1.54654266347813,0.878863084335198,2.00022,-5.882728704,0.071380732242506,466.181138207247,15.2669687434298,3.7636,113.074725337102,1.85693382009438,2.39179420995803,0.772400321007178,4.0008800484,34.6064970048655,0.0342910112443923,0.787265774478691,0.604604263334265,0.280867624587645,0.203533779415441,0.0540590334499272,0.139393939,0.144764827428965,"080603B",2.6893,0.566943971856554
"080607A",1.36361198,22.38386741,3.46298403,1.31,-10.0540393,1.7256074,1.89762709129044,1.06,2.03418,-4.619788758,1.85943763199952,501.03752022846,11.992258392035,1.7161,101.083706245944,2.97772089893476,3.60098857759942,1.1236,4.1378882724,21.3424481685432,0.0180592945376601,0.11042072,0.069659314,0.037637388,0.02,0,0.024242424,0.0125337512846333,"080607A",3.036,0.605951157564873
"080710A",0,20.89722339,4.09266933,1.47,-11.23284413,1.52133785,2.07918124604762,1.3,2.00149,-5.853871964,0,436.693945411563,16.7499422447226,2.1609,126.176787248875,2.31446885384262,4.32299465391615,1.69,4.0059622201,34.2678169709052,0.0631067762093961,0.06269498,0.054210787,0.06401643,0.150517844,0.0376012538165791,0.139393939,0.0526417552900893,"080710A",0.845,0.265996370495079
"080721A",1.320146286,21.79728278,2.87876286,1.11,-8.714442691,1.33437559,1.20951501454263,0.735,1.9433,-4.920818754,1.74278621643959,475.121536591284,8.28727560411538,1.2321,75.9415114147233,1.78055821518785,1.46292657040406,0.540225,3.77641489,24.2144572097181,3.86039539469557,0.007019299,0.007554816,0.006435673,0,0.0219340647449938,0.048484848,0.0226686984976336,"080721A",2.591,0.555215405126073
"080810A",0.301029996,21.45079548,3.2687548,1.34,-9.931814138,1.44529526,2.02530586526477,1.079,2.11482,-5.337242168,0.09061905849176,460.136626724788,10.684757942523,1.7956,98.6409320717767,2.08887838857847,4.10186384787588,1.164241,4.4724636324,28.4861539598773,0.0177699795108654,0.031830706,0.039738688,0.036139295,0.0015,0.0114438598573077,0.036363636,0.0263208776246799,"080810A",3.35,0.638489256954637
"080905B",-0.301029996,22.33533151,3.67820615,1.78,-10.11125904,1.36946226,2.10720996964787,0.375,1.86248,-5.744727495,0.09061905849176,498.867033661599,13.5292004818978,3.1684,102.237559373982,1.87542688156431,4.44033385618337,0.140625,3.4688317504,33.001893991809,0.095199838533423,0.03236457,0.038825489,0.033301752,0.00558525,0.0292454196637412,0.090909091,0.0526417557651133,"080905B",2.374,0.528145078253106
"080916A",0.431363764,21.7431239,3.60698,1.17,-10.75269955,0.998947,1.77815125038364,0.83,1.88453,-5.397940009,0.186074696892248,472.763436930751,13.0103047204,1.3689,115.62054761257,0.997895108809,3.16182186924092,0.6889,3.5514533209,29.1377563407629,0.0457883734550316,0.0592,0.073495,0.0260505,0.01,0.00658021942774567,0.127272727,0.0194969464108742,"080916A",0.6887,0.227552503379865
"080928A",0.322219295,21.51035195,4.08450503,1.77,-11.1260984,1.76031774,2.44715803134222,0.99,2.13864,-5.602059991,0.103825274070297,462.695241012869,16.6831813400953,3.1329,123.790065606483,3.09871854575871,5.98858243036273,0.9801,4.5737810496,31.3830761427629,0.0322625499166263,0.064484035,0.047916769,0.075970735,0,0.0210567021369837,0.072727273,0.0125337513552694,"080928A",1.692,0.430075055551939
"081007A",0.414973348,21.69605744,3.58176278,2.51,-10.58502665,1.00469263,1,0.92,2.102,-6.148741651,0.172202879550329,470.718908439779,12.8290246121933,6.3001,112.04278918121,1.00940728077632,1,0.8464,4.418404,37.8070238907422,0.127558078741005,0.053161115,0.084284398,0.039134851,0.005,0.0296573269567103,0.121212121,0.0404936579127324,"081007A",0.5295,0.184549481320698
"081008A",0.113943352,21.1376737,3.85550833,1.69,-10.79317412,1.47398467,2.26834391395106,0.84,1.98207,-5.366531544,0.0129830874649959,446.801249447672,14.8649444826994,2.8561,116.492607584638,2.17263080739501,5.14538411195884,0.7056,3.9286014849,28.799660812747,0.0944541322659323,0.06052989,0.056285684,0.063988679,0.025,0.0122422686816868,0.042424242,0.0202468291390677,"081008A",1.9685,0.472537053262077
"081028A",-0.301029996,20.90308999,4.75426,1.25,-11.3994,2.20023,2.41497334797082,0.945,2.51,-5.431798276,0.09061905849176,436.939171130038,22.6029881476,1.5625,129.94632036,4.8410120529,5.83209627140938,0.893025,6.3001,29.5044325111566,0.0544346314348955,0.0572,0.03025,0.054715,5e-04,0.0142275014568467,0.23030303,0.0526417557651133,"081028A",3.038,0.60616631460762
"081029A",-0.301029996,21.49704581,4.48156171,1.43,-11.86327943,2.51960373,2.43136376415899,0.87,1.95818,-5.677780705,0.09061905849176,462.122978557239,20.0843953605381,2.0449,140.737398834261,6.34840295622991,5.91152975366536,0.7569,3.8344689124,32.2371937340703,0.0734806588231774,0.083250805,0.04285341,0.169198521,0.001,0.0250675025476,0.109090909,0.105283510661638,"081029A",3.8479,0.685553652846326
"081109A",-0.397940009,22.00679538,3.98871579105181,1.43,-10.8590937972823,1.84966767796868,1.55059520748933,0.891037704546556,1.79496,-6.508638306,0.15835625076292,484.299042897189,15.9098536617861,2.0449,117.919918098176,3.42127051892204,2.40434549748887,0.793948190923596,3.2218814016,42.3623725983306,0.0447672759398327,0.836294893693278,0.614174595470225,0.553381678867918,0.207040203277685,0.0387071730789222,0.05,0.0579059309278577,"081109A",0.98,0.296665190261531
"081203A",0.462397998,21.66176916,4.02089,1.54,-10.9243983,1.86904,2.46834733041216,0.82,2.03508,-5.113509275,0.213811908554408,469.232243141127,16.1675563921,2.3716,119.342478217043,3.4933105216,6.09273854355282,0.6724,4.1415506064,26.147977105511,0.12256244375552,0.05695,0.03932,0.064395,0.0325,0.0102548874161921,0.036363636,0.0181523294061522,"081203A",2.1,0.491361693834273
"081221A",1.260071388,21.57331844,2.93195749,1.21,-9.354577731,1.23586126,1.53147891704226,0.991,2.4947,-4.742321425,1.58777990285625,465.408068513644,8.5963747231671,1.4641,87.5081245253211,1.52735305396879,2.34542767334492,0.982081,6.22352809,22.489612498014,0.0102431891779573,0.0249855,0.031176651,0.012861856,5e-04,0.00436257641157646,0.078787879,0.00723101035372789,"081221A",2.26,0.513217600067939
"081228A",-0.017728767,21.45692297,3.40557852842782,2.04,-10.9094598298686,1.31860701254099,2.00945089579869,0.903443707562994,2.05121,-5.698970004,0.000314309179340289,460.399543340514,11.5979651132886,4.1616,119.016313779516,1.73872445352227,4.03789290262617,0.816210532735169,4.2074624641,32.4782591064918,0.021146889716851,0.810123861422879,0.594215247239936,0.28247724006834,0.212135852060068,0.017844662826724,0.018181818,0.04386812953948,"081228A",3.44,0.64738297011462
"081230A",-0.15490196,20.67248024,3.66959365,1.97,-11.32975415,0.99376498,1.78318869107526,1.02,2.08621,-6.086186148,0.0239946172118416,427.35143927319,13.4659175561203,3.8809,128.363329099442,0.9875688354744,3.17976190797869,1.0404,4.3522721641,37.0416618281071,0.0985519956259729,0.0701444,0.08735027,0.040381418,0.02,0.0256789050871822,0.096969697,0.0376012540900799,"081230A",2.1,0.491361693834273
"090102A",0.740362689,21.72376179,3.15380077,1.36,-9.457174573,1.42487631,1.43136376415899,0.667,1.76997,-7.167491087,0.548136911263311,471.921826308664,9.94645929685259,1.8496,89.4381509041977,2.03027249879922,2.04880222534738,0.444889,3.1327938009,51.3729284822244,0.0360303570814986,0.036239983,0.041590346,0.021786596,0.002673458,0.0116121519146922,0.048484848,0.0382849130607791,"090102A",1.547,0.406028944963615
"090205A",-0.301029996,21.81792086,3.70655,2.15,-11.3419886,1.29089,0.944482672150169,1.01,2.03416,-6.721246399,0.09061905849176,476.021670653223,13.7385129025,4.6225,128.64070540253,1.6663969921,0.892047517991923,1.0201,4.1378069056,45.1751531560705,0.0885407573811254,0.13445,0.114585,0.084185,0.025,0.0415592805603905,0.139393939,0.0526417557651133,"090205A",4.6497,0.752025387323213
"090313A",-0.017728767,21.71466751,3.64480008799828,1.47,-10.2983452978499,1.21290174467775,2.18977095634687,0.892512606184269,1.82831,-5.619788758,0.000314309179340289,471.52678506985,13.2845676814723,2.1609,106.055915873746,1.47113064224233,4.7950968412603,0.796578752197835,3.3427174561,31.5820256845432,0.0991498518293477,0.788630571238245,0.599848985167073,0.279380519941551,0.211886031836454,0.017844662826724,0.03030303,0.04386812953948,"090313A",3.38,0.6414741105041
"090418A",0.278753601,22.02365981,3.52813657,1.48,-10.04720756,1.52909667,1.7481880270062,0.98,2.03408,-5.337242168,0.0777035700704672,485.041591426609,12.4477476565714,2.1904,100.946379753721,2.33813662620509,3.05616137776783,0.9604,4.1374814464,28.4861539598773,0.032023099707459,0.028659405,0.030759021,0.042154514,0.003531332,0.0114438598573077,0.042424242,0.0415592806019498,"090418A",1.608,0.416307587059883
"090423A",0.230448921,22.7516324,3.91521772,0.8,-11.2798407,1.43267533,1.01283722470517,0.77,1.8158,-6.229147988,0.0531067051900642,517.63677686473,15.328929795002,0.64,127.234806217376,2.05255860119061,1.02583924374848,0.5929,3.29712964,38.8022846564045,0.0447672759398327,0.08569564,0.077643595,0.064053366,0.005,0.017844662826724,0.303030303,0.0309657384329063,"090423A",8.26,0.966610986681934
"090424A",1.851258349,21.63012977,2.99599056,1.19,-9.050609993,1.1284106,1.68124123737559,0.924,1.96315,-4.677780705,3.42715747474221,467.86251386704,8.97595943560911,1.4161,81.9135412453915,1.27331048219236,2.8265720982522,0.853776,3.8539579225,21.8816323240703,0.020561192440785,0.011257098,0.013394814,0.005546887,0,0,0.090909091,0.00741433173843615,"090424A",0.544,0.188647295999717
"090516A",0.204119983,21.19589965,4.33113504,1.84,-11.27490548,1.76098314,2.32221929473392,0.502,2.09,-5.045757491,0.0416649674599203,449.26616197287,18.7587307347158,3.3856,127.123493582934,3.10106161936426,5.3927024528345,0.252004,4.3681,25.4596686579826,0.13235641353242,0.03779605,0.029715315,0.053351589,0.479087085,0.0175472518118213,0.066666667,0.0329010970302395,"090516A",4.109,0.708335902682263
"090519A",-0.22184875,22.13069392,3.44619,1.02,-11.76000021,1.42452,1.80617997398389,0.63,1.46604,-5.920818754,0.0492168678765625,489.767613380725,11.8762255161,1.0404,138.2976049392,2.0292572304,3.26228609842043,0.3969,2.1492732816,35.0560947177181,0.0559162050288593,0.21145,0.24029,0.3065,0.03,0.0219340647449938,0.121212121,0.0877362588943192,"090519A",3.85,0.685741738602264
"090529A",-0.397940009,21.35337952,4.472757799,2,-12.1873998,0.8815438,2,0.64,2.22623,-6.167491087,0.15835625076292,455.966816925155,20.0055623285153,4,148.53271388504,0.77711947131844,4,0.4096,4.9561000129,38.0379463082244,0.0457201049030991,0.11547934,0.21900534,0.113675222,0.125,0.0658021941832558,0.181818182,0.065802194705171,"090529A",2.625,0.559308010907013
"090530A",0.397940009,20.90942658,3.6839464,1.61,-11.16052195,0.88610581,1.68124123737559,1.09,2.03975,-5.958607315,0.15835625076292,437.204119904411,13.571461078073,2.5921,124.557250196432,0.785183506515756,2.8265720982522,1.1881,4.1605800625,35.5050011343715,0.323703994596272,0.089175625,0.115365029,0.038514202,0.035,0.023928070636996,0.103030303,0.0315850532370607,"090530A",1.266,0.355259905527378
"090618A",1.589949601,21.39200012,3.67275453,1.42,-9.640164518,1.30942861,2.05384642685225,0.8945,1.82831,-3.978810701,2.52793973372006,457.61766913408,13.4891258376355,2.0164,92.9327719341062,1.71460328468653,4.21828514509377,0.80013025,3.3427174561,15.8309345943921,0.00227712475506529,0.009695255,0.014245613,0.010591616,0.002482662,0.00250675025669951,0.048484848,0.00541303397821518,"090618A",0.54,0.187520720836463
