"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"090812A",0.556302501,21.77771022,3.52924,1.24,-10.16730017,1.824125834,1.37252,0.53,1.88559,-5.236572006,0.309472472618855,474.268662426292,12.4555349776,1.5376,103.373992746882,3.3274350582662,1.8838111504,0.2809,3.5554496481,27.4216863740229,0.0954430381608785,0.10615,0.13258,0.08412,0.015,1121.35374238754,0.05,0.00291067430887943,"090812A",2.452,0.538070787043172
"090927A",0.301029996,21.01785522,4.20121889,1.8,-11.6716204,0.342422681,1.13087741,0.92,2.06549,-6.698970004,0.09061905849176,441.750238048881,17.6502401616928,3.24,136.226722761696,0.117253292463228,1.27888371644831,0.8464,4.2662489401,44.8761991144918,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,141458.772029333,0.2,0.00943058480195555,"090927A",1.37,0.374748346010104
"091018A",1.012837225,21.19187281,2.89655535,1.77,-9.627087997,0.639486489,1.18074867,0.91,1.98015,-5.853871964,1.0258392443457,449.095473195217,8.39003289561362,3.1329,92.6808233019815,0.408942969613547,1.39416742170677,0.8281,3.9209940225,34.2678169709052,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,9623.04562796554,0.24,0.000711138450425608,"091018A",0.971,0.294686624279443
"091020A",0.62324929,21.70587483,2.95265011,1.53,-9.71219827,1.590061231,1.17417264,0.895,2.08587,-5.431798276,0.388439677485504,471.145002135627,8.71814267208301,2.3409,94.326795235791,2.52829471832924,1.37868138852457,0.801025,4.3508536569,29.5044325111566,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,1377.73339561699,0.07,0.00320768188130392,"091020A",1.71,0.432969290874406
"091029A",0.255272505,21.45058625,4.30368998,1.46,-11.34678749,1.593286067,1.12123368,1.064,2.11535,-5.619788758,0.065164051808975,460.127650468689,18.5217474439524,2.1316,128.74958634322,2.53856049129633,1.25716496516634,1.132096,4.4747056225,31.5820256845432,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,3274.50855183053,0.27,0.00582134862226292,"091029A",2.752,0.574262829707027
"091127A",1.667452953,20.87872913,3.98466812,2.05,-9.844663963,0.84260924,1.39581701,0.758,1.80187,-5.045757491,2.78039935046842,435.921330083911,15.8775800265443,4.2025,96.9174085443909,0.709990331333378,1.94830512540534,0.574564,3.2467354969,25.4596686579826,0.0093822306004846,0.018562516,0.021935207,0.013587309,0.00244132,698.561854514012,0.07,0.00023551928908673,"091127A",0.49,0.173186268412274
"050416A",0.688419822,21.75162856,2.99481,3.08,-10.5559552,0.397940009,0.842217,0.9,2.06183,-6.435333936,0.473921851322512,473.133345012208,8.9688869361,9.4864,111.428190184407,0.15835625076292,0.709329475089,0.81,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,51812.9375456888,0.22,0.0038016332352199,"050416A",0.6528,0.218220304175545
"050820A",0.389166084,21.61964524,3.750945731,1.25,-10.01818139,1.414973348,1.136499703,0.9,1.96878,-5.463441557,0.151450240935895,467.409060303455,14.0695938769071,1.5625,100.363958362942,2.00214957555033,1.29163157491909,0.81,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,3857.15512761613,0.12,0.007227103697097,"050820A",2.6147,0.558072259099146
"050922C",0.860936621,21.44930866,2.52429,1.37,-9.477555766,0.653212514,1.22035,1.064,2.2119,-5.790484985,0.741211865378898,460.072841991951,6.3720400041,1.8769,89.8240632976399,0.4266865884462,1.4892541225,1.132096,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,3880.89918373157,0.06,0.00114510509712601,"050922C",2.198,0.504878459410216
"051016B",0.113943352,21.71466751,4.25742,2.4,-11.59006688,0.602059991,1.14771,0.73,1.89482,-6.769551079,0.0129830874649959,471.52678506985,18.1256250564,5.76,134.329650282873,0.36247623276292,1.3172382441,0.5329,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,143579.837901114,0.23,0.0178567288768006,"051016B",0.9364,0.286995073968852
"051109A",0.595496222,21.97057233,3.91123,1.51,-10.51999306,1.57054294,1.22299,1.06,2.06584,-5.657577319,0.354615750416273,482.706048507762,15.2977201129,2.2801,110.670253982448,2.46660512638384,1.4957045401,1.1236,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,10599.6655161413,0.2,0.00838349810284054,"051109A",2.346,0.524525936626376
"051109B",-0.259637311,21.36742302,3.65548,1.97,-11.57511836,1.155336037,1.251,1.06,2.12549,-6.591760035,0.0674115332633107,456.566766515626,13.3625340304,3.8809,133.983365048009,1.33480135839087,1.565001,1.1236,4.5177077401,43.4513003590232,0.114743908376789,0.0922,0.126645,0.12217,0.01,117997.430810171,0.24,0.0810562665802752,"051109B",0.08,0.0334237554869497
"060223A",0.130333768,22.49782636,2.78682,1.74,-10.9636,1.053078443,1.1892,0.81,2.01015,-6.171984936,0.0169868910810778,506.152190924711,7.7663657124,3.0276,120.20052496,1.1089742071113,1.41419664,0.6561,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,19988.4783960126,0.12,0.0186283158010624,"060223A",4.41,0.73319726510657
"060502A",0.227886705,21.45692297,3.3865,1.46,-10.55284197,1.45331834,0.897152,0.87,2.02719,-5.63638802,0.051932350315757,460.399543340514,11.46838225,2.1316,111.362473643793,2.11213419738036,0.804881711104,0.7569,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,3605.32835371532,0.08,0.0138680214151639,"060502A",1.5026,0.398391440229475
"060510B",-0.244125144,22.00215742,4.43617,1.78,-12.2656,2.43964843,1.00735,1.38,2.1317,-5.390405591,0.0595970859330207,484.094931134461,19.6796042689,3.1684,150.44494336,5.95188446200147,1.0147540225,1.9044,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,2003.97580621777,0.08,0.0638574536893906,"060510B",4.9,0.770852011642144
"060912A",0.933487288,21.36738202,2.455171016,1.74,-10.1079054,0.698970004,1.045731532,0.63,1.8948,-5.869666232,0.871398516857595,456.565014388619,6.02786471780647,3.0276,102.169751575349,0.48855906649176,1.09355443701907,0.3969,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,6416.41981196936,0.09,0.00112731873681498,"060912A",0.937,0.287129620719111
"061222A",0.930949031,22.56660835,3.92091,1.35,-9.954677021,1.853698212,1.35061,0.86,1.92748,-5.097453221,0.866666098319839,509.25181242229,15.3735352281,1.8225,99.0955945924254,3.436197061172,1.8241473721,0.7396,3.7151791504,25.9840293402833,0.0973208922530927,0.02311,0.024435,0.018075,0.005,466.801397033827,0.04,0.000673975191590261,"061222A",2.088,0.489677291663699
"070714B",0.431363764,21.64321572,3.22974,1.36,-10.74232143,1.806179974,1.64623,0.93,2.07429,-6.142667504,0.186074696892248,468.428786702455,10.4312204676,1.8496,115.397469705437,3.26228609847864,2.7100732129,0.8649,4.3026790041,37.7323640646976,0.0570608478017886,0.09935,0.0946,0.108425,0.005,32745.0861757534,0.19,0.00517453221657478,"070714B",0.923,0.28397928423848
"070721B",0.176091259,21.89473409,3.94739,1.34,-10.50863831,2.531478917,2.5054,0.52,1.52512,-5.443697499,0.0310081314962051,479.379380871808,15.5818878121,1.7956,110.4314791304,6.40838550721549,6.27702916,0.2704,2.3259910144,29.6338424606189,0.0272330828957319,0.3648,0.10084,0.09144,0,2910.67430887943,0.11,0.0251482261612299,"070721B",3.626,0.6652056284346
"070810A",0.278753601,21.93100401,3.36583,2.04,-10.77728353,1.041392685,1.36994,1.02,2.17076,-6.161150909,0.0777035700704672,480.968936886636,11.3288115889,4.1616,116.149840286009,1.08449872437151,1.8767356036,1.0404,4.7121989776,37.9597805234715,0.197037086589132,0.06175,0.07187,0.077915,0.01,23769.5903101443,0.14,0.0104494015818934,"070810A",2.17,0.501059262217751
"080319B",1.394451681,20.8771334,5.36799912,1.04,-12.15181088,1.68090255756894,1.42250979,0.73,1.81426,-4.091514981,1.94449549064373,435.854699001396,28.8154145523208,1.0816,147.666507663286,2.82543340804182,2.02353410264584,0.5329,3.2915393476,16.7404948397474,0.00162180613819454,0.097779455,0.087626454,0.075139905,0,28.7473993974167,0.02,0.000153332867801245,"080319B",0.937,0.287129620719111
"080905B",-0.301029996,22.33533151,3.67820615,1.78,-10.11125904,2.10720997,1.36946226,0.375,1.86248,-5.744727495,0.09061905849176,498.867033661599,13.5292004818978,3.1684,102.237559373982,4.4403338576674,1.87542688156431,0.140625,3.4688317504,33.001893991809,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,11642.6972445258,0.15,0.0754446785323893,"080905B",2.374,0.528145078253106
"080916A",0.431363764,21.7431239,3.60698,1.17,-10.75269955,1.77815125,0.998947,0.83,1.88453,-5.397940009,0.186074696892248,472.763436930751,13.0103047204,1.3689,115.62054761257,3.16182186787656,0.997895108809,0.6889,3.5514533209,29.1377563407629,0.0457883734954798,0.0592,0.073495,0.0260505,0.01,1178.82310204672,0.21,0.00517453221657478,"080916A",0.6887,0.227552503379865
"081028A",-0.301029996,20.90308999,4.75426,1.25,-11.3994,2.414973348,2.20023,0.945,2.51,-5.431798276,0.09061905849176,436.939171130038,22.6029881476,1.5625,129.94632036,5.83209627155033,4.8410120529,0.893025,6.3001,29.5044325111566,0.0544346314312377,0.0572,0.03025,0.054715,5e-04,2755.4666738571,0.38,0.0754446785323893,"081028A",3.038,0.60616631460762
"081203A",0.462397998,21.66176916,4.02089,1.54,-10.9243983,2.46834733,1.86904,0.82,2.03508,-5.113509275,0.213811908554408,469.232243141127,16.1675563921,2.3716,119.342478217043,6.09273854151813,3.4933105216,0.6724,4.1415506064,26.147977105511,0.122562443871835,0.05695,0.03932,0.064395,0.0325,954.351633611598,0.06,0.00448541497302058,"081203A",2.1,0.491361693834273
"090418A",0.278753601,22.02365981,3.52813657,1.48,-10.04720756,1.748188027,1.52909667,0.98,2.03408,-5.337242168,0.0777035700704672,485.041591426609,12.4477476565714,2.1904,100.946379753721,3.05616137774615,2.33813662620509,0.9604,4.1374814464,28.4861539598773,0.0320230997079162,0.028659405,0.030759021,0.042154514,0.003531332,1782.71927303226,0.07,0.0156741022585521,"090418A",1.608,0.416307587059883
"090516A",0.204119983,21.19589965,4.33113504,1.84,-11.27490548,2.322219295,1.76098314,0.502,2.09,-5.045757491,0.0416649674599203,449.26616197287,18.7587307347158,3.3856,127.123493582934,5.3927024540703,3.10106161936426,0.252004,4.3681,25.4596686579826,0.132356413451328,0.03779605,0.029715315,0.053351589,0.479087085,1397.12366077308,0.11,0.0147352887527822,"090516A",4.109,0.708335902682263
"091109A",0.113943352,21.89596701,3.37933883,1.31,-11.14630179,1.681241237,1.06152816,0.89,1.96352,-5.795880017,0.0129830874649959,479.433371303008,11.4199309279458,1.7161,124.240043593757,2.82657209698929,1.12684203447299,0.7921,3.8554107904,33.5922251714599,0.15117163716416,0.05941034,0.074268877,0.033719571,0.03,14735.2887527822,0.25,0.0446418216908924,"091109A",3.076,0.610234175334389
"091208B",1.181843588,21.91211094,3.31388094,1.74,-10.18045606,1.173186268,1.1606541,0.86,2.03333,-5.48148606,1.39675426649671,480.140605846868,10.9818068844953,3.0276,103.641685589591,1.37636601942377,1.34711793984681,0.7396,4.1344308889,30.0466894259743,0.0844607534610546,0.036806415,0.052928177,0.030502454,0.034663611,3463.94305182866,0.11,0.000816359480712774,"091208B",1.063,0.314499227973151
"100316B",0.113943352,21.41315218,3.5543767,2.23,-11.1481304,0.579783597,1.36246063,1.08,2.23535,-6.698970004,0.0129830874649959,458.523086283839,12.6335937255029,4.9729,124.280811415404,0.336149019350258,1.8562989683,1.1664,4.9967896225,44.8761991144918,0.0508837165764397,0.10431242,0.207348761,0.13322096,0.02,94305.8480195556,0.18,0.0111604555062413,"100316B",1.18,0.338456493604605
"100418A",0,21.90370028,5.54363,2.16,-12.48811664,0.84509804,1.81145,0.84,2.26662,-6.468521083,0,479.772085956072,30.7318335769,4.6656,155.953057214245,0.714190697211842,3.2813511025,0.7056,5.1375662244,41.8417650012155,0.059763875267383,0.10745,0.075475,0.16786,0.01,81579.4542768195,0.25,0.0377223392370084,"100418A",0.6235,0.21045229296202
"100425A",0.146128036,20.53466438,3.60199415,2.42,-11.50168945,1.568201724,0.86819371,1.46,2.17077,-6.327902142,0.0213534029052173,421.672441199241,12.9743618566342,5.8564,132.288860204241,2.45925664715657,0.753760318083564,2.1316,4.7122423929,40.0423455187282,0.0442926372724909,0.070859065,0.115125536,0.055076895,0.035,76844.9646985677,0.32,0.0192460915661414,"100425A",1.755,0.440121603187804
"100513A",-0.22184875,22.05240534,3.74522911,1.62,-11.57186521,1.924279286,0.96306136,1.36,2.25722,-5.853871964,0.0492168678765625,486.30858127966,14.0267410863914,2.6244,133.908064438408,3.70285077052867,0.92748718312505,1.8496,5.0950421284,34.2678169709052,0.0768849139302361,0.09817689,0.128616618,0.061569437,0.025,9623.04562796554,0.14,0.0523921383580096,"100513A",4.772,0.761326322421457
"100621A",1.10720997,22.28454803,3.64164386,1.9,-9.804100348,1.803457116,0.94079321,0.27,2.3024,-4.677780705,1.2259139176674,496.601080901377,13.2615700030757,3.61,96.1203836336537,3.25245756925104,0.885091863982104,0.0729,5.30104576,21.8816323240703,0.0114965181711467,0.041282476,0.060455075,0.024177265,0.150679792,0,0.03,0.000345358334378083,"100621A",0.542,0.188084373714938
"100704A",0.633468456,21.52730245,3.62503495,1.73,-10.35163999,2.2955671,1.01294211,1.29,2.11575,-5.22184875,0.401282284747024,463.424750773776,13.1408783887215,2.9929,107.156450482567,5.26962831060241,1.02605171821125,1.6641,4.4763980625,27.2677043678766,0.0511462884983093,0.04763446,0.053639373,0.01813996,0.01,1047.84278163667,0.06,0.00204014811913293,"100704A",3.6,0.662757831681574
"100728A",0.707570176,21.52592288,4.03148606,1.18,-10.17587417,2.297760511,1.5588143,0.96,1.90402,-4.420216403,0.500655553964671,463.365355835707,16.2528798519743,1.3924,103.548415123673,5.27970336591098,2.42990202188449,0.9216,3.6252921604,19.5383130493503,0.0276692267863542,0.0760751,0.053762484,0.034265796,0.005,0,0.02,0.00145030138684342,"100728A",1.567,0.409425868671443
"100814A",0.397940009,20.89608288,5.22729477,1.47,-11.49349497,2.241795431,1.76532941,1.1425,1.89414,-5.045757491,0.15835625076292,436.646279727829,27.3246106124694,2.1609,132.100426625415,5.02564675445248,3.11638792581095,1.30530625,3.5877663396,25.4596686579826,0.0235643330529017,0.04362636,0.035347138,0.084015169,0.01745135,465.70787083938,0.04,0.00603557437759419,"100814A",1.44,0.387389826338729
"100816A",1.037426498,21.34783526,3.97801299,0.73,-11.5559552,0.462397998,1.04455013,1.09,1.91138,-5.698970004,1.07625373875254,455.730070288099,15.8245873486087,0.5329,133.540100584407,0.213811908554408,1.09108497408302,1.1881,3.6533735044,32.4782591064918,0.0930248425840856,0.08674922,0.112014005,0.047175154,0.015,4715.29240097778,0.24,0.000635002760226822,"100816A",0.804,0.256236533205923
"100901A",-0.096910013,21.53188109,4.91124,1.52,-11.34103516,2.64246452,1.50754,1.075,1.98285,-5.677780705,0.00939155061966017,463.6219032739,24.1202783376,2.3104,128.619078500356,6.98261873945883,2.2726768516,1.155625,3.9316941225,32.2371937340703,0.0223211438768381,0.0283,0.02425,0.036255,5e-04,12830.727712406,0.21,0.0589411550567323,"100901A",1.408,0.381656482585787
"100906A",1.004321374,21.96198081,3.94074768,1.78,-10.4698003,2.058426024,1.71220056,0.87,2.02817,-4.920818754,1.00866142227325,482.328601098808,15.5294922774254,3.1684,109.61671832188,4.23711769628045,2.93163075766431,0.7569,4.1134735489,24.2144572097181,0.00604043448603348,0.048743085,0.039933316,0.059340084,0,0,0.03,0.000739581185594643,"100906A",1.727,0.43568513794163
"101219B",-0.22184875,20.49692965,4.42003952,1.56,-11.99567863,1.531478917,0.66918137,0.94,1.85684,-5.677780705,0.0492168678765625,420.124125077049,19.5367493583618,2.4336,143.896305794239,2.34542767321549,0.447803705955077,0.8836,3.4478547856,32.2371937340703,0.0692396240032236,0.089446275,0.166829365,0.039390628,0.105,17107.6368120034,0.16,0.157176414350205,"101219B",0.55,0.190331698170291
"110213A",0.204119983,21.56708403,3.84089,1.83,-9.896196279,1.681241237,1.8412,1.1905,1.96436,-5.229147988,0.0416649674599203,465.139113557081,14.7524359921,3.3489,97.9347007924934,2.82657209698929,3.39001744,1.41729025,3.8587102096,27.3439886804045,0.14476482742628,0.03588,0.023515,0.02785,0.226362665,2167.32776618835,0.12,0.0442058665297807,"110213A",1.46,0.390935107103379
"110422A",1.487138375,22.02088312,3.50066971,0.86,-9.681936665,1.413299764,1.42239886,0.778,1.89199,-4.387216143,2.21158054639764,484.919293384701,12.2546884185115,0.7396,93.7398975850713,1.99741622292246,2.0232185169293,0.605284,3.5796261601,19.2476654853998,0.00950159657676303,0.024137407,0.029472713,0.022779716,0.005,112.202076651869,0.1,0.000200120634056894,"110422A",1.77,0.442479769064449
"110503A",0.130333768,21.13638759,2.54166555,0.88,-9.08249449,1,1.14649063,0.687,1.90907,-5,0.0169868910810778,446.746880354706,6.4600637680568,0.7744,82.4917061608804,1,1.3144407646778,0.471969,3.6445482649,25,0.147896600362852,0.028998071,0.028887961,0.006289914,0.001,754.446776054279,0.25,0.00620943860035413,"110503A",1.613,0.417139409727326
"110715A",1.731588765,22.0746007,2.61109719,1.25,-9.075720714,1.113943352,0.95853538,0.755,1.85342,-4.928117993,2.99839965107422,487.287996064441,6.8178285356259,1.5625,82.3687064785287,1.240869791465,0.918790074711744,0.570025,3.4351656964,24.2863469529303,0.133629071449258,0.02377653,0.035600881,0.009554076,0.0015,270.915952785432,0.12,7.14140712767968e-05,"110715A",0.82,0.260071387985075
"110731A",1.041392685,21.95954126,5.08952072,1.15,-12.08512818,1.588831726,1.42351927,0.39,1.85145,-5.22184875,1.08449872437151,482.221452349642,25.9032211593093,1.3225,146.05032312703,2.52438625354414,2.02640711206133,0.1521,3.4278671025,27.2677043678766,0.130539784388153,0.097418495,0.090702815,0.110855301,0.13,523.921354627131,0.05,0.000467632308350595,"110731A",2.83,0.583198773968623
"110808A",-0.397940009,21.0498741606011,4.50711,2.32,-12.08440021,1.681241237,0.807091,1.4,2.33721,-6.48148606,0.15835625076292,443.097202177143,20.3140405521,5.3824,146.032728435448,2.82657209698929,0.651395882281,1.96,5.4625505841,42.0096615459743,0.204728382319217,0.0837,0.155655,0.0776,0.025,138557.720757103,0.43,0.235764621495079,"110808A",1.348,0.370698092575577
"110818A",0.204119983,22.06812647,3.84627415,1.58,-11.28316228,2.012837225,1.37167718,0.83,1.95985,-5.397940009,0.0416649674599203,487.002205895915,14.7938248369582,2.4964,127.309751036815,4.0515136943457,1.88149828613275,0.6889,3.8410120225,29.1377563407629,0.0761271870594219,0.05514905,0.059648416,0.067338189,0.01,2357.64620409343,0.11,0.0221029331291733,"110818A",3.36,0.639486489268586
"111008A",0.806179974,22.17059025,3.98993393,1.86,-10.66756154,1.802500068,1.21584288,0.829,1.94053,-5.27572413,0.649926150478641,491.535072033395,15.9195727657652,3.4596,113.796869209687,3.24900649514,1.47827390884669,0.687241,3.7656566809,27.8332650958643,0.0161841207996628,0.028511085,0.035676696,0.027351291,0.001,2014.36490387373,0.09,0.00322334443406988,"111008A",4.9898,0.777412321496744
"111123A",-0.045757491,21.35034301,4.42202873,1.68,-11.60730305,2.462397998,1.46723371,1.25,2.55463,-5.13667714,0.00209374798261508,455.837146644656,19.5543380889454,2.8224,134.729484094539,6.06340390055441,2.15277475976036,1.5625,6.5261344369,26.3854520405986,0.131921983937837,0.07308827,0.070655771,0.105884147,0.005,1061.80348549523,0.07,0.0232853945070678,"111123A",3.1516,0.618215503279417
"111209A",-0.301029996,21.14009932,4.13326,1.48,-9.057000407,2.505149978,2.77382,0.2529,1.81212,-4.443697499,0.09061905849176,446.903799259465,17.0838382276,2.1904,82.0292563723982,6.2757764122734,7.6940773924,0.06395841,3.2837788944,19.7464474626189,0.0401068361866461,0.02099,0.010455,0.04435,5e-05,145.533721475839,0.03,0.0754446785323893,"111209A",0.677,0.224533062606086
"111228A",1.093421685,21.41342718,4.10627835,2.27,-10.65757732,2.005180513,1.15297662,0.99,2.03824,-5.070581074,1.19557098122824,458.534863593163,16.8615218876787,5.1529,113.583954331778,4.02074888971494,1.32935508626662,0.9801,4.1544222976,25.710792428007,0.023242060897345,0.030118345,0.037264425,0.023299272,0,522.108519239801,0.06,0.000613331471679521,"111228A",0.714,0.234010817587179
"120118B",0.342422681,21.451745,3.68307,2.08,-10.95467702,1.36660971,1.0241,1.01,2.20884,-5.744727495,0.117253292463228,460.177363545025,13.5650046249,4.3264,120.004948612516,1.86762209946628,1.04878081,1.0201,4.8789741456,33.001893991809,0.366834332492466,0.1172,0.131765,0.077156,0.005,5821.34862226292,0.11,0.0116908076997196,"120118B",2.943,0.595826777073223
"120327A",0.591064607,22.16619025,3.48517215,1.52,-10.15181088,1.798650645,1.44859414,0.63,1.75797,-5.443697499,0.349357369648064,491.339990199195,12.1464249151356,2.3104,103.059264143286,3.23514414275892,2.09842498244234,0.3969,3.0904585209,29.6338424606189,0.051933835584684,0.04362492,0.051679097,0.058002882,0.02,1455.33721475839,0.06,0.00248010122200827,"120327A",2.813,0.581266805273671
"120404A",0.079181246,21.70983536,3.79948,1.85,-11.02687215,1.587710965,1.90651,0.69,1.89579,-5.795880017,0.00626966971811252,471.316951358306,14.4360482704,3.4225,121.591909412446,2.52082610838123,3.6347803801,0.4761,3.5940197241,33.5922251714599,0.179553274179706,0.11705,0.068285,0.121385,0.005,7367.6443763911,0.13,0.0261960691587366,"120404A",2.876,0.588383768378728
"120422A",-0.22184875,20.95382587,5.23266697,1.19,-12.73992861,0.728353782,0.86153199,1.1,2.32199,-6.638272164,0.0492168678765625,439.062818590281,27.380803618929,1.4161,162.305780987897,0.530499231753704,0.74223736979336,1.21,5.3916375601,44.0666573233372,0.181516258620399,0.11830242,0.217818621,0.214451933,0.035,142617.540064689,0.24,0.104784275992195,"120422A",0.283,0.108226656374928
"120729A",0.462397998,21.34792103,3.52138487,1.62,-10.29756946,1.854306042,2.26312734,0.645,1.8831,-5.619788758,0.213811908554408,455.733732303116,12.4001514026649,2.6244,106.039936783525,3.43845089739771,5.12174535705548,0.416025,3.54606561,31.5820256845432,0.223182009707008,0.06906832,0.047294772,0.130088482,0.013331067,3274.50855183053,0.08,0.00448541497302058,"120729A",0.8,0.255272505103306
"120802A",0.477121255,22.12127744,3.53838419,1.21,-11.17198494,1.698970004,0.54215516,0.91,2.03526,-5.721246399,0.227644691972775,489.350915577453,12.520162676042,1.4641,124.813247499587,2.88649907449176,0.293932217514626,0.8281,4.1422832676,32.7326603580705,0.2694762542188,0.07803221,0.220557212,0.11816229,0.055,15674.1022585521,0.47,0.00419137097537379,"120802A",3.796,0.680879174426811
"120811C",0.612783857,21.91722026,3.15909591,1.4,-10.14327111,1.428134794,1.01613299,0.65,1.92121,-5.522878745,0.375504055399796,480.364543925354,9.97988696857873,1.96,102.885948810961,2.03956898983342,1.03252625336634,0.4225,3.6910478641,30.5021896319728,0.0598545187495629,0.05294686,0.084200302,0.03800099,0.090734018,6287.0565354431,0.3,0.00224404163896285,"120811C",2.671,0.564784384503987
"120907A",0.462397998,21.0438101,3.2113827,1.73,-10.37675071,1.227886705,1.05329104,0.78,1.82021,-6.173925197,0.213811908554408,442.841943524862,10.3129788458593,2.9929,107.676955297485,1.50770576031576,1.10942201494428,0.6084,3.3131644441,38.1173523381515,0.035217186540104,0.04130341,0.062296694,0.028647271,0.005,46218.0588605941,0.25,0.00897082979628443,"120907A",0.97,0.294466226161593
"120922A",0.301029996,21.0163605,3.59799,1.58,-10.59516628,2.238046103,1.06622,1.17,2.06954,-5.207608311,0.09061905849176,441.68740866596,12.9455320401,2.4964,112.257548500849,5.00885035915349,1.1368250884,1.3689,4.2829958116,27.1191843207963,0.075913913084108,0.16365,0.133375,0.03563,0.005,3434.65630010076,0.36,0.00943058480195555,"120922A",3.1,0.612783856719735
"121024A",0.113943352,21.94617755,4.17178823,1.41,-11.31158018,1.838849091,1.30353551,0.87,2.00683,-5.958607315,0.0129830874649959,481.634709056124,17.4038170359665,1.9881,127.951846168569,3.38136597947153,1.69920482583096,0.7569,4.0273666489,35.5050011343715,0.201804932759115,0.063305895,0.065435085,0.06666149,0,15587.7437432909,0.22,0.0223209110124826,"121024A",2.298,0.5182506513085
"121027A",0.113943352,22.07736427,5.40919042,1.82,-11.92081875,1.796574333,1.50995764,1.16,2.37144,-5.698970004,0.0129830874649959,487.410013110273,29.2593409998198,3.3124,142.105919670352,3.22767933399439,2.27997207459437,1.3456,5.6237276736,32.4782591064918,0.03343969322178,0.041584155,0.037953731,0.058939694,0,4715.29240097778,0.09,0.0223209110124826,"121027A",1.773,0.442949869577862
"121128A",1.11058971,22.04029767,3.23392922,1.32,-9.617982957,1.367355921,1.54546584,0.9455,1.98504,-5.161150909,1.23340950395788,485.774721382207,10.4582981999698,1.7424,92.5055961611425,1.86966221469376,2.38846466260691,0.89397025,3.9403838016,26.6374787054715,0.0303933846890459,0.028690024,0.029795568,0.032445001,0.010337721,1584.63935400962,0.18,0.000453366271891632,"121128A",2.2,0.505149978319906
"121211A",0,21.66138196,4.20933518,2.36,-11.2823295,2.260071388,1.15615612,0.95,2.0682,-5.886056648,0,469.215468417013,17.7185026575856,5.5696,127.29095894657,5.10792267885625,1.33669697381345,0.9025,4.27745124,34.645662863465,0.0937486856135703,0.054250775,0.063247159,0.074602829,0.005,29798.4160145835,0.26,0.0565835092898071,"121211A",1.023,0.305995882770805
"130408A",0.69019608,20.06405721,3.58393,1.28,-10.32975415,1.447158031,1.39277,0.945,2.03183,-5.638272164,0.476370628847366,402.566391726153,12.8445542449,1.6384,106.703820799442,2.0942663666878,1.9398082729,0.893025,4.1283331489,31.7901129953372,0.202660966333188,0.077,0.070305,0.0643,0.117120218,14261.7540064689,0.26,0.00785554757169108,"130408A",3.757,0.677333151419902
"130418A",-0.22184875,21.12149747,2.59006,2.07,-9.247183569,2.07200023240372,1.28449,0.198,1.68684,-5.744727495,0.0492168678765625,446.117655375216,6.7084108036,4.2849,85.5104039587836,4.29318496308105,1.6499145601,0.039204,2.8454291856,33.001893991809,0.169579312058568,0.06047,0.06867,0.031625,0.003,11642.6972445258,0.17,0.104784275992195,"130418A",1.218,0.345961541813141
"130420A",0.531478917,20.79265849,3.56731,1.52,-10.8728952,2.091666958,0.914676,1.17,2.29559,-5.148741651,0.282469839215493,432.334647081769,12.7257006361,2.3104,118.219850030183,4.37507066318897,0.836632184976,1.3689,5.2697334481,26.5095405887422,0.0412728533350444,0.05505,0.08535,0.0286905,0.005,1122.4659564043,0.25,0.00326317811997931,"130420A",1.297,0.361160995195026
"130511A",0.113943352,21.01365445,2.65954,1.35,-10.51570016,0.73479983,1.16497,0.65,2.06879,-6.657577319,0.0129830874649959,441.573673344005,7.0731530116,1.8225,110.579949855024,0.539930790168029,1.3571551009,0.4225,4.2798920641,44.3233357584632,0.176931769551824,0.0838,0.089385,0.04916,0.01,155877.435338239,0.31,0.0223209110124826,"130511A",1.3033,0.362350507594848
