"","log10PeakFlux","log10NH","log10Ta","PhotonIndex","log10Fa","log10T90","Alpha","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","log10T90Sqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060418A",0.814247596,21.65363309,3.11887,1.7,-9.792961075,2.158362492,1.47655,0.98,1.94118,-5.079354999,0.662999147591779,468.879825996343,9.7273500769,2.89,95.9020866164651,4.65852864687245,2.1801999025,0.9604,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,687.700203391097,0.06,0.00155289278997044,"060418A",1.489,0.396024896608593
"060526A",0.222716471,21.0346260706325,3.8752,2.01,-11.3053948,2.47444938,1.05873,0.93,1.90677,-5.899629455,0.0496026264546938,442.455493931332,15.01717504,4.0401,127.811951583867,6.12289973418238,1.1209092129,0.8649,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,19602.5004879854,0.24,0.0121732961766373,"060526A",3.221,0.625415352154408
"060604A",-0.468521083,21.99003057,4.45991,2.01,-11.76955108,1.977723605,1.21596,1.02,2.1711,-6.395773947,0.219512005215493,483.561444469534,19.8907972081,4.0401,138.522332624729,3.9113906577742,1.4785587216,1.0404,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,123715.005921109,0.42,0.212106580353329,"060604A",2.1357,0.496334505996816
"060605A",-0.337242168,21.77333803,4.04162,1.55,-11.26121944,2.059904056,1.9179,0.835,2.02128,-6.156767222,0.11373227987734,474.078248968644,16.3346922244,2.4025,126.815063275834,4.24320471992525,3.67834041,0.697225,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,34941.8242721373,0.2,0.106963155437817,"060605A",3.78,0.679427896612119
"060614A",1.06069784,20.51216256,5.03344,2.02,-11.78251606,2.036229544,1.9453,0.783,1.89544,-4.690369833,1.12507990778067,420.748812887866,25.3355182336,4.0804,138.827684704158,4.14623075585845,3.78419209,0.613089,3.5926927936,21.9995691703164,0.0132262962944593,0.0429,0.0289,0.05983,0.006,164.518562949175,0.04,0.00105536980673643,"060614A",0.125,0.0511525224473813
"060707A",0.004321374,21.20847898,3.5545,0.6,-10.9132,1.820857989,0.861995,1.12,2.09345,-5.795880017,1.8674273247876e-05,449.799580645102,12.63447025,0.36,119.09793424,3.31552381610512,0.743035380025,1.2544,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,11125.1431304959,0.363636364,0.0425259191391797,"060707A",3.425,0.645913275033844
"060708A",0.28780173,20.79066861,3.50569,1.68,-10.86966623,1.008600172,1.12969,1.485,2.20484,-6.306273051,0.0828298357909929,432.251901250839,12.2898623761,2.8224,118.149643951602,1.01727430695843,1.2761994961,2.205225,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,28596.7346737925,0.12,0.0070160584709956,"060708A",1.92,0.465382851448418
"060714A",0.10720997,22.0125926,3.73449,1.93,-10.86012091,2.060660074,1.20488,0.87,2.04425,-5.548213564,0.0114939776674009,484.554232973575,13.9464155601,3.7249,117.942226179819,4.24631994057768,1.4517358144,0.7569,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,3932.89378641218,0.11,0.0149655275968552,"060714A",2.711,0.569490954348783
"060729A",0.068185862,20.86562801,5.1057,1.75,-11.15058059,2.062017599,1.35481,1.317,1.92492,-5.583359493,0.00464931177668304,435.374432251696,26.06817249,3.0625,124.335447494085,4.25191657858572,1.8355101361,1.734489,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,5842.11456583765,0.14,0.0179118418999252,"060729A",0.54,0.187520720836463
"060814A",0.861534411,22.00679538,4.22387,1.53,-10.91009489,2.162265614,1.29504,0.97,2.11591,-4.835647144,0.742241541337117,484.299042897189,17.8410777769,2.3409,119.030170508804,4.6753925854868,1.6771286016,0.9409,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,211.475860598359,0.03,0.0010348986003866,"060814A",1.9229,0.465813957269479
