"","PhotonIndex","log10PeakFlux","log10NH","Beta_opt","log10Ta_opt","Alpha_opt","log10Ta","log10Fluence","log10T90","Gamma","log10Fa","log10Fa_opt","Beta","Alpha","PhotonIndexSqr","log10PeakFluxSqr","log10NHSqr","Beta_optSqr","log10Ta_optSqr","Alpha_optSqr","log10TaSqr","log10FluenceSqr","log10T90Sqr","GammaSqr","log10FaSqr","log10Fa_optSqr","BetaSqr","AlphaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","PhotonIndex_opt","log10PeakFlux_opt","log10NH_opt","Beta_opt_opt","log10Ta_opt_opt","Alpha_opt_opt","log10Ta_opt","log10Fluence_opt","log10T90_opt","Gamma_opt","log10Fa_opt","log10Fa_opt_opt","Beta_opt","Alpha_opt","Redshift_crosscheck","log10z"
"060607A",1.47,0.146128036,21.79614607,0.72,3.53,1.25,0,-5.59345982,2.009450896,1.61002,0,-11.78,0,0,2.1609,0.0213534029052173,475.071983504776,0.5184,12.4609,1.5625,0,31.2867927579544,4.0378929034352,2.5921644004,0,138.7684,0,0,0.0174377429302028,0,0,0,0,0.03,0.04,0.05,0.27,0.019074895,0.08,0.040327345,"060607A",1,0.3675,0.036532009,5.4490365175,0.18,0.8825,0.3125,0,-1.398364955,0.502362724,0.402505,0,-2.945,0,0,3.07,0.60959440922522
"060614A",2.02,1.06069784,20.51216256,0,0,0,5.03344,-4.690369833,2.036229544,1.89544,-11.78251606,0,0.783,1.9453,4.0804,1.12507990778067,420.748812887866,0,0,0,25.3355182336,21.9995691703164,4.14623075585845,3.5926927936,138.827684704158,0,0.613089,3.78419209,0.0132262962944593,0.0429,0.0289,0.05983,0.006,0,0,0,0,0.007727887,0.04,0.027945906,"060614A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0511525224473813
"060707A",0.6,0.004321374,21.20847898,0,0,0,3.5545,-5.795880017,1.820857989,2.09345,-10.9132,0,1.12,0.861995,0.36,1.8674273247876e-05,449.799580645102,0,0,0,12.63447025,33.5922251714599,3.31552381610512,4.3825329025,119.09793424,0,1.2544,0.743035380025,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0,0,0,0,0.040986542,0.363636364,0.098898743,"060707A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.425,0.645913275033844
"060708A",1.68,0.28780173,20.79066861,0,0,0,3.50569,-6.306273051,1.008600172,2.20484,-10.86966623,0,1.485,1.12969,2.8224,0.0828298357909929,432.251901250839,0,0,0,12.2898623761,39.7690797937688,1.01727430695843,4.8613194256,118.149643951602,0,2.205225,1.2761994961,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0,0,0,0,0.032528129,0.12,0.031340839,"060708A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0.465382851448418
"060714A",1.93,0.10720997,22.0125926,0,0,0,3.73449,-5.548213564,2.060660074,2.04425,-10.86012091,0,0.87,1.20488,3.7249,0.0114939776674009,484.554232973575,0,0,0,13.9464155601,30.7826737517536,4.24631994057768,4.1789580625,117.942226179819,0,0.7569,1.4517358144,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0,0,0,0,0.025627978,0.11,0.044108033,"060714A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.711,0.569490954348783
"060729A",1.75,0.068185862,20.86562801,0,0,0,5.1057,-5.583359493,2.062017599,1.92492,-11.15058059,0,1.317,1.35481,3.0625,0.00464931177668304,435.374432251696,0,0,0,26.06817249,31.1739032280732,4.25191657858572,3.7053170064,124.335447494085,0,1.734489,1.8355101361,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0,0,0,0,0.035109631,0.14,0.048254942,"060729A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"060814A",1.53,0.861534411,22.00679538,0,0,0,4.22387,-4.835647144,2.162265614,2.11591,-10.91009489,0,0.97,1.29504,2.3409,0.742241541337117,484.299042897189,0,0,0,17.8410777769,23.3834833012754,4.6753925854868,4.4770751281,119.030170508804,0,0.9409,1.6771286016,0.0146412491965932,0.0353,0.034855,0.024565,0,0,0,0,0,0.007109341,0.03,0.017323989,"060814A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9229,0.465813957269479
"060904B",1.64,0.387389826,21.59122827,1.11,3.923904,1.19811,0,-5.790484985,2.234264124,2.18877,0,-12.1854,0,0,2.6896,0.15007087728831,466.181138207247,1.2321,15.397022601216,1.4354675721,0,33.5297163615105,4.99193617579349,4.7907141129,0,148.48397316,0,0,0.14476482742628,0,0,0,0,0.018294,0.024033,0.027284,0.1,0.038335871,0.14,0.037377804,"060904B",1,0.41,0.0968474565,5.3978070675,0.2775,0.980976,0.2995275,0,-1.44762124625,0.558566031,0.5471925,0,-3.04635,0,0,0.7,0.230448921378274
"060906A",2.03,0.294466226,22.41960057,0,0,0,4.33479,-5.655607726,1.638489257,2.07859,-11.8827287,0,1.06,1.71887,4.1209,0.0867103582546831,502.638489718344,0,0,0,18.7904043441,31.9858987503909,2.68464704530441,4.3205363881,141.199241357804,0,1.1236,2.9545140769,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0,0,0,0,0.026725814,0.11,0.061727135,"060906A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686,0.670802284260944
"060908A",1,0.481442629,21.80952201,0,0,0,2.81918,-5.552841969,1.285557309,2.13395,-9.627087997,0,1.185,1.38309,1,0.231787005018432,475.655250304674,0,0,0,7.9477758724,30.8340539326878,1.65265759472332,4.5537426025,92.6808233019815,0,1.404225,1.9129379481,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0,0,0,0,0.017216674,0.181818182,0.035832878,"060908A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8836,0.459935016851525
"060912A",1.74,0.933487288,21.36738202,0,0,0,2.455171016,-5.869666232,0.698970004,1.8948,-10.1079054,0,0.63,1.045731532,3.0276,0.871398516857595,456.565014388619,0,0,0,6.02786471780647,34.4529816750811,0.48855906649176,3.59026704,102.169751575349,0,0.3969,1.09355443701907,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0,0,0,0,0.019945376,0.09,0.022271512,"060912A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"060926A",2.54,0.037426498,22.50004427,0,0,0,3.351,-6.659555885,0.903089987,2.00443,-10.84771166,0,1.357,1.45111,6.4516,0.001400742752544,506.25199215196,0,0,0,11.229201,44.3496845854381,0.81557152461966,4.0177396249,117.6728482585,0,1.841449,2.1057202321,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0,0,0,0,0.049576996,0.23,0.055780943,"060926A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"060927A",0.9,0.431363764,22.10710478,0,0,0,3.15198,-5.946921557,1.352953912,1.94856,-10.77728353,0,0.83,1.39098,0.81,0.186074696892248,488.724081753899,0,0,0,9.9349779204,35.3658760051113,1.8304842879961,3.7968860736,116.149840286009,0,0.6889,1.9348253604,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0,0,0,0,0.026134535,0.242424242,0.027344467,"060927A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0.8109042806687
"061007A",1.03,1.164352856,21.74186197,1.07,2.17,1.75,0,-4.35261703,1.876852648,1.99824,0,-8.76,0,0,1.0609,1.35571757327536,472.708561922532,1.1449,4.7089,3.0625,0,18.945275009846,3.52257586230461,3.9929630976,0,76.7376,0,0,0.0102431891789539,0,0,0,0,0.07,0.03,0.01,0.19,0.005497151,0.03,0.011006093,"061007A",1,0.2575,0.291088214,5.4354654925,0.2675,0.5425,0.4375,0,-1.0881542575,0.469213162,0.49956,0,-2.19,0,0,1.26,0.354108439147401
"061121A",1.41,1.324282455,21.75351565,0,0,0,3.78753,-4.863279433,1.90982337,1.90181,-10.03011836,0,0.9485,1.35185,1.9881,1.75372402062083,473.215443134795,0,0,0,14.3453835009,23.6514868434408,3.64742530459816,3.6168812761,100.603274315609,0,0.89965225,1.8274984225,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0,0,0,0,0.006308365,0.03,0.009468031,"061121A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.314,0.364363354615731
"061126A",1.32,0.989449818,21.38058204,0.82,3.5801,0.922285,0,-5.169411331,2.281033367,1.9269241917552,0,-12.3053,0,0,1.7424,0.979010942340233,457.129288369171,0.6724,12.81711601,0.850609621225,0,26.7228135090712,5.20311322136736,3.71303684077143,0,151.42040809,0,0,0.131921983937837,0,0,0,0,0.08165,0.101225,0.025959,0.09,0.0190994093843814,0.06,0.0246693811930976,"061126A",1,0.33,0.2473624545,5.34514551,0.205,0.895025,0.23057125,0,-1.29235283275,0.57025834175,0.4817310479388,0,-3.076325,0,0,1.1588,0.334212409393176
"061222A",1.35,0.930949031,22.56660835,0,0,0,3.92091,-5.097453221,1.853698212,1.92748,-9.954677021,0,0.86,1.35061,1.8225,0.866666098319839,509.25181242229,0,0,0,15.3735352281,25.9840293402833,3.436197061172,3.7151791504,99.0955945924254,0,0.7396,1.8241473721,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0,0,0,0,0.008588051,0.04,0.013237581,"061222A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.088,0.489677291663699
"070110A",1.58,-0.22184875,21.3989672,0,0,0,4.26825,-5.790484985,1.946550511,2.08596,-11.04866248,0,1.186,1.42725,2.4964,0.0492168678765625,457.915797226676,0,0,0,18.2179580625,33.5297163615105,3.78905889187436,4.3512291216,122.07294259696,0,1.406596,2.0370425625,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0,0,0,0,0.028952965,0.12,0.086858896,"070110A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352,0.525304009958239
"070125A",1.66719216524827,0.461366700396796,21.1168251059769,0.59,5.250332,1.779596,0,-5.49527903539734,1.77815125,1.95142632719767,0,-12.7448,0,0,2.77952971586521,0.212859232235027,445.920302556416,0.3481,27.565986110224,3.166961923216,0,30.1980916768775,3.16182186787656,3.80806471048019,0,162.42992704,0,0,0.059763875267383,0,0,0,0,0.027168,0.017308,0.052941,0.1,0.0330719907495403,0.177142407809118,0.0593602352348791,"070125A",1,0.416798041312067,0.115341675099199,5.27920627649423,0.1475,1.312583,0.444899,0,-1.37381975884934,0.4445378125,0.487856581799417,0,-3.1862,0,0,1.55,0.406540180433955
"070208A",1.94,-0.045757491,21.8647258,0,0,0,3.44468,-6.351639989,1.806179974,2.20341,-10.86327943,0,1.14,1.2125,3.7636,0.00209374798261508,478.066234309186,0,0,0,11.8658203024,40.3433305498639,3.26228609847864,4.8550156281,118.010839974261,0,1.2996,1.47015625,0.153546286600926,0.1619,0.14114,0.06357,0.015,0,0,0,0,0.098570208,0.36,0.106160873,"070208A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.165,0.335457900689384
"070223A",1.85,-0.161150909,21.70173804,0,0,0,4.22335,-5.769551079,1.9408513687054,2.25837,-11.86327943,0,1.03,0.991734,3.4225,0.0259696154715263,470.965433956783,0,0,0,17.8366852225,33.2877196531901,3.76690403540562,5.1002350569,140.737398834261,0,1.0609,0.983536326756,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0,0,0,0,0.018572476,0.072727273,0.130844061722848,"070223A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6295,0.419873175149476
"070306A",1.66,0.609594409,22.44245468,0,0,0,4.86926,-5.269217724,2.321184027,1.94468,-11.2737,0,0.831,1.89982,2.7556,0.371605343484059,503.663772063854,0,0,0,23.7096929476,27.7646554229157,5.38789528719994,3.7817803024,127.09631169,0,0.690561,3.6093160324,0.134263479640872,0.0335,0.02824,0.06188,0.001,0,0,0,0,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4959,0.397227181043161
"070411A",1.72,-0.040958608,22.32139542,1.09,3.319089,1.33119,0,-5.568636236,2.089021501,2.2428,0,-12.4597,0,0,2.9584,0.00167760756929766,498.244693495997,1.1881,11.016351789921,1.7720668161,0,31.0097095288922,4.36401083164029,5.03015184,0,155.24412409,0,0,0.075913913084108,0,0,0,0,0.115184,0.105245,0.219221,0.11,0.02493172,0.1,0.062042069,"070411A",1,0.43,-0.010239652,5.580348855,0.2725,0.82977225,0.3327975,0,-1.392159059,0.52225537525,0.5607,0,-3.114925,0,0,2.95,0.59659709562646
"070508A",1.1,1.382017043,21.89306622,0,0,0,3.02525,-4.707743929,1.320146286,1.82568,-9.161150909,0,0.764,1.37377,1.21,1.90997110714246,479.306348513305,0,0,0,9.1521375625,22.1628529010364,1.74278621643959,3.3331074624,83.9266859774715,0,0.583696,1.8872440129,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0,0,0,0,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",1.1,0.814913181,22.27524914,0,0,0,3.55243,-5.096367484,1.57863921,2.00022,-10.01233374,0,0.98,1.44502,1.21,0.664083492567539,496.186724249071,0,0,0,12.6197589049,25.9729615319725,2.49210175534942,4.0008800484,100.246826921142,0,0.9604,2.0880828004,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0,0,0,0,0.009596769,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",1.34,0.155336037,22.56252244,0,0,0,3.09323,-5.590066877,2.038222638,1.97999,-10.24641694,0,0.76,1.21432,1.7956,0.0241292843908654,509.067418855503,0,0,0,9.5680718329,31.2488476893325,4.15435152205568,3.9203604001,104.989060108319,0,0.5776,1.4745730624,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0,0,0,0,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4996,0.544018407858776
"070612A",1.69,0.178976947,21.2559971173378,1.1,5.2145,2.69428,0,-4.974694135,2.566790912,1.97567939099548,0,-12.376,0,0,2.8561,0.0320327475574408,451.817413452273,1.21,27.19101025,7.2591447184,0,24.7475817368034,6.58841558592579,3.90330905600427,0,153.165376,0,0,0.0862757376305275,0,0,0,0,0.35375,0.14528,0.53173,0.3333,0.024623678,0.1,0.109292651,"070612A",1,0.4225,0.04474423675,5.31399927933445,0.275,1.303625,0.67357,0,-1.24367353375,0.641697728,0.49391984774887,0,-3.094,0,0,0.671,0.222976449893391
"070714B",1.36,0.431363764,21.64321572,0,0,0,3.22974,-6.142667504,1.806179974,2.07429,-10.74232143,0,0.93,1.64623,1.8496,0.186074696892248,468.428786702455,0,0,0,10.4312204676,37.7323640646976,3.26228609847864,4.3026790041,115.397469705437,0,0.8649,2.7100732129,0.0570608478017886,0.09935,0.0946,0.108425,0.005,0,0,0,0,0.05428681,0.19,0.032169962,"070714B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923,0.28397928423848
"070721B",1.34,0.176091259,21.89473409,0,0,0,3.94739,-5.443697499,2.531478917,1.52512,-10.50863831,0,0.52,2.5054,1.7956,0.0310081314962051,479.379380871808,0,0,0,15.5818878121,29.6338424606189,6.40838550721549,2.3259910144,110.4314791304,0,0.2704,6.27702916,0.0272330828957319,0.3648,0.10084,0.09144,0,0,0,0,0,0.024127471,0.11,0.086858896,"070721B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.626,0.6652056284346
"070802A",1.79,-0.397940009,21.91375294,0,0,0,3.92184,-6.552841969,1.214843848,1.99014,-11.6716204,0,0.78,1.16348,3.2041,0.15835625076292,480.212567915359,0,0,0,15.3808289856,42.9397378706878,1.47584557502345,3.9606572196,136.226722761696,0,0.6084,1.3536857104,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0,0,0,0,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0.537819095073274
"070810A",2.04,0.278753601,21.93100401,0,0,0,3.36583,-6.161150909,1.041392685,2.17076,-10.77728353,0,1.02,1.36994,4.1616,0.0777035700704672,480.968936886636,0,0,0,11.3288115889,37.9597805234715,1.08449872437151,4.7121989776,116.149840286009,0,1.0404,1.8767356036,0.197037086589132,0.06175,0.07187,0.077915,0.01,0,0,0,0,0.037764738,0.14,0.045715209,"070810A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0.501059262217751
"071003A",1.36,0.799340549,20.86974084,0,0,0,4.78411,-5.080921908,2.170643023,1.91015,-11.67760082,0,0.837,1.97901,1.8496,0.638945313275621,435.546082728764,0,0,0,22.8877084921,25.8157674351944,4.71169113329858,3.6486730225,136.366360911265,0,0.700569,3.9164805801,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0,0,0,0,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60435,0.415699348887829
"071010A",2.33,-0.096910013,22.13954852,0.61,5.172418,2.253787,0,-6.698970004,0.77815125,2.33496,0,-13.1705,0,0,5.4289,0.00939155061966017,490.159608669434,0.3721,26.753907966724,5.079555841369,0,44.8761991144918,0.605519367876562,5.4520382016,0,173.46207025,0,0,0.0664080102705681,0,0,0,0,0.060832,0.033281,0.122333,0.12,0.086858896,0.37,0.162860431,"071010A",1,0.5825,-0.02422750325,5.53488713,0.1525,1.2931045,0.56344675,0,-1.674742501,0.1945378125,0.58374,0,-3.292625,0,0,0.99,0.298853076409707
"071010B",1.53,0.886490725,21.30047157,0.68,3.16101,0.633623,0,-5.356547324,1.552668216,2.04061,0,-11.8207,0,0,2.3409,0.785865805511026,453.710089104378,0.4624,9.9919842201,0.401478106129,0,28.6925992342516,2.41077858897662,4.1640891721,0,139.72894849,0,0,0.0969169435192129,0,0,0,0,0.0527,0.19345,0.053512,0.14,0.009870329,0.22,0.016920564,"071010B",1,0.3825,0.22162268125,5.3251178925,0.17,0.7902525,0.15840575,0,-1.339136831,0.388167054,0.5101525,0,-2.955175,0,0,0.947,0.289365951520032
"071020A",1.11,0.924279286,20.99642367,0,0,0,2.311950854,-5.638272164,0.62324929,1.59788,-9.169411331,0,0.844,1.119196934,1.2321,0.85429219852867,440.849806930136,0,0,0,5.34511675131133,31.7901129953372,0.388439677485504,2.5532204944,84.0781041570712,0,0.712336,1.252601777075,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0,0,0,0,0.018882369,0.05,0.015510517,"071020A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.145,0.497620649781288
"071112C",1.09,0.903089987,20.5643192,0.44,2.56,0.92,0,-5.522878745,1.176091259,1.67267,0,-11.73,0,0,1.1881,0.81557152461966,422.891224159489,0.1936,6.5536,0.8464,0,30.5021896319728,1.38319064949621,2.7978249289,0,137.5929,0,0,0.0416381769095578,0,0,0,0,0.01,0.02,0,0.11,0.057905931,0.07,0.05428681,"071112C",1,0.2725,0.22577249675,5.1410798,0.11,0.64,0.23,0,-1.38071968625,0.29402281475,0.4181675,0,-2.9325,0,0,0.82,0.260071387985075
"071117A",1.57,1.053078443,22.04291793,0,0,0,3.901990464,-5.619788758,0.819543936,2.0457,-11.23542972,0,0.94,1.104952391,2.4649,1.1089742071113,485.890230868716,0,0,0,15.2255295811469,31.5820256845432,0.671652263034372,4.18488849,126.234880993059,0,0.8836,1.22091978637662,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0,0,0,0,0.018095603,0.06,0.015373256,"071117A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,0.367542273520577
"080310A",2.32,0.113943352,21.57289018,0,0,0,4.32608056,-5.638272164,2.560456622,2.09352,-11.3990271,0,0.878,1.59590648,5.3824,0.0129830874649959,465.38959071834,0,0,0,18.7149730116099,31.7901129953372,6.55593811314365,4.3828259904,129.937818826534,0,0.770884,2.54691749290599,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0,0,0,0,0.037764738,0.16,0.066814536,"080310A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.534026106056135
"080319B",1.04,1.394451681,20.8771334,0,0,0,5.36799912,-4.091514981,1.68090255756894,1.81426,-12.15181088,0,0.73,1.42250979,1.0816,1.94449549064373,435.854699001396,0,0,0,28.8154145523208,16.7404948397474,2.8254334080418,3.2915393476,147.666507663286,0,0.5329,2.02353410264584,0.00162180613819455,0.097779455,0.087626454,0.075139905,0,0,0,0,0,0.00536166,0.02,0.008755937,"080319B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"080319C",1.37,0.716003344,21.75037415,0.98,3.23,2,0,-5.443697499,1.531478917,1.61029,0,-12.32,0,0,1.8769,0.512660788619182,473.078775664988,0.9604,10.4329,4,0,29.6338424606189,2.34542767321549,2.5930338841,0,151.7824,0,0,0.0434736058796182,0,0,0,0,0.25,0.13,0.56,0.42,0.012063736,0.07,0.025055451,"080319C",1,0.3425,0.179000836,5.4375935375,0.245,0.8075,0.5,0,-1.36092437475,0.38286972925,0.4025725,0,-3.08,0,0,1.95,0.469822015978163
"080330A",2.53,-0.045757491,21.69090721,0.42,3.52,1.13,0,-6.468521083,1.783188691,2.25433,0,-11.98,0,0,6.4009,0.00209374798261508,470.49545559283,0.1764,12.3904,1.2769,0,41.8417650012155,3.17976190771029,5.0820037489,0,143.5204,0,0,0.199990220376636,0,0,0,0,0.01,0.01,0,0.15,0.102186937,0.45,0.096509885,"080330A",1,0.6325,-0.01143937275,5.4227268025,0.105,0.88,0.2825,0,-1.61713027075,0.44579717275,0.5635825,0,-2.995,0,0,1.51,0.399673721481038
"080411A",1.75,1.635483747,21.57289018,0,0,0,4.20932562,-4.578396073,1.748188027,1.97674,-10.11350927,0,0.91,1.28909841,3.0625,2.67480708670116,465.38959071834,0,0,0,17.7184221751884,20.9617106012618,3.05616137774615,3.9075010276,102.283069754376,0,0.8281,1.66177471066453,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0,0,0,0,0.001645055,0.03,0.009047802,"080411A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.307496037913213
"080413B",1.26,1.271841607,21.31329763,0.74,5.62,2.29,0,-5.494850022,0.903089987,1.93206,0,-13.54,0,0,1.5876,1.61758107329634,454.256655864964,0.5476,31.5844,5.2441,0,30.1933767642734,0.81557152461966,3.7328558436,0,183.3316,0,0,0.063811704252879,0,0,0,0,0.05,0.02,0.1,0.04,0.013571703,0.27,0.018579443,"080413B",1,0.315,0.31796040175,5.3283244075,0.185,1.405,0.5725,0,-1.3737125055,0.22577249675,0.483015,0,-3.385,0,0,1.1,0.322219294733919
"080516A",1.82,0.255272505,22.03528962,0,0,0,3.77452827,-6.585026652,0.763427994,2.3315,-11.12090412,0,1.48,0.94016916,3.3124,0.065164051808975,485.55398863728,0,0,0,14.2470636610292,43.3625760075503,0.582822302022864,5.43589225,123.674508446233,0,2.1904,0.883918049415106,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0,0,0,0,0.066814536,0.27,0.072382414,"080516A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"080603A",1.8144820875664,0.365016103959771,20.9181675200872,0.85,3.8,0.98,0,-5.70558194498092,1.77815125,2.0146549872069,0,-12.4,0,0,3.29234524609932,0.13323675614997,437.569732398431,0.7225,14.44,0.9604,0,32.5536653308923,3.16182186787656,4.05883471747763,0,153.76,0,0,0.0141299769251024,0,0,0,0,0.03,0.03,0.02,0.31,0.0419982454796969,0.181989441665926,0.0645822859728094,"080603A",1,0.4536205218916,0.0912540259899428,5.2295418800218,0.2125,0.95,0.245,0,-1.42639548624523,0.4445378125,0.503663746801725,0,-3.1,0,0,1.69,0.429752280002408
"080603B",1.21,0.544068044,21.31611509,0.62115,4.19971,1.26607,0,-5.619788758,1.77815125,1.83449,0,-12.2511,0,0,1.4641,0.296010036501986,454.376762530126,0.3858273225,17.6375640841,1.6029332449,0,31.5820256845432,3.16182186787656,3.3653535601,0,150.08945121,0,0,0.0235643330529017,0,0,0,0,0.01515,0.014815,0.02688,0.06837,0.018095603,0.3,0.024816828,"080603B",1,0.3025,0.136017011,5.3290287725,0.1552875,1.0499275,0.3165175,0,-1.4049471895,0.4445378125,0.4586225,0,-3.062775,0,0,2.6893,0.566943971856554
"080607A",1.31,1.36361198,22.38386741,0,0,0,3.46298403,-4.619788758,1.899984563,2.03418,-10.0540393,0,1.06,1.7256074,1.7161,1.85943763199952,501.03752022846,0,0,0,11.992258392035,21.3424481685432,3.6099413396383,4.1378882724,101.083706245944,0,1.1236,2.97772089893476,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0,0,0,0,0.04,0.02068069,"080607A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.036,0.605951157564873
"080710A",1.47,0,20.89722339,0,0,0,4.09266933,-5.853871964,2.077948999,2.00149,-11.23284413,0,1.3,1.52133785,2.1609,0,436.693945411563,0,0,0,16.7499422447226,34.2678169709052,4.3178720424451,4.0059622201,126.176787248875,0,1.69,2.31446885384262,0.063286086716648,0.06269498,0.054210787,0.06401643,0.150517844,0,0,0,0,0.062042069,0.23,0.086858896,"080710A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0.265996370495079
"080810A",1.34,0.301029996,21.45079548,0,0,0,3.2687548,-5.337242168,2.03666881,2.11482,-9.931814138,0,1.079,1.44529526,1.7956,0.09061905849176,460.136626724788,0,0,0,10.684757942523,28.4861539598773,4.14801984162682,4.4724636324,98.6409320717767,0,1.164241,2.08887838857847,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0,0,0,0,0.018882369,0.06,0.043429448,"080810A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0.638489256954637
"080905B",1.78,-0.301029996,22.33533151,0,0,0,3.67820615,-5.744727495,2.10720997,1.86248,-10.11125904,0,0.375,1.36946226,3.1684,0.09061905849176,498.867033661599,0,0,0,13.5292004818978,33.001893991809,4.4403338576674,3.4688317504,102.237559373982,0,0.140625,1.87542688156431,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,0,0,0,0,0.048254942,0.15,0.086858896,"080905B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.374,0.528145078253106
"080928A",1.77,0.322219295,21.51035195,0,0,0,4.08450503,-5.602059991,2.368584372,2.13864,-11.1260984,0,0.99,1.76031774,3.1329,0.103825274070297,462.695241012869,0,0,0,16.6831813400953,31.3830761427629,5.61019192728263,4.5737810496,123.790065606483,0,0.9801,3.09871854575871,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0,0,0,0,0.034743559,0.12,0.02068069,"080928A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.692,0.430075055551939
"081007A",2.51,0.414973348,21.69605744,0,0,0,3.58176278,-6.148741651,0.958563883,2.102,-10.58502665,0,0.92,1.00469263,6.3001,0.172202879550329,470.718908439779,0,0,0,12.8290246121933,37.8070238907422,0.918844717792038,4.418404,112.04278918121,0,0.8464,1.00940728077632,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0,0,0,0,0.048934589,0.2,0.066814536,"081007A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5295,0.184549481320698
