"","PhotonIndex","log10PeakFlux","log10NH","Beta_opt","log10Ta_opt","Alpha_opt","log10Ta","log10Fluence","log10T90","Gamma","log10Fa","log10Fa_opt","Beta","Alpha","PhotonIndexSqr","log10PeakFluxSqr","log10NHSqr","Beta_optSqr","log10Ta_optSqr","Alpha_optSqr","log10TaSqr","log10FluenceSqr","log10T90Sqr","GammaSqr","log10FaSqr","log10Fa_optSqr","BetaSqr","AlphaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","PhotonIndex_opt","log10PeakFlux_opt","log10NH_opt","Beta_opt_opt","log10Ta_opt_opt","Alpha_opt_opt","log10Ta_opt","log10Fluence_opt","log10T90_opt","Gamma_opt","log10Fa_opt","log10Fa_opt_opt","Beta_opt","Alpha_opt","Redshift_crosscheck","log10z"
"050416A",3.08,0.688419822,21.75162856,0,0,0,2.99481,-6.435333936,0.397940009,2.06183,-10.5559552,0,0.9,0.842217,9.4864,0.473921851322512,473.133345012208,0,0,0,8.9688869361,41.4135228678333,0.15835625076292,4.2511429489,111.428190184407,0,0.81,0.709329475089,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0,0,0,0,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6528,0.218220304175545
"050502A",1.5837013438142,0.330571846807332,21.0181637594417,0.76,3.72,1.43,0,-5.95905698874291,1.301029996,1.96705146522392,0,-12.6,0,0,2.5081099463989,0.10927774590161,441.763207818708,0.5776,13.8384,2.0449,0,35.5103601950857,1.69267905049176,3.86929146683957,0,158.76,0,0,0.0761271870594219,0,0,0,0,0.04,0.03,0.02,0.16,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",1,0.39592533595355,0.082642961701833,5.25454093986042,0.19,0.93,0.3575,0,-1.48976424718573,0.325257499,0.49176286630598,0,-3.15,0,0,3.79,0.680335513414563
"050502B",1.49398169361224,0.300152911468348,21.0347201497492,0.9,3.576116,1.358692,0,-5.90726604152399,1.243038049,1.97812318786123,0,-12.4453,0,0,2.2319813008485,0.090091770262926,442.459451778265,0.81,12.788605645456,1.846043950864,0,34.8957920853425,1.54514359126173,3.91297134635427,0,154.88549209,0,0,0.059763875267383,0,0,0,0,0.122846,0.139983,0.198462,0.06,0.0295798799821603,0.14,0.0671099909495084,"050502B",1,0.37349542340306,0.075038227867087,5.2586800374373,0.225,0.894029,0.339673,0,-1.476816510381,0.31075951225,0.494530796965307,0,-3.111325,0,0,3.793,0.680607428991788
"050505A",1.41,0.267171728,22.23063027,0,0,0,4.270583544,-5.603800653,1.770115295,2.01835,-11.04817696,0,0.973,1.462094791,1.9881,0.071380732242506,494.20092220144,0,0,0,18.2378838062836,31.4025817585632,3.13330815759294,4.0737367225,122.062214139475,0,0.946729,2.13772117786933,0.0504266082569071,0.03272177,0.030067592,0.035926291,5e-04,0,0,0,0,0.031220366,0.12,0.07277367,"050505A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0.721810615212547
"050525A",1,1.620136055,21.2788016,0.52,3.22416,1.03423,0,-4.815308569,0.944482672,2.08914,0,-11.6972,0,0,1,2.62484083671096,452.787397532163,0.2704,10.3952077056,1.0696316929,0,23.1871966146848,0.89204751770826,4.3645059396,0,136.82448784,0,0,0.0102431891789539,0,0,0,0,0.0658,0.10234,0.034343,0.08,0.006273143,0.1,0.009789852,"050525A",1,0.25,0.40503401375,5.3197004,0.13,0.80604,0.2585575,0,-1.20382714225,0.236120668,0.522285,0,-2.9243,0,0,0.61,0.20682587603185
"050603A",1.16,1.33243846,21.63005546,0.95,4.45,1.85,0,-5.196542884,1.322219295,1.90951127022931,0,-11.88,0,0,1.3456,1.77539224968717,467.859299202676,0.9025,19.8025,3.4225,0,27.004057945251,1.7482638640703,3.64623329113275,0,141.1344,0,0,0.0276692267863542,0,0,0,0,0.13,0.08,0.09,0.08,-0.0006217656979968,0.06,0.0038290748542292,"050603A",1,0.29,0.333109615,5.407513865,0.2375,1.1125,0.4625,0,-1.299135721,0.33055482375,0.477377817557327,0,-2.97,0,0,2.82,0.582063362911709
"050730A",1.53,-0.259637311,21.73850309,0,0,0,4.05018,-5.623423043,2.194514342,1.6177,-10.09854168,0,0.5615,2.38763,2.3409,0.0674115332633107,472.562516593939,0,0,0,16.4039580324,31.6228867205434,4.81589319724369,2.61695329,101.980544062697,0,0.31528225,5.7007770169,0.0500432094216776,0.0266,0.017795,0.0538,0.000210492,0,0,0,0,0.027736454,0.11,0.110547686,"050730A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.967,0.696094159995223
"050801A",1.99,0.164352856,20.80209017,0.69,2.64,1.19,0,-6.508638306,1.28780173,2.07525210781143,0,-10.98,0,0,3.9601,0.0270118612753567,432.726955440811,0.4761,6.9696,1.4161,0,42.3623725983306,1.65843329579099,4.30667131097578,0,120.5604,0,0,0.132471980179598,0,0,0,0,0.02,0.02,0.01,0.34,0.0581234535102333,0.25,0.0712796339614364,"050801A",1,0.4975,0.041088214,5.2005225425,0.1725,0.66,0.2975,0,-1.6271595765,0.3219504325,0.518813026952857,0,-2.745,0,0,1.56,0.40823996531185
"050802A",1.54,0.439332694,21.25883595,0,0,0,3.63973,-5.698970004,1.477121255,1.8557,-10.28650946,0,0.8585,1.44729,2.3716,0.193013216017298,451.938105949012,0,0,0,13.2476344729,32.4782591064918,2.18188720197277,3.44362249,105.812276870669,0,0.73702225,2.0946483441,0.14763173580347,0.0275,0.0326,0.03274,0.002369606,0,0,0,0,0.034092117,0.13,0.069487117,"050802A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7102,0.433001340945038
"050803A",1.38,-0.017728767,21.34755638,0,0,0,4.21721,-5.66756154,1.943988875,2.11696,-10.86012091,0,1.218,1.52234,1.9044,0.000314309179340289,455.718163397279,0,0,0,17.7848601841,32.1212538096872,3.77909274612377,4.4815196416,117.942226179819,0,1.483524,2.3175190756,0.0515724807527089,0.0489,0.04766,0.048695,0.22485626,0,0,0,0,0.027269654,0.11,0.049762909,"050803A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.653212513775344
