GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
060908A,1.8836,1.285557309,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1.0,21.80952201,0.481442629,1.330335293,0.045185,0.05993,0.04964,0.003474954,1.1099999924188009e-07,0.181818182,0.2499999999737754
060926A,3.2,0.903089987,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.08245,0.09927,0.11561,0.009157091,2.500000018516412e-08,0.23,0.14000000094833678
060927A,5.47,1.352953912,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.08115,0.108435,0.118785,0.178498106,6.799999941907245e-08,0.242424242,0.16999999758094866
061021A,0.3463,1.664641976,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.398832468,0.0264,0.03399,0.010415,0.016800037,1.0100000009629132e-07,0.06,0.26999999726137985
061121A,1.314,1.90982337,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.01265,0.01703,0.01585,0.002358211,1.9899999670759804e-07,0.03,0.4599999822414635
061201A,0.111,-0.119186408,-10.4134127,3.49343,1.98937,0.145,1.65934,-6.476253533,0.81,21.16656331,0.586587305,0.098954548,0.09365,0.093885,0.169505,0.061048094,2.7000000197331423e-08,0.15,0.3099999968494831
070110A,2.352,1.946550511,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.05475,0.053995,0.046555,0.12166788,1.079999983970431e-07,0.12,0.11999999936810746
070208A,1.165,1.806179974,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.627417,0.1619,0.14114,0.06357,0.015,1.0099999974601913e-07,0.36,0.21999999904358244
070223A,1.6295,1.9408513687054,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616,0.16615,0.203105,0.079308,0.06,7.270000077858017e-08,0.072727273,0.20788291448634558
070306A,1.4959,2.321184027,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.76757163,0.0335,0.02824,0.06188,0.001,2.8599999924264004e-07,0.1,0.210000001849024
070508A,0.82,1.320146286,-9.161150909,3.02525,1.37377,0.764,1.82568,-4.707743929,1.1,21.89306622,1.382017043,0.735923906,0.010795,0.01189,0.013355,0.0005,2.730000127634461e-07,0.060606061,0.6100000043711049
070521A,2.0865,1.57863921,-10.01233374,3.55243,1.44502,0.98,2.00022,-5.096367484,1.1,22.27524914,0.814913181,2.819384324,0.04901,0.04844,0.0562,0.147518075,1.769999916605304e-07,0.121212121,0.2700000004417557
070529A,2.4996,2.038222638,-10.24641694,3.09323,1.21432,0.76,1.97999,-5.590066877,1.34,22.56252244,0.155336037,19.9827799,0.0552,0.068045,0.03501,0.015,2.4499999961440025e-07,0.16,0.3600000010532188
070802A,2.45,1.214843848,-11.6716204,3.92184,1.16348,0.78,1.99014,-6.552841969,1.79,21.91375294,-0.397940009,3.019812592,0.17395,0.236245,0.2088785,0.045,4.9999999925687395e-08,0.27,0.100000000407278
070809A,0.2187,1.161684284033457,-11.9625735,4.18985,1.17521,0.396,1.37246,-7.0,1.69,20.80619355,0.079181246,0.271528985,0.1917,0.206985,0.395643,0.0595,6.060000091335018e-09,0.133333333,0.044919559042116954
071003A,1.60435,2.170643023,-11.67760082,4.78411,1.97901,0.837,1.91015,-5.080921908,1.36,20.86974084,0.799340549,4.494400066,0.1359,0.098505,0.183105,0.032,3.0000000141885847e-07,0.07,0.40000000220418774
071020A,2.145,0.62324929,-9.169411331,2.311950854,1.119196934,0.844,1.59788,-5.638272164,1.11,20.99642367,0.924279286,0.581982802,0.035099822,0.039262062,0.011153209,0.001,1.0000000116951874e-07,0.05,0.29999999587943177
071117A,1.331,0.819543936,-11.23542972,3.901990464,1.104952391,0.94,2.0457,-5.619788758,1.57,22.04291793,1.053078443,1.824859447,0.101024385,0.117162967,0.089387802,0.01,9.999999778609708e-08,0.06,0.39999999964386235
080310A,2.42,2.560456622,-11.3990271,4.32608056,1.59590648,0.878,2.09352,-5.638272164,2.32,10.56142698,0.113943352,17.39875121,0.04247343,0.03798676,0.065276352,0.0375,2.0000000233903748e-07,0.16,0.20000000082428468
080411A,1.03,1.748188027,-10.11350927,4.20932562,1.28909841,0.91,1.97674,-4.578396073,1.75,21.57289018,1.635483747,1.000967534,0.06043543,0.049275581,0.010296793,0.0,1.0000000880207287e-07,0.03,0.900000029596629
080516A,3.2,0.763427994,-11.12090412,3.77452827,0.94016916,1.48,2.3315,-6.585026652,1.82,22.03528962,0.255272505,0.213016433,0.077803665,0.111057696,0.084888358,0.03,4.0000000195805424e-08,0.27,0.3000000013770211
080607A,3.036,1.899984563,-10.0540393,3.46298403,1.7256074,1.06,2.03418,-4.619788758,1.31,22.38386741,1.36361198,3.285061929,0.11042072,0.069659314,0.037637388,0.02,0.0,0.04,1.1000000207809784
080710A,0.845,2.077948999,-11.23284413,4.09266933,1.52133785,1.3,2.00149,-5.853871964,1.47,20.89722339,0.0,17.43704666,0.06269498,0.054210787,0.06401643,0.150517844,2.0000000065324826e-07,0.23,0.19999999912352018
080810A,3.35,2.03666881,-9.931814138,3.2687548,1.44529526,1.079,2.11482,-5.337242168,1.34,21.45079548,0.301029996,4.337190332,0.031830706,0.039738688,0.036139295,0.0015,2.0000000249377965e-07,0.06,0.19999999927826256
080928A,1.692,2.368584372,-11.1260984,4.08450503,1.76031774,0.99,2.13864,-5.602059991,1.77,21.51035195,0.322219295,20.80043462,0.064484035,0.047916769,0.075970735,0.0,2.000000027284301e-07,0.12,0.10000000192561254
