"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
78,3717,0.1802,2050,1.4744,4333,-0.3763,17,9,2.7,"Response ~  (log10FaSqr+log10TaSqr+log10T90+log10Ta+log10NH+log10PeakFlux)^2+PhotonIndex+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
79,2260,0.5579,2260,1.2005,2344,-0.0498,17,9,2.7,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr"
80,1594,0.4203,1594,1.1724,666,0.1062,17,9,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
81,769,0.5582,769,1.1239,4887,-0.212,17,9,2.7,"Response ~  (log10NHSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
82,3823,0.3375,663,1.3612,10176,0.0015,17,9,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
83,353,0.7327,353,1.2643,8242,-0.3645,17,9,2.7,"Response ~  (PhotonIndexSqr+Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
84,443,0.532,773,1.4057,773,-0.4179,17,9,2.8,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr"
85,1146,0.5459,1146,1.1568,4902,-0.2842,17,9,2.7,"Response ~  (log10FaSqr+Alpha+log10Fa+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
86,4153,0.4341,4153,1.3311,11714,-0.1123,17,9,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
87,1124,0.5833,1124,1.0839,4958,-0.1445,17,9,2.7,"Response ~  (log10T90Sqr+PhotonIndexSqr+log10NHSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr+AlphaSqr"
88,2373,0.2718,2373,1.3493,6871,-0.0963,17,9,2.7,"Response ~  (log10TaSqr+log10NHSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
